Data from 366-Ofav-DD_R2_Units31_16-40-26-966.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:39:56.107	1654634396107.000107000	0.15
16:39:56.370	1654634396370.000370000	0.15
16:39:56.647	1654634396647.000647000	0.15
16:39:56.917	1654634396917.000917000	0.15
16:39:57.178	1654634397178.000178000	0.16
16:39:57.457	1654634397457.000457000	0.15
16:39:57.727	1654634397727.000727000	0.15
16:39:57.994	1654634397994.000994000	0.15
16:39:58.267	1654634398267.000267000	0.15
16:39:58.537	1654634398537.000537000	0.15
16:39:58.807	1654634398807.000807000	0.15
16:39:59.068	1654634399068.000068000	0.15
16:39:59.347	1654634399347.000347000	0.15
16:39:59.617	1654634399617.000617000	0.15
16:39:59.887	1654634399887.000887000	0.15
16:40:00.157	1654634400157.000157000	0.15
16:40:00.427	1654634400427.000427000	0.16
16:40:00.697	1654634400697.000697000	0.15
16:40:00.967	1654634400967.000967000	0.15
16:40:01.237	1654634401237.000237000	0.15
16:40:01.507	1654634401507.000507000	0.15
16:40:01.777	1654634401777.000777000	0.15
16:40:02.047	1654634402047.000047000	0.16
16:40:02.317	1654634402317.000317000	0.15
16:40:02.587	1654634402587.000587000	0.15
16:40:02.857	1654634402857.000857000	0.15
16:40:03.118	1654634403118.000118000	0.15
16:40:03.397	1654634403397.000397000	0.15
16:40:03.667	1654634403667.000667000	0.15
16:40:03.937	1654634403937.000937000	0.15
16:40:04.207	1654634404207.000207000	0.15
16:40:04.470	1654634404470.000470000	0.15
16:40:04.747	1654634404747.000747000	0.15
16:40:05.017	1654634405017.000017000	0.15
16:40:05.288	1654634405288.000288000	0.15
16:40:05.557	1654634405557.000557000	0.15
16:40:05.827	1654634405827.000827000	0.15
16:40:06.097	1654634406097.000097000	0.15
16:40:06.367	1654634406367.000367000	0.15
16:40:06.631	1654634406631.000631000	0.15
16:40:06.907	1654634406907.000907000	0.15
16:40:07.168	1654634407168.000168000	0.15
16:40:07.447	1654634407447.000447000	0.15
16:40:07.717	1654634407717.000717000	0.15
16:40:07.987	1654634407987.000987000	0.15
16:40:08.257	1654634408257.000257000	0.15
16:40:08.527	1654634408527.000527000	0.15
16:40:08.798	1654634408798.000798000	0.15
16:40:09.066	1654634409066.000066000	0.15
16:40:09.337	1654634409337.000337000	0.15
16:40:09.607	1654634409607.000607000	0.15
16:40:09.877	1654634409877.000877000	0.15
16:40:10.147	1654634410147.000147000	0.15
16:40:10.417	1654634410417.000417000	0.15
16:40:10.684	1654634410684.000684000	0.15
16:40:10.957	1654634410957.000957000	0.15
16:40:11.316	1654634411316.000316000	0.15
16:40:11.587	1654634411587.000587000	0.15
16:40:11.857	1654634411857.000857000	0.15
16:40:12.126	1654634412126.000126000	0.15
16:40:12.397	1654634412397.000397000	0.15
16:40:12.660	1654634412660.000660000	0.15
16:40:26.700	1654634412937.000937000	0.15
16:40:13.207	1654634413207.000207000	0.15
16:40:13.468	1654634413468.000468000	0.15
16:40:13.747	1654634413747.000747000	0.15
16:40:14.017	1654634414017.000017000	0.16
16:40:14.287	1654634414287.000287000	0.15
16:40:14.557	1654634414557.000557000	0.15
16:40:14.827	1654634414827.000827000	0.15
16:40:15.097	1654634415097.000097000	0.15
16:40:15.367	1654634415367.000367000	0.15
16:40:15.637	1654634415637.000637000	0.15
16:40:15.907	1654634415907.000907000	0.15
16:40:16.177	1654634416177.000177000	0.15
16:40:16.447	1654634416447.000447000	0.15
16:40:16.717	1654634416717.000717000	0.15
16:40:16.987	1654634416987.000987000	0.15
16:40:17.257	1654634417257.000257000	0.15
16:40:17.527	1654634417527.000527000	0.15
16:40:17.797	1654634417797.000797000	0.15
16:40:18.067	1654634418067.000067000	0.15
16:40:18.337	1654634418337.000337000	0.15
16:40:18.607	1654634418607.000607000	0.15
16:40:18.877	1654634418877.000877000	0.15
16:40:19.147	1654634419147.000147000	0.15
16:40:19.417	1654634419417.000417000	0.15
16:40:19.687	1654634419687.000687000	0.15
16:40:19.949	1654634419949.000949000	0.15
16:40:20.227	1654634420227.000227000	0.15
16:40:20.497	1654634420497.000497000	0.15
16:40:20.767	1654634420767.000767000	0.15
16:40:21.037	1654634421037.000037000	0.15
16:40:21.307	1654634421307.000307000	0.15
16:40:21.577	1654634421577.000577000	0.15
16:40:21.847	1654634421847.000847000	0.15
16:40:22.114	1654634422114.000114000	0.15
16:40:22.388	1654634422388.000388000	0.15
16:40:22.657	1654634422657.000657000	0.15
16:40:22.927	1654634422927.000927000	0.15
16:40:23.197	1654634423197.000197000	0.16
16:40:23.467	1654634423467.000467000	0.15
16:40:23.737	1654634423737.000737000	0.15
16:40:24.007	1654634424007.000007000	0.15
16:40:24.278	1654634424278.000278000	0.15
16:40:24.547	1654634424547.000547000	0.15
16:40:24.817	1654634424817.000817000	0.15
16:40:25.087	1654634425087.000087000	0.15
16:40:25.357	1654634425357.000357000	0.15
16:40:25.627	1654634425627.000627000	0.15
16:40:25.897	1654634425897.000897000	0.15
16:40:26.167	1654634426167.000167000	0.15
16:40:26.437	1654634426437.000437000	0.15
16:40:26.700	1654634426700.000700000	0.15
