Data from 366-Ofav-DD_Trend40_16-23-44-112.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 9.000000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
16:23:08.730	1654633388730.000730000	0
16:23:08.991	1654633388991.000991000	0.01
16:23:09.269	1654633389269.000269000	0.01
16:23:09.539	1654633389539.000539000	0.01
16:23:09.809	1654633389809.000809000	0
16:23:10.079	1654633390079.000079000	0.01
16:23:10.349	1654633390349.000349000	0.01
16:23:10.619	1654633390619.000619000	0
16:23:10.889	1654633390889.000889000	0
16:23:11.159	1654633391159.000159000	0.01
16:23:11.421	1654633391421.000421000	0.01
16:23:11.699	1654633391699.000699000	0.01
16:23:11.961	1654633391961.000961000	0.01
16:23:12.240	1654633392240.000240000	0
16:23:12.509	1654633392509.000509000	0
16:23:12.779	1654633392779.000779000	0
16:23:13.049	1654633393049.000049000	0.01
16:23:13.319	1654633393319.000319000	0
16:23:13.589	1654633393589.000589000	0.01
16:23:13.859	1654633393859.000859000	0
16:23:14.129	1654633394129.000129000	0.01
16:23:14.399	1654633394399.000399000	0
16:23:14.669	1654633394669.000669000	0.01
16:23:14.940	1654633394940.000940000	0
16:23:15.209	1654633395209.000209000	0
16:23:15.479	1654633395479.000479000	0
16:23:15.749	1654633395749.000749000	0.01
16:23:16.017	1654633396017.000017000	0.01
16:23:16.283	1654633396283.000283000	0
16:23:16.559	1654633396559.000559000	0.01
16:23:16.829	1654633396829.000829000	0
16:23:17.099	1654633397099.000099000	0
16:23:17.369	1654633397369.000369000	0
16:23:17.724	1654633397724.000724000	0
16:23:17.999	1654633397999.000999000	0
16:23:18.268	1654633398268.000268000	0
16:23:18.628	1654633398628.000628000	0.01
16:23:18.893	1654633398893.000893000	0
16:23:19.161	1654633399161.000161000	0.01
16:23:19.529	1654633399529.000529000	0
16:23:19.884	1654633399884.000884000	0
16:23:20.249	1654633400249.000249000	0.01
16:23:20.609	1654633400609.000609000	0.01
16:23:20.960	1654633400960.000960000	0
16:23:21.231	1654633401231.000231000	0.01
16:23:21.592	1654633401592.000592000	0
16:23:21.959	1654633401959.000959000	0.01
16:23:22.312	1654633402312.000312000	0
16:23:22.679	1654633402679.000679000	0
16:23:22.945	1654633402945.000945000	0
16:23:23.300	1654633403300.000300000	0.01
16:23:23.666	1654633403666.000666000	0.01
16:23:24.030	1654633404030.000030000	0
16:23:24.294	1654633404294.000294000	0
16:23:24.567	1654633404567.000567000	0
16:23:24.839	1654633404839.000839000	0.01
16:23:25.197	1654633405197.000197000	0
16:23:25.552	1654633405552.000552000	0
16:23:25.917	1654633405917.000917000	0.01
16:23:26.273	1654633406273.000273000	0
16:23:26.545	1654633406545.000545000	0
16:23:26.907	1654633406907.000907000	0
16:23:27.359	1654633407359.000359000	0
16:23:27.629	1654633407629.000629000	0
16:23:27.890	1654633407890.000890000	0
16:23:28.170	1654633408170.000170000	0.01
16:23:28.439	1654633408439.000439000	0.01
16:23:28.709	1654633408709.000709000	0.01
16:23:28.979	1654633408979.000979000	0.01
16:23:29.249	1654633409249.000249000	0
16:23:29.519	1654633409519.000519000	0
16:23:29.789	1654633409789.000789000	0
16:23:30.057	1654633410057.000057000	0
16:23:30.326	1654633410326.000326000	0
16:23:30.599	1654633410599.000599000	0.01
16:23:30.869	1654633410869.000869000	0
16:23:31.132	1654633411132.000132000	0
16:23:31.409	1654633411409.000409000	0
16:23:31.680	1654633411680.000680000	0.01
16:23:31.949	1654633411949.000949000	0
16:23:32.220	1654633412220.000220000	0
16:23:43.914	1654633412490.000490000	0.01
16:23:32.760	1654633412760.000760000	0
16:23:33.029	1654633413029.000029000	0
16:23:33.300	1654633413300.000300000	0
16:23:33.562	1654633413562.000562000	0.01
16:23:33.839	1654633413839.000839000	0
16:23:34.109	1654633414109.000109000	0
16:23:34.371	1654633414371.000371000	0.01
16:23:34.650	1654633414650.000650000	0
16:23:34.920	1654633414920.000920000	0.01
16:23:35.180	1654633415180.000180000	0.01
16:23:35.459	1654633415459.000459000	0.01
16:23:35.729	1654633415729.000729000	0
16:23:36.000	1654633416000.000000000	0.01
16:23:36.354	1654633416354.000354000	0
16:23:36.629	1654633416629.000629000	0.01
16:23:36.900	1654633416900.000900000	0
16:23:37.170	1654633417170.000170000	0.01
16:23:37.439	1654633417439.000439000	0.01
16:23:37.709	1654633417709.000709000	0.01
16:23:37.979	1654633417979.000979000	0
16:23:38.249	1654633418249.000249000	0
16:23:38.520	1654633418520.000520000	0
16:23:38.789	1654633418789.000789000	0.01
16:23:39.060	1654633419060.000060000	0
16:23:39.330	1654633419330.000330000	0
16:23:39.599	1654633419599.000599000	0.01
16:23:39.869	1654633419869.000869000	0
16:23:40.139	1654633420139.000139000	0.01
16:23:40.410	1654633420410.000410000	0.01
16:23:40.679	1654633420679.000679000	0.01
16:23:40.949	1654633420949.000949000	0
16:23:41.218	1654633421218.000218000	0.01
16:23:41.485	1654633421485.000485000	0
16:23:41.760	1654633421760.000760000	0.01
16:23:42.029	1654633422029.000029000	0
16:23:42.299	1654633422299.000299000	0
16:23:42.569	1654633422569.000569000	0
16:23:42.839	1654633422839.000839000	0.01
16:23:43.110	1654633423110.000110000	0
16:23:43.379	1654633423379.000379000	0
16:23:43.650	1654633423650.000650000	0.01
16:23:43.914	1654633423914.000914000	0.01
