Data from AquariumR3_Units31_15-50-46-166.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
15:50:17.984	1654631417984.000984000	0.14
15:50:18.253	1654631418253.000253000	0.14
15:50:18.525	1654631418525.000525000	0.14
15:50:18.794	1654631418794.000794000	0.14
15:50:19.064	1654631419064.000064000	0.14
15:50:19.334	1654631419334.000334000	0.14
15:50:19.604	1654631419604.000604000	0.14
15:50:19.874	1654631419874.000874000	0.14
15:50:20.144	1654631420144.000144000	0.14
15:50:20.414	1654631420414.000414000	0.14
15:50:20.684	1654631420684.000684000	0.14
15:50:20.954	1654631420954.000954000	0.15
15:50:21.224	1654631421224.000224000	0.15
15:50:21.494	1654631421494.000494000	0.14
15:50:21.764	1654631421764.000764000	0.15
15:50:22.034	1654631422034.000034000	0.15
15:50:22.304	1654631422304.000304000	0.14
15:50:22.575	1654631422575.000575000	0.15
15:50:22.845	1654631422845.000845000	0.15
15:50:23.115	1654631423115.000115000	0.14
15:50:23.384	1654631423384.000384000	0.15
15:50:23.653	1654631423653.000653000	0.14
15:50:23.923	1654631423923.000923000	0.15
15:50:24.194	1654631424194.000194000	0.15
15:50:24.464	1654631424464.000464000	0.14
15:50:24.734	1654631424734.000734000	0.14
15:50:25.001	1654631425001.000001000	0.14
15:50:25.272	1654631425272.000272000	0.14
15:50:25.544	1654631425544.000544000	0.14
15:50:25.814	1654631425814.000814000	0.14
15:50:26.084	1654631426084.000084000	0.14
15:50:26.354	1654631426354.000354000	0.14
15:50:26.625	1654631426625.000625000	0.15
15:50:26.894	1654631426894.000894000	0.14
15:50:27.164	1654631427164.000164000	0.15
15:50:27.435	1654631427435.000435000	0.14
15:50:27.703	1654631427703.000703000	0.14
15:50:27.974	1654631427974.000974000	0.15
15:50:28.243	1654631428243.000243000	0.14
15:50:28.513	1654631428513.000513000	0.14
15:50:28.783	1654631428783.000783000	0.14
15:50:29.054	1654631429054.000054000	0.14
15:50:29.324	1654631429324.000324000	0.14
15:50:29.587	1654631429587.000587000	0.14
15:50:29.864	1654631429864.000864000	0.14
15:50:30.134	1654631430134.000134000	0.14
15:50:30.404	1654631430404.000404000	0.14
15:50:30.671	1654631430671.000671000	0.14
15:50:30.944	1654631430944.000944000	0.14
15:50:31.213	1654631431213.000213000	0.14
15:50:31.484	1654631431484.000484000	0.14
15:50:31.754	1654631431754.000754000	0.14
15:50:32.025	1654631432025.000025000	0.14
15:50:32.294	1654631432294.000294000	0.14
15:50:32.564	1654631432564.000564000	0.14
15:50:32.834	1654631432834.000834000	0.14
15:50:33.104	1654631433104.000104000	0.14
15:50:33.374	1654631433374.000374000	0.14
15:50:33.644	1654631433644.000644000	0.14
15:50:33.914	1654631433914.000914000	0.14
15:50:34.269	1654631434269.000269000	0.15
15:50:34.545	1654631434545.000545000	0.15
15:50:34.814	1654631434814.000814000	0.15
15:50:35.085	1654631435085.000085000	0.14
15:50:35.355	1654631435355.000355000	0.15
15:50:35.625	1654631435625.000625000	0.15
15:50:35.895	1654631435895.000895000	0.15
15:50:36.165	1654631436165.000165000	0.14
15:50:36.435	1654631436435.000435000	0.14
15:50:36.695	1654631436695.000695000	0.14
15:50:36.974	1654631436974.000974000	0.15
15:50:37.245	1654631437245.000245000	0.14
15:50:37.513	1654631437513.000513000	0.14
15:50:37.784	1654631437784.000784000	0.14
15:50:38.054	1654631438054.000054000	0.15
15:50:38.324	1654631438324.000324000	0.15
15:50:38.590	1654631438590.000590000	0.14
15:50:38.857	1654631438857.000857000	0.15
15:50:39.134	1654631439134.000134000	0.14
15:50:39.405	1654631439405.000405000	0.14
15:50:39.675	1654631439675.000675000	0.14
15:50:39.935	1654631439935.000935000	0.14
15:50:40.205	1654631440205.000205000	0.14
15:50:40.483	1654631440483.000483000	0.14
15:50:40.748	1654631440748.000748000	0.14
15:50:41.020	1654631441020.000020000	0.15
15:50:41.294	1654631441294.000294000	0.15
15:50:41.565	1654631441565.000565000	0.15
15:50:41.834	1654631441834.000834000	0.14
15:50:42.105	1654631442105.000105000	0.14
15:50:42.375	1654631442375.000375000	0.14
15:50:42.644	1654631442644.000644000	0.14
15:50:42.915	1654631442915.000915000	0.14
15:50:43.184	1654631443184.000184000	0.14
15:50:43.454	1654631443454.000454000	0.14
15:50:43.724	1654631443724.000724000	0.14
15:50:43.994	1654631443994.000994000	0.14
15:50:44.256	1654631444256.000256000	0.14
15:50:44.534	1654631444534.000534000	0.14
15:50:44.796	1654631444796.000796000	0.14
15:50:45.075	1654631445075.000075000	0.14
15:50:45.432	1654631445432.000432000	0.14
15:50:45.704	1654631445704.000704000	0.14
15:50:45.974	1654631445974.000974000	0.14
