Data from Control_Ofav_DD_R3_Trend40_17-37-52-213.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 9.000000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
17:37:20.974	1654637840974.000974000	-0.02
17:37:21.243	1654637841243.000243000	-0.02
17:37:21.514	1654637841514.000514000	-0.02
17:37:21.783	1654637841783.000783000	-0.02
17:37:22.053	1654637842053.000053000	-0.02
17:37:22.323	1654637842323.000323000	-0.02
17:37:22.593	1654637842593.000593000	-0.02
17:37:22.863	1654637842863.000863000	-0.02
17:37:23.133	1654637843133.000133000	-0.02
17:37:23.402	1654637843402.000402000	-0.02
17:37:23.673	1654637843673.000673000	-0.02
17:37:23.943	1654637843943.000943000	-0.02
17:37:24.204	1654637844204.000204000	-0.02
17:37:24.483	1654637844483.000483000	-0.02
17:37:24.753	1654637844753.000753000	-0.02
17:37:25.023	1654637845023.000023000	-0.01
17:37:25.293	1654637845293.000293000	-0.01
17:37:25.563	1654637845563.000563000	-0.01
17:37:25.824	1654637845824.000824000	-0.02
17:37:26.104	1654637846104.000104000	-0.02
17:37:26.373	1654637846373.000373000	-0.02
17:37:26.644	1654637846644.000644000	-0.02
17:37:26.913	1654637846913.000913000	-0.02
17:37:27.183	1654637847183.000183000	-0.02
17:37:27.447	1654637847447.000447000	-0.02
17:37:27.723	1654637847723.000723000	-0.02
17:37:27.993	1654637847993.000993000	-0.02
17:37:28.263	1654637848263.000263000	-0.02
17:37:28.533	1654637848533.000533000	-0.02
17:37:28.803	1654637848803.000803000	-0.02
17:37:29.073	1654637849073.000073000	-0.02
17:37:29.343	1654637849343.000343000	-0.01
17:37:29.614	1654637849614.000614000	-0.02
17:37:29.875	1654637849875.000875000	-0.02
17:37:30.153	1654637850153.000153000	-0.02
17:37:30.423	1654637850423.000423000	-0.02
17:37:30.693	1654637850693.000693000	-0.02
17:37:30.964	1654637850964.000964000	-0.02
17:37:31.233	1654637851233.000233000	-0.02
17:37:31.498	1654637851498.000498000	-0.02
17:37:31.773	1654637851773.000773000	-0.02
17:37:32.043	1654637852043.000043000	-0.02
17:37:32.312	1654637852312.000312000	-0.02
17:37:32.583	1654637852583.000583000	-0.02
17:37:32.853	1654637852853.000853000	-0.02
17:37:33.123	1654637853123.000123000	-0.02
17:37:33.393	1654637853393.000393000	-0.02
17:37:33.664	1654637853664.000664000	-0.02
17:37:33.933	1654637853933.000933000	-0.02
17:37:34.203	1654637854203.000203000	-0.02
17:37:34.473	1654637854473.000473000	-0.02
17:37:34.735	1654637854735.000735000	-0.02
17:37:35.014	1654637855014.000014000	-0.02
17:37:35.283	1654637855283.000283000	-0.02
17:37:35.550	1654637855550.000550000	-0.02
17:37:35.823	1654637855823.000823000	-0.02
17:37:36.093	1654637856093.000093000	-0.02
17:37:36.364	1654637856364.000364000	-0.02
17:37:36.633	1654637856633.000633000	-0.02
17:37:36.903	1654637856903.000903000	-0.02
17:37:37.173	1654637857173.000173000	-0.02
17:37:37.443	1654637857443.000443000	-0.02
17:37:37.713	1654637857713.000713000	-0.02
17:37:37.983	1654637857983.000983000	-0.01
17:37:38.253	1654637858253.000253000	-0.02
17:37:38.523	1654637858523.000523000	-0.02
17:37:38.793	1654637858793.000793000	-0.02
17:37:39.064	1654637859064.000064000	-0.02
