Data from 0CX4_Trend18_5.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
13:38:10.367	1657042690367.000367000	0.02
13:38:10.622	1657042690622.000622000	0.02
13:38:10.877	1657042690877.000877000	0.02
13:38:11.133	1657042691133.000133000	0.01
13:38:11.387	1657042691387.000387000	0.01
13:38:11.643	1657042691643.000643000	0.02
13:38:11.897	1657042691897.000897000	0.02
13:38:12.152	1657042692152.000152000	0.02
13:38:12.407	1657042692407.000407000	0.02
13:38:12.663	1657042692663.000663000	0.02
13:38:12.917	1657042692917.000917000	0.01
13:38:13.170	1657042693170.000170000	0.02
13:38:13.428	1657042693428.000428000	0.02
13:38:13.682	1657042693682.000682000	0.02
13:38:13.937	1657042693937.000937000	0.01
13:38:14.189	1657042694189.000189000	0.02
13:38:14.448	1657042694448.000448000	0.01
13:38:14.703	1657042694703.000703000	0.02
13:38:14.958	1657042694958.000958000	0.02
13:38:15.212	1657042695212.000212000	0.02
13:38:15.468	1657042695468.000468000	0.02
13:38:15.721	1657042695721.000721000	0.02
13:38:15.976	1657042695976.000976000	0.01
13:38:16.232	1657042696232.000232000	0.02
13:38:16.487	1657042696487.000487000	0.01
13:38:16.743	1657042696743.000743000	0.02
13:38:16.998	1657042696998.000998000	0.01
13:38:17.252	1657042697252.000252000	0.01
13:38:17.507	1657042697507.000507000	0.02
13:38:17.763	1657042697763.000763000	0.01
13:38:18.019	1657042698019.000019000	0.01
13:38:18.272	1657042698272.000272000	0.01
13:38:18.527	1657042698527.000527000	0.01
13:38:18.782	1657042698782.000782000	0.01
13:38:19.039	1657042699039.000039000	0.01
13:38:19.294	1657042699294.000294000	0.02
13:38:19.547	1657042699547.000547000	0.02
13:38:19.802	1657042699802.000802000	0.01
13:38:20.057	1657042700057.000057000	0.02
13:38:20.313	1657042700313.000313000	0.01
13:38:20.567	1657042700567.000567000	0.02
13:38:20.822	1657042700822.000822000	0.02
13:38:21.078	1657042701078.000078000	0.02
13:38:21.333	1657042701333.000333000	0.01
13:38:21.588	1657042701588.000588000	0.01
13:38:21.843	1657042701843.000843000	0.02
13:38:22.098	1657042702098.000098000	0.02
13:38:22.358	1657042702358.000358000	0.02
13:38:22.607	1657042702607.000607000	0.01
13:38:22.863	1657042702863.000863000	0.02
13:38:23.118	1657042703118.000118000	0.01
13:38:23.372	1657042703372.000372000	0.02
13:38:23.627	1657042703627.000627000	0.02
13:38:23.883	1657042703883.000883000	0.02
13:38:24.137	1657042704137.000137000	0.01
13:38:24.392	1657042704392.000392000	0.01
13:38:24.647	1657042704647.000647000	0.02
13:38:24.902	1657042704902.000902000	0.02
13:38:25.158	1657042705158.000158000	0.02
13:38:25.413	1657042705413.000413000	0.01
13:38:25.668	1657042705668.000668000	0.02
13:38:25.923	1657042705923.000923000	0.02
13:38:26.177	1657042706177.000177000	0.01
13:38:26.433	1657042706433.000433000	0.01
13:38:26.688	1657042706688.000688000	0.02
13:38:26.942	1657042706942.000942000	0.02
13:38:27.197	1657042707197.000197000	0.02
13:38:27.453	1657042707453.000453000	0.01
13:38:27.708	1657042707708.000708000	0.02
13:38:27.962	1657042707962.000962000	0.01
13:38:28.218	1657042708218.000218000	0.02
13:38:28.475	1657042708475.000475000	0.02
13:38:28.733	1657042708733.000733000	0.01
13:38:28.982	1657042708982.000982000	0.01
13:38:29.237	1657042709237.000237000	0.01
13:38:29.492	1657042709492.000492000	0.01
13:38:29.747	1657042709747.000747000	0.01
13:38:30.002	1657042710002.000002000	0.01
13:38:30.257	1657042710257.000257000	0.01
13:38:30.513	1657042710513.000513000	0.01
13:38:30.768	1657042710768.000768000	0.01
13:38:31.023	1657042711023.000023000	0.01
13:38:31.277	1657042711277.000277000	0.01
13:38:31.532	1657042711532.000532000	0.01
13:38:31.788	1657042711788.000788000	0.01
13:38:32.043	1657042712043.000043000	0.01
13:38:32.297	1657042712297.000297000	0.02
13:38:32.553	1657042712553.000553000	0.02
13:38:32.807	1657042712807.000807000	0.01
13:38:33.063	1657042713063.000063000	0.02
13:38:33.321	1657042713321.000321000	0.01
13:38:33.572	1657042713572.000572000	0.01
13:38:33.827	1657042713827.000827000	0.01
13:38:34.082	1657042714082.000082000	0.01
13:38:34.338	1657042714338.000338000	0.02
13:38:34.593	1657042714593.000593000	0.01
13:38:34.848	1657042714848.000848000	0.02
13:38:35.102	1657042715102.000102000	0.01
13:38:35.360	1657042715360.000360000	0.02
13:38:35.615	1657042715615.000615000	0.02
13:38:35.868	1657042715868.000868000	0.01
13:38:36.122	1657042716122.000122000	0.02
13:38:36.378	1657042716378.000378000	0.02
13:38:36.633	1657042716633.000633000	0.01
13:38:36.888	1657042716888.000888000	0.01
13:38:37.143	1657042717143.000143000	0.01
13:38:37.396	1657042717396.000396000	0.02
13:38:37.649	1657042717649.000649000	0.01
13:38:37.907	1657042717907.000907000	0.01
13:38:38.163	1657042718163.000163000	0.01
13:38:38.418	1657042718418.000418000	0.01
13:38:38.673	1657042718673.000673000	0.01
13:38:38.928	1657042718928.000928000	0.01
13:38:39.183	1657042719183.000183000	0.01
13:38:39.438	1657042719438.000438000	0.01
13:38:39.692	1657042719692.000692000	0.01
13:38:39.948	1657042719948.000948000	0.02
13:38:40.202	1657042720202.000202000	0.01
13:38:40.457	1657042720457.000457000	0.02
13:38:40.713	1657042720713.000713000	0.01
13:38:40.967	1657042720967.000967000	0.02
