Data from 0CX4_Units14_6.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
13:53:35.512	1657043615512.000512000	0.12
13:53:35.770	1657043615770.000770000	0.12
13:53:36.025	1657043616025.000025000	0.12
13:53:36.279	1657043616279.000279000	0.12
13:53:36.534	1657043616534.000534000	0.12
13:53:36.790	1657043616790.000790000	0.11
13:53:37.045	1657043617045.000045000	0.12
13:53:37.300	1657043617300.000300000	0.12
13:53:37.556	1657043617556.000556000	0.12
13:53:37.810	1657043617810.000810000	0.12
13:53:38.065	1657043618065.000065000	0.12
13:53:38.320	1657043618320.000320000	0.12
13:53:38.576	1657043618576.000576000	0.12
13:53:38.830	1657043618830.000830000	0.12
13:53:39.086	1657043619086.000086000	0.12
13:53:39.340	1657043619340.000340000	0.12
13:53:39.595	1657043619595.000595000	0.12
13:53:39.850	1657043619850.000850000	0.12
13:53:40.105	1657043620105.000105000	0.12
13:53:40.361	1657043620361.000361000	0.12
13:53:40.616	1657043620616.000616000	0.12
13:53:40.870	1657043620870.000870000	0.12
13:53:41.126	1657043621126.000126000	0.12
13:53:41.384	1657043621384.000384000	0.12
13:53:41.635	1657043621635.000635000	0.12
13:53:41.891	1657043621891.000891000	0.12
13:53:42.145	1657043622145.000145000	0.12
13:53:42.401	1657043622401.000401000	0.12
13:53:42.656	1657043622656.000656000	0.12
13:53:42.911	1657043622911.000911000	0.12
13:53:43.166	1657043623166.000166000	0.12
13:53:43.421	1657043623421.000421000	0.12
13:53:43.679	1657043623679.000679000	0.12
13:53:43.930	1657043623930.000930000	0.12
13:53:44.186	1657043624186.000186000	0.12
13:53:44.441	1657043624441.000441000	0.12
13:53:44.696	1657043624696.000696000	0.12
13:53:44.951	1657043624951.000951000	0.12
13:53:45.206	1657043625206.000206000	0.12
13:53:45.461	1657043625461.000461000	0.12
13:53:45.721	1657043625721.000721000	0.12
13:53:45.970	1657043625970.000970000	0.12
13:53:46.227	1657043626227.000227000	0.12
13:53:46.480	1657043626480.000480000	0.12
13:53:46.735	1657043626735.000735000	0.12
13:53:46.991	1657043626991.000991000	0.12
13:53:47.245	1657043627245.000245000	0.12
13:53:47.500	1657043627500.000500000	0.12
13:53:47.756	1657043627756.000756000	0.12
13:53:48.010	1657043628010.000010000	0.12
13:53:48.265	1657043628265.000265000	0.12
13:53:48.521	1657043628521.000521000	0.12
13:53:48.775	1657043628775.000775000	0.12
13:53:49.031	1657043629031.000031000	0.12
13:53:49.286	1657043629286.000286000	0.12
13:53:49.540	1657043629540.000540000	0.12
13:53:49.795	1657043629795.000795000	0.12
13:53:50.054	1657043630054.000054000	0.12
13:53:50.306	1657043630306.000306000	0.12
13:53:50.561	1657043630561.000561000	0.12
13:53:50.816	1657043630816.000816000	0.12
13:53:51.070	1657043631070.000070000	0.12
13:53:51.326	1657043631326.000326000	0.12
13:53:51.580	1657043631580.000580000	0.12
13:53:51.836	1657043631836.000836000	0.12
13:53:52.091	1657043632091.000091000	0.12
13:53:52.350	1657043632350.000350000	0.12
13:53:52.600	1657043632600.000600000	0.12
13:53:52.855	1657043632855.000855000	0.12
13:53:53.111	1657043633111.000111000	0.12
13:53:53.366	1657043633366.000366000	0.12
13:53:53.621	1657043633621.000621000	0.12
