Data from 0GT1H_Trend18_14-13-42-270.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
14:13:10.381	1656439990381.000381000	0.02
14:13:10.633	1656439990633.000633000	0.02
14:13:10.890	1656439990890.000890000	0.02
14:13:11.143	1656439991143.000143000	0.03
14:13:11.402	1656439991402.000402000	0.02
14:13:11.657	1656439991657.000657000	0.02
14:13:11.909	1656439991909.000909000	0.02
14:13:12.172	1656439992172.000172000	0.02
14:13:12.420	1656439992420.000420000	0.02
14:13:12.682	1656439992682.000682000	0.02
14:13:12.932	1656439992932.000932000	0.02
14:13:13.187	1656439993187.000187000	0.02
14:13:13.442	1656439993442.000442000	0.02
14:13:13.699	1656439993699.000699000	0.02
14:13:13.951	1656439993951.000951000	0.02
14:13:14.206	1656439994206.000206000	0.02
14:13:14.461	1656439994461.000461000	0.02
14:13:14.719	1656439994719.000719000	0.02
14:13:14.972	1656439994972.000972000	0.02
14:13:15.226	1656439995226.000226000	0.02
14:13:15.481	1656439995481.000481000	0.02
14:13:15.737	1656439995737.000737000	0.02
14:13:15.991	1656439995991.000991000	0.02
14:13:16.246	1656439996246.000246000	0.02
14:13:16.501	1656439996501.000501000	0.02
14:13:16.759	1656439996759.000759000	0.02
14:13:17.011	1656439997011.000011000	0.02
14:13:17.266	1656439997266.000266000	0.02
14:13:17.521	1656439997521.000521000	0.02
14:13:17.776	1656439997776.000776000	0.02
14:13:18.032	1656439998032.000032000	0.02
14:13:18.286	1656439998286.000286000	0.02
14:13:18.541	1656439998541.000541000	0.02
14:13:18.796	1656439998796.000796000	0.02
14:13:19.052	1656439999052.000052000	0.02
14:13:19.308	1656439999308.000308000	0.02
14:13:19.561	1656439999561.000561000	0.02
14:13:19.816	1656439999816.000816000	0.02
14:13:20.074	1656440000074.000074000	0.02
14:13:20.326	1656440000326.000326000	0.02
14:13:20.581	1656440000581.000581000	0.02
14:13:20.836	1656440000836.000836000	0.02
14:13:21.095	1656440001095.000095000	0.02
14:13:21.346	1656440001346.000346000	0.02
14:13:21.602	1656440001602.000602000	0.02
14:13:21.856	1656440001856.000856000	0.02
14:13:22.111	1656440002111.000111000	0.02
14:13:22.366	1656440002366.000366000	0.02
14:13:22.621	1656440002621.000621000	0.02
14:13:22.876	1656440002876.000876000	0.02
14:13:23.131	1656440003131.000131000	0.02
14:13:23.386	1656440003386.000386000	0.02
14:13:23.647	1656440003647.000647000	0.02
14:13:23.897	1656440003897.000897000	0.02
14:13:24.151	1656440004151.000151000	0.02
14:13:24.406	1656440004406.000406000	0.02
14:13:24.661	1656440004661.000661000	0.02
14:13:24.916	1656440004916.000916000	0.02
14:13:25.171	1656440005171.000171000	0.02
14:13:25.432	1656440005432.000432000	0.02
14:13:25.681	1656440005681.000681000	0.02
14:13:25.936	1656440005936.000936000	0.02
14:13:26.192	1656440006192.000192000	0.02
14:13:26.447	1656440006447.000447000	0.02
14:13:26.701	1656440006701.000701000	0.02
14:13:26.956	1656440006956.000956000	0.02
14:13:27.211	1656440007211.000211000	0.02
14:13:27.467	1656440007467.000467000	0.02
14:13:27.721	1656440007721.000721000	0.02
14:13:27.977	1656440007977.000977000	0.02
14:13:28.231	1656440008231.000231000	0.02
14:13:28.486	1656440008486.000486000	0.02
14:13:28.741	1656440008741.000741000	0.02
14:13:28.997	1656440008997.000997000	0.02
14:13:29.252	1656440009252.000252000	0.02
14:13:29.506	1656440009506.000506000	0.02
14:13:29.767	1656440009767.000767000	0.02
14:13:30.017	1656440010017.000017000	0.02
14:13:30.272	1656440010272.000272000	0.02
14:13:30.526	1656440010526.000526000	0.02
14:13:30.782	1656440010782.000782000	0.02
14:13:31.034	1656440011034.000034000	0.02
14:13:31.291	1656440011291.000291000	0.02
14:13:31.546	1656440011546.000546000	0.02
14:13:31.802	1656440011802.000802000	0.02
14:13:32.056	1656440012056.000056000	0.02
14:13:32.312	1656440012312.000312000	0.02
14:13:32.566	1656440012566.000566000	0.02
14:13:32.822	1656440012822.000822000	0.02
14:13:33.076	1656440013076.000076000	0.02
14:13:33.332	1656440013332.000332000	0.02
14:13:33.586	1656440013586.000586000	0.02
14:13:33.841	1656440013841.000841000	0.02
14:13:34.102	1656440014102.000102000	0.02
14:13:34.352	1656440014352.000352000	0.02
14:13:34.606	1656440014606.000606000	0.02
14:13:34.862	1656440014862.000862000	0.02
14:13:35.116	1656440015116.000116000	0.02
14:13:35.372	1656440015372.000372000	0.02
14:13:35.627	1656440015627.000627000	0.02
14:13:35.882	1656440015882.000882000	0.02
14:13:36.136	1656440016136.000136000	0.02
14:13:36.392	1656440016392.000392000	0.02
14:13:36.646	1656440016646.000646000	0.02
14:13:36.901	1656440016901.000901000	0.02
14:13:37.158	1656440017158.000158000	0.02
14:13:37.411	1656440017411.000411000	0.02
14:13:37.667	1656440017667.000667000	0.02
14:13:37.922	1656440017922.000922000	0.02
14:13:38.177	1656440018177.000177000	0.02
