Data from 0GT1H_Units14_14-30-51-384.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
14:30:16.257	1656441016257.000257000	0.13
14:30:16.511	1656441016511.000511000	0.13
14:30:16.766	1656441016766.000766000	0.13
14:30:17.021	1656441017021.000021000	0.13
14:30:17.277	1656441017277.000277000	0.13
14:30:17.531	1656441017531.000531000	0.13
14:30:17.786	1656441017786.000786000	0.13
14:30:18.041	1656441018041.000041000	0.13
14:30:18.296	1656441018296.000296000	0.13
14:30:18.551	1656441018551.000551000	0.13
14:30:18.806	1656441018806.000806000	0.13
14:30:19.064	1656441019064.000064000	0.13
14:30:19.318	1656441019318.000318000	0.13
14:30:19.571	1656441019571.000571000	0.13
14:30:19.826	1656441019826.000826000	0.13
14:30:20.081	1656441020081.000081000	0.13
14:30:20.336	1656441020336.000336000	0.13
14:30:20.592	1656441020592.000592000	0.13
14:30:20.846	1656441020846.000846000	0.13
14:30:21.101	1656441021101.000101000	0.13
14:30:21.356	1656441021356.000356000	0.13
14:30:21.614	1656441021614.000614000	0.13
14:30:21.868	1656441021868.000868000	0.13
14:30:22.129	1656441022129.000129000	0.13
14:30:22.377	1656441022377.000377000	0.13
14:30:22.631	1656441022631.000631000	0.13
14:30:22.887	1656441022887.000887000	0.13
14:30:23.140	1656441023140.000140000	0.13
14:30:23.397	1656441023397.000397000	0.13
14:30:23.651	1656441023651.000651000	0.13
14:30:23.907	1656441023907.000907000	0.13
14:30:24.161	1656441024161.000161000	0.14
14:30:24.416	1656441024416.000416000	0.13
14:30:24.672	1656441024672.000672000	0.13
14:30:24.926	1656441024926.000926000	0.13
14:30:25.181	1656441025181.000181000	0.13
14:30:25.436	1656441025436.000436000	0.13
14:30:25.691	1656441025691.000691000	0.13
14:30:25.949	1656441025949.000949000	0.13
14:30:26.201	1656441026201.000201000	0.13
14:30:26.462	1656441026462.000462000	0.13
14:30:26.712	1656441026712.000712000	0.13
14:30:26.967	1656441026967.000967000	0.13
14:30:27.221	1656441027221.000221000	0.13
14:30:27.476	1656441027476.000476000	0.13
14:30:27.731	1656441027731.000731000	0.13
14:30:27.984	1656441027984.000984000	0.13
14:30:28.241	1656441028241.000241000	0.13
14:30:28.496	1656441028496.000496000	0.13
14:30:28.752	1656441028752.000752000	0.13
14:30:29.006	1656441029006.000006000	0.13
14:30:29.261	1656441029261.000261000	0.13
14:30:29.516	1656441029516.000516000	0.13
14:30:29.771	1656441029771.000771000	0.13
14:30:30.027	1656441030027.000027000	0.13
14:30:30.281	1656441030281.000281000	0.13
14:30:30.536	1656441030536.000536000	0.13
14:30:30.791	1656441030791.000791000	0.13
14:30:31.050	1656441031050.000050000	0.13
14:30:31.301	1656441031301.000301000	0.13
14:30:31.556	1656441031556.000556000	0.13
14:30:31.811	1656441031811.000811000	0.13
14:30:32.065	1656441032065.000065000	0.13
14:30:32.322	1656441032322.000322000	0.13
14:30:32.576	1656441032576.000576000	0.13
14:30:32.831	1656441032831.000831000	0.13
14:30:33.085	1656441033085.000085000	0.13
14:30:33.341	1656441033341.000341000	0.13
14:30:33.596	1656441033596.000596000	0.13
14:30:33.851	1656441033851.000851000	0.13
14:30:34.106	1656441034106.000106000	0.13
