Data from 2CX12B_Trend18_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:40:36.084	1656448836084.000084000	0.02
16:40:36.332	1656448836332.000332000	0.02
16:40:36.587	1656448836587.000587000	0.02
16:40:36.844	1656448836844.000844000	0.02
16:40:37.101	1656448837101.000101000	0.02
16:40:37.352	1656448837352.000352000	0.02
16:40:37.607	1656448837607.000607000	0.02
16:40:37.868	1656448837868.000868000	0.02
16:40:38.117	1656448838117.000117000	0.02
16:40:38.372	1656448838372.000372000	0.02
16:40:38.627	1656448838627.000627000	0.02
16:40:38.882	1656448838882.000882000	0.02
16:40:39.142	1656448839142.000142000	0.02
16:40:39.393	1656448839393.000393000	0.02
16:40:39.647	1656448839647.000647000	0.02
16:40:39.902	1656448839902.000902000	0.02
16:40:40.157	1656448840157.000157000	0.02
16:40:40.413	1656448840413.000413000	0.02
16:40:40.667	1656448840667.000667000	0.02
16:40:40.922	1656448840922.000922000	0.02
16:40:41.178	1656448841178.000178000	0.02
16:40:41.433	1656448841433.000433000	0.02
16:40:41.687	1656448841687.000687000	0.02
16:40:41.943	1656448841943.000943000	0.02
16:40:42.197	1656448842197.000197000	0.02
16:40:42.454	1656448842454.000454000	0.02
16:40:42.707	1656448842707.000707000	0.02
16:40:42.962	1656448842962.000962000	0.02
16:40:43.217	1656448843217.000217000	0.02
16:40:43.473	1656448843473.000473000	0.02
16:40:43.728	1656448843728.000728000	0.02
16:40:43.982	1656448843982.000982000	0.02
16:40:44.238	1656448844238.000238000	0.02
16:40:44.493	1656448844493.000493000	0.02
16:40:44.748	1656448844748.000748000	0.02
16:40:45.002	1656448845002.000002000	0.02
16:40:45.257	1656448845257.000257000	0.02
16:40:45.513	1656448845513.000513000	0.02
16:40:45.768	1656448845768.000768000	0.02
16:40:46.022	1656448846022.000022000	0.02
16:40:46.277	1656448846277.000277000	0.02
16:40:46.532	1656448846532.000532000	0.02
16:40:46.786	1656448846786.000786000	0.02
16:40:47.043	1656448847043.000043000	0.02
16:40:47.298	1656448847298.000298000	0.02
16:40:47.553	1656448847553.000553000	0.02
16:40:47.807	1656448847807.000807000	0.02
16:40:48.062	1656448848062.000062000	0.02
16:40:48.318	1656448848318.000318000	0.02
16:40:48.573	1656448848573.000573000	0.02
16:40:48.825	1656448848825.000825000	0.02
16:40:49.082	1656448849082.000082000	0.02
16:40:49.337	1656448849337.000337000	0.02
16:40:49.593	1656448849593.000593000	0.02
16:40:49.847	1656448849847.000847000	0.02
16:40:50.102	1656448850102.000102000	0.02
16:40:50.358	1656448850358.000358000	0.02
16:40:50.613	1656448850613.000613000	0.02
16:40:50.867	1656448850867.000867000	0.02
16:40:51.129	1656448851129.000129000	0.02
16:40:51.378	1656448851378.000378000	0.02
16:40:51.633	1656448851633.000633000	0.02
16:40:51.887	1656448851887.000887000	0.02
16:40:52.143	1656448852143.000143000	0.02
16:40:52.398	1656448852398.000398000	0.02
16:40:52.653	1656448852653.000653000	0.02
16:40:52.908	1656448852908.000908000	0.02
16:40:53.168	1656448853168.000168000	0.02
16:40:53.418	1656448853418.000418000	0.02
16:40:53.672	1656448853672.000672000	0.02
16:40:53.928	1656448853928.000928000	0.02
16:40:54.183	1656448854183.000183000	0.02
16:40:54.437	1656448854437.000437000	0.02
16:40:54.693	1656448854693.000693000	0.02
16:40:54.947	1656448854947.000947000	0.02
16:40:55.209	1656448855209.000209000	0.02
16:40:55.459	1656448855459.000459000	0.02
16:40:55.713	1656448855713.000713000	0.02
16:40:55.968	1656448855968.000968000	0.02
16:40:56.222	1656448856222.000222000	0.02
16:40:56.478	1656448856478.000478000	0.02
16:40:56.733	1656448856733.000733000	0.02
16:40:56.987	1656448856987.000987000	0.02
16:40:57.244	1656448857244.000244000	0.02
16:40:57.501	1656448857501.000501000	0.02
16:40:57.753	1656448857753.000753000	0.02
16:40:58.008	1656448858008.000008000	0.02
16:40:58.262	1656448858262.000262000	0.02
16:40:58.518	1656448858518.000518000	0.03
16:40:58.774	1656448858774.000774000	0.02
16:40:59.028	1656448859028.000028000	0.02
16:40:59.282	1656448859282.000282000	0.02
16:40:59.539	1656448859539.000539000	0.02
16:40:59.793	1656448859793.000793000	0.02
16:41:00.048	1656448860048.000048000	0.02
