Data from 2CX12B_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
17:04:31.910	1656450271910.000910000	0.13
17:04:32.167	1656450272167.000167000	0.14
17:04:32.422	1656450272422.000422000	0.13
17:04:32.677	1656450272677.000677000	0.13
17:04:32.932	1656450272932.000932000	0.13
17:04:33.187	1656450273187.000187000	0.13
17:04:33.442	1656450273442.000442000	0.13
17:04:33.699	1656450273699.000699000	0.13
17:04:33.966	1656450273966.000966000	0.13
17:04:34.205	1656450274205.000205000	0.14
17:04:34.462	1656450274462.000462000	0.13
17:04:34.717	1656450274717.000717000	0.13
17:04:34.969	1656450274969.000969000	0.14
17:04:35.227	1656450275227.000227000	0.13
17:04:35.481	1656450275481.000481000	0.14
17:04:35.739	1656450275739.000739000	0.14
17:04:35.992	1656450275992.000992000	0.13
17:04:36.248	1656450276248.000248000	0.13
17:04:36.502	1656450276502.000502000	0.13
17:04:36.753	1656450276753.000753000	0.13
17:04:37.011	1656450277011.000011000	0.13
17:04:37.267	1656450277267.000267000	0.13
17:04:37.522	1656450277522.000522000	0.13
17:04:37.780	1656450277780.000780000	0.13
17:04:38.031	1656450278031.000031000	0.13
17:04:38.287	1656450278287.000287000	0.13
17:04:38.542	1656450278542.000542000	0.14
17:04:38.806	1656450278806.000806000	0.13
17:04:39.052	1656450279052.000052000	0.13
17:04:39.307	1656450279307.000307000	0.14
17:04:39.562	1656450279562.000562000	0.14
17:04:39.816	1656450279816.000816000	0.14
17:04:40.072	1656450280072.000072000	0.13
17:04:40.346	1656450280346.000346000	0.13
17:04:40.582	1656450280582.000582000	0.13
17:04:40.836	1656450280836.000836000	0.13
17:04:41.093	1656450281093.000093000	0.14
17:04:41.347	1656450281347.000347000	0.14
17:04:41.604	1656450281604.000604000	0.13
17:04:41.859	1656450281859.000859000	0.13
17:04:42.111	1656450282111.000111000	0.13
17:04:42.367	1656450282367.000367000	0.13
17:04:42.622	1656450282622.000622000	0.13
17:04:42.876	1656450282876.000876000	0.14
17:04:43.131	1656450283131.000131000	0.13
17:04:43.387	1656450283387.000387000	0.13
17:04:43.641	1656450283641.000641000	0.13
17:04:43.894	1656450283894.000894000	0.13
17:04:44.151	1656450284151.000151000	0.13
17:04:44.407	1656450284407.000407000	0.13
17:04:44.661	1656450284661.000661000	0.14
17:04:44.917	1656450284917.000917000	0.14
17:04:45.174	1656450285174.000174000	0.13
17:04:45.427	1656450285427.000427000	0.13
17:04:45.682	1656450285682.000682000	0.14
17:04:45.934	1656450285934.000934000	0.13
17:04:46.192	1656450286192.000192000	0.14
17:04:46.447	1656450286447.000447000	0.14
17:04:46.702	1656450286702.000702000	0.13
17:04:46.957	1656450286957.000957000	0.13
17:04:47.212	1656450287212.000212000	0.13
17:04:47.467	1656450287467.000467000	0.13
17:04:47.722	1656450287722.000722000	0.13
17:04:47.977	1656450287977.000977000	0.13
17:04:48.237	1656450288237.000237000	0.13
17:04:48.487	1656450288487.000487000	0.14
17:04:48.742	1656450288742.000742000	0.14
17:04:48.997	1656450288997.000997000	0.13
17:04:49.252	1656450289252.000252000	0.13
17:04:49.507	1656450289507.000507000	0.13
17:04:49.762	1656450289762.000762000	0.13
17:04:50.017	1656450290017.000017000	0.13
