Data from 2CX12O_Trend23_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
14:38:54.742	1656787134742.000742000	-0
14:38:55.042	1656787135042.000042000	-0
14:38:55.341	1656787135341.000341000	-0.01
14:38:55.642	1656787135642.000642000	-0.01
14:38:55.941	1656787135941.000941000	-0
14:38:56.241	1656787136241.000241000	-0.01
14:38:56.542	1656787136542.000542000	-0
14:38:56.841	1656787136841.000841000	-0
14:38:57.137	1656787137137.000137000	-0
14:38:57.442	1656787137442.000442000	-0
14:38:57.735	1656787137735.000735000	-0.01
14:38:58.042	1656787138042.000042000	-0.01
14:38:58.339	1656787138339.000339000	-0
14:38:58.641	1656787138641.000641000	-0
14:38:58.942	1656787138942.000942000	-0
14:38:59.241	1656787139241.000241000	-0
14:38:59.541	1656787139541.000541000	-0
14:38:59.842	1656787139842.000842000	-0
14:39:00.141	1656787140141.000141000	-0
14:39:00.443	1656787140443.000443000	-0
14:39:00.742	1656787140742.000742000	-0
14:39:01.034	1656787141034.000034000	-0
14:39:01.333	1656787141333.000333000	-0
14:39:01.642	1656787141642.000642000	-0
14:39:01.933	1656787141933.000933000	-0
14:39:02.242	1656787142242.000242000	-0
14:39:02.542	1656787142542.000542000	-0.01
14:39:02.842	1656787142842.000842000	-0.01
14:39:03.142	1656787143142.000142000	-0.01
14:39:03.433	1656787143433.000433000	-0.01
14:39:03.734	1656787143734.000734000	-0
14:39:04.043	1656787144043.000043000	-0
14:39:04.341	1656787144341.000341000	-0
14:39:04.633	1656787144633.000633000	-0
14:39:04.933	1656787144933.000933000	-0
14:39:05.242	1656787145242.000242000	-0
14:39:05.541	1656787145541.000541000	-0
14:39:05.841	1656787145841.000841000	-0.01
14:39:06.142	1656787146142.000142000	0
14:39:06.433	1656787146433.000433000	-0
14:39:06.742	1656787146742.000742000	-0
14:39:07.042	1656787147042.000042000	-0
14:39:07.342	1656787147342.000342000	-0.01
14:39:07.642	1656787147642.000642000	-0
14:39:07.938	1656787147938.000938000	-0
14:39:08.242	1656787148242.000242000	-0
14:39:08.542	1656787148542.000542000	-0
14:39:08.841	1656787148841.000841000	-0
14:39:09.142	1656787149142.000142000	-0
14:39:09.442	1656787149442.000442000	-0
14:39:09.741	1656787149741.000741000	-0
14:39:10.042	1656787150042.000042000	-0
14:39:10.342	1656787150342.000342000	-0
14:39:10.641	1656787150641.000641000	-0
14:39:10.942	1656787150942.000942000	-0
14:39:11.241	1656787151241.000241000	-0
14:39:11.542	1656787151542.000542000	-0
14:39:11.843	1656787151843.000843000	-0
14:39:12.141	1656787152141.000141000	-0
14:39:12.440	1656787152440.000440000	0
14:39:12.741	1656787152741.000741000	-0
14:39:13.042	1656787153042.000042000	-0
14:39:13.342	1656787153342.000342000	-0
14:39:13.642	1656787153642.000642000	-0
14:39:13.942	1656787153942.000942000	-0
14:39:14.242	1656787154242.000242000	-0
14:39:14.535	1656787154535.000535000	-0
14:39:14.842	1656787154842.000842000	-0
14:39:15.142	1656787155142.000142000	-0
14:39:15.441	1656787155441.000441000	-0
14:39:15.743	1656787155743.000743000	-0
14:39:16.042	1656787156042.000042000	-0
14:39:16.341	1656787156341.000341000	-0
14:39:16.640	1656787156640.000640000	-0
14:39:16.942	1656787156942.000942000	-0.01
14:39:17.242	1656787157242.000242000	-0
14:39:17.542	1656787157542.000542000	-0
14:39:17.843	1656787157843.000843000	-0
14:39:18.142	1656787158142.000142000	-0.01
14:39:18.443	1656787158443.000443000	-0
14:39:18.743	1656787158743.000743000	-0
14:39:19.042	1656787159042.000042000	-0
14:39:19.342	1656787159342.000342000	-0
14:39:19.642	1656787159642.000642000	-0
14:39:19.942	1656787159942.000942000	-0
14:39:20.242	1656787160242.000242000	0
14:39:20.542	1656787160542.000542000	-0
14:39:20.842	1656787160842.000842000	-0
14:39:21.140	1656787161140.000140000	-0.01
14:39:21.442	1656787161442.000442000	-0
14:39:21.742	1656787161742.000742000	-0
14:39:22.041	1656787162041.000041000	-0
14:39:22.343	1656787162343.000343000	0
14:39:22.642	1656787162642.000642000	-0
14:39:22.941	1656787162941.000941000	-0
14:39:23.242	1656787163242.000242000	-0
14:39:23.542	1656787163542.000542000	-0
14:39:23.833	1656787163833.000833000	-0.01
14:39:24.142	1656787164142.000142000	-0
14:39:24.441	1656787164441.000441000	-0
14:39:24.741	1656787164741.000741000	-0
14:39:25.042	1656787165042.000042000	-0
14:39:25.340	1656787165340.000340000	-0.01
14:39:25.642	1656787165642.000642000	-0
14:39:25.935	1656787165935.000935000	-0
14:39:26.242	1656787166242.000242000	-0
14:39:26.541	1656787166541.000541000	0
14:39:26.842	1656787166842.000842000	-0
14:39:27.142	1656787167142.000142000	-0
14:39:27.442	1656787167442.000442000	-0
14:39:27.742	1656787167742.000742000	-0
14:39:28.042	1656787168042.000042000	-0
14:39:28.342	1656787168342.000342000	-0
14:39:28.643	1656787168643.000643000	-0
14:39:28.942	1656787168942.000942000	-0
14:39:29.242	1656787169242.000242000	-0.01
14:39:29.542	1656787169542.000542000	-0
14:39:29.840	1656787169840.000840000	-0
14:39:30.142	1656787170142.000142000	-0
14:39:30.442	1656787170442.000442000	-0
14:39:30.743	1656787170743.000743000	-0
14:39:31.036	1656787171036.000036000	-0
