Data from 2CX12S_Trend23_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
15:51:02.372	1656791462372.000372000	-0
15:51:02.673	1656791462673.000673000	0
15:51:02.971	1656791462971.000971000	-0
15:51:03.269	1656791463269.000269000	0
15:51:03.572	1656791463572.000572000	0
15:51:03.873	1656791463873.000873000	-0
15:51:04.172	1656791464172.000172000	0
15:51:04.463	1656791464463.000463000	-0
15:51:04.772	1656791464772.000772000	-0
15:51:05.072	1656791465072.000072000	-0
15:51:05.372	1656791465372.000372000	0.01
15:51:05.672	1656791465672.000672000	-0
15:51:05.972	1656791465972.000972000	-0
15:51:06.272	1656791466272.000272000	-0
15:51:06.572	1656791466572.000572000	0
15:51:06.872	1656791466872.000872000	-0
15:51:07.172	1656791467172.000172000	0
15:51:07.471	1656791467471.000471000	-0
15:51:07.767	1656791467767.000767000	-0
15:51:08.071	1656791468071.000071000	-0
15:51:08.373	1656791468373.000373000	-0
15:51:08.672	1656791468672.000672000	0
15:51:08.972	1656791468972.000972000	-0
15:51:09.272	1656791469272.000272000	-0
15:51:09.573	1656791469573.000573000	0
15:51:09.872	1656791469872.000872000	-0
15:51:10.172	1656791470172.000172000	-0
15:51:10.464	1656791470464.000464000	-0
15:51:10.772	1656791470772.000772000	0.02
15:51:11.074	1656791471074.000074000	0.01
15:51:11.372	1656791471372.000372000	0
15:51:11.671	1656791471671.000671000	0
15:51:11.964	1656791471964.000964000	0
15:51:12.273	1656791472273.000273000	0
15:51:12.571	1656791472571.000571000	0
15:51:12.865	1656791472865.000865000	0
15:51:13.172	1656791473172.000172000	0
15:51:13.472	1656791473472.000472000	-0
15:51:13.772	1656791473772.000772000	-0
15:51:14.082	1656791474082.000082000	0.01
15:51:14.372	1656791474372.000372000	0
15:51:14.672	1656791474672.000672000	0
15:51:14.971	1656791474971.000971000	0.01
15:51:15.271	1656791475271.000271000	0
15:51:15.572	1656791475572.000572000	-0
15:51:15.872	1656791475872.000872000	-0
15:51:16.172	1656791476172.000172000	0.01
15:51:16.467	1656791476467.000467000	0.01
15:51:16.772	1656791476772.000772000	-0
15:51:17.072	1656791477072.000072000	-0
15:51:17.372	1656791477372.000372000	0
15:51:17.672	1656791477672.000672000	-0
15:51:17.972	1656791477972.000972000	-0
15:51:18.272	1656791478272.000272000	-0
15:51:18.572	1656791478572.000572000	-0
15:51:18.872	1656791478872.000872000	-0
15:51:19.173	1656791479173.000173000	-0
15:51:19.472	1656791479472.000472000	0
15:51:19.773	1656791479773.000773000	-0
15:51:20.072	1656791480072.000072000	-0
15:51:20.372	1656791480372.000372000	0
15:51:20.669	1656791480669.000669000	0
15:51:20.972	1656791480972.000972000	-0
15:51:21.272	1656791481272.000272000	0
15:51:21.573	1656791481573.000573000	-0
15:51:21.872	1656791481872.000872000	-0
15:51:22.172	1656791482172.000172000	0.01
15:51:22.472	1656791482472.000472000	0.01
15:51:22.772	1656791482772.000772000	-0
15:51:23.072	1656791483072.000072000	-0
15:51:23.371	1656791483371.000371000	0
15:51:23.672	1656791483672.000672000	-0
15:51:23.972	1656791483972.000972000	-0
15:51:24.272	1656791484272.000272000	-0
15:51:24.572	1656791484572.000572000	-0
15:51:24.872	1656791484872.000872000	0.01
15:51:25.166	1656791485166.000166000	-0
15:51:25.472	1656791485472.000472000	0
15:51:25.772	1656791485772.000772000	-0
15:51:26.072	1656791486072.000072000	-0
15:51:26.372	1656791486372.000372000	0
15:51:26.673	1656791486673.000673000	0
15:51:26.972	1656791486972.000972000	0
15:51:27.270	1656791487270.000270000	-0
15:51:27.572	1656791487572.000572000	0
15:51:27.872	1656791487872.000872000	-0
15:51:28.172	1656791488172.000172000	-0
15:51:28.472	1656791488472.000472000	-0
15:51:28.773	1656791488773.000773000	-0
15:51:29.072	1656791489072.000072000	-0
15:51:29.364	1656791489364.000364000	-0
15:51:29.672	1656791489672.000672000	-0
15:51:29.972	1656791489972.000972000	-0
15:51:30.272	1656791490272.000272000	0
15:51:30.572	1656791490572.000572000	0
15:51:30.872	1656791490872.000872000	0
15:51:31.171	1656791491171.000171000	0
15:51:31.472	1656791491472.000472000	0
15:51:31.772	1656791491772.000772000	-0
15:51:32.071	1656791492071.000071000	0
15:51:32.373	1656791492373.000373000	-0
15:51:32.673	1656791492673.000673000	-0
15:51:32.972	1656791492972.000972000	-0
15:51:33.272	1656791493272.000272000	-0
15:51:33.572	1656791493572.000572000	-0
15:51:33.872	1656791493872.000872000	-0
15:51:34.172	1656791494172.000172000	-0
15:51:34.472	1656791494472.000472000	-0
15:51:34.774	1656791494774.000774000	-0
15:51:35.072	1656791495072.000072000	-0
15:51:35.372	1656791495372.000372000	0
15:51:35.672	1656791495672.000672000	-0
15:51:35.970	1656791495970.000970000	0
15:51:36.272	1656791496272.000272000	-0
15:51:36.573	1656791496573.000573000	0
15:51:36.863	1656791496863.000863000	-0
15:51:37.173	1656791497173.000173000	-0
15:51:37.472	1656791497472.000472000	0
15:51:37.772	1656791497772.000772000	0
15:51:38.073	1656791498073.000073000	-0
15:51:38.372	1656791498372.000372000	-0
15:51:38.672	1656791498672.000672000	-0
15:51:38.973	1656791498973.000973000	-0
15:51:39.273	1656791499273.000273000	0.01
15:51:39.569	1656791499569.000569000	0
15:51:39.864	1656791499864.000864000	0
15:51:40.173	1656791500173.000173000	-0
15:51:40.473	1656791500473.000473000	0
15:51:40.772	1656791500772.000772000	0
15:51:41.072	1656791501072.000072000	-0
15:51:41.366	1656791501366.000366000	-0
15:51:41.665	1656791501665.000665000	-0
15:51:41.969	1656791501969.000969000	-0
15:51:42.272	1656791502272.000272000	-0
15:51:43.006	1656791503006.000006000	-0
15:51:43.271	1656791503271.000271000	0
15:51:43.569	1656791503569.000569000	0
15:51:43.872	1656791503872.000872000	-0
15:51:44.169	1656791504169.000169000	-0
15:51:44.472	1656791504472.000472000	-0
15:51:44.768	1656791504768.000768000	-0
15:51:45.073	1656791505073.000073000	-0
15:51:45.368	1656791505368.000368000	0
15:51:45.672	1656791505672.000672000	0
15:51:45.972	1656791505972.000972000	-0
15:51:46.264	1656791506264.000264000	0
15:51:46.564	1656791506564.000564000	-0
15:51:46.872	1656791506872.000872000	0
15:51:47.175	1656791507175.000175000	-0
15:51:47.467	1656791507467.000467000	-0
15:51:47.770	1656791507770.000770000	-0
15:51:48.069	1656791508069.000069000	-0
15:51:48.372	1656791508372.000372000	-0
15:51:48.672	1656791508672.000672000	0
15:51:48.972	1656791508972.000972000	0
15:51:49.272	1656791509272.000272000	-0
15:51:49.566	1656791509566.000566000	-0
