Data from 2GT10K_Trend23_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
17:52:05.475	1656453125475.000475000	0
17:52:05.730	1656453125730.000730000	0
17:52:05.985	1656453125985.000985000	0
17:52:06.240	1656453126240.000240000	0
17:52:06.500	1656453126500.000500000	0
17:52:06.750	1656453126750.000750000	0
17:52:07.005	1656453127005.000005000	0
17:52:07.260	1656453127260.000260000	0
17:52:07.515	1656453127515.000515000	-0
17:52:07.770	1656453127770.000770000	0
17:52:08.025	1656453128025.000025000	0
17:52:08.281	1656453128281.000281000	0
17:52:08.540	1656453128540.000540000	0
17:52:08.796	1656453128796.000796000	0
17:52:09.045	1656453129045.000045000	-0
17:52:09.300	1656453129300.000300000	0
17:52:09.556	1656453129556.000556000	0
17:52:09.810	1656453129810.000810000	-0
17:52:10.065	1656453130065.000065000	0
17:52:10.320	1656453130320.000320000	0
17:52:10.575	1656453130575.000575000	0
17:52:10.833	1656453130833.000833000	0
17:52:11.084	1656453131084.000084000	0
17:52:11.340	1656453131340.000340000	0
17:52:11.595	1656453131595.000595000	-0
17:52:11.850	1656453131850.000850000	0
17:52:12.105	1656453132105.000105000	0
17:52:12.360	1656453132360.000360000	0
17:52:12.615	1656453132615.000615000	-0
17:52:12.875	1656453132875.000875000	0
17:52:13.125	1656453133125.000125000	0
17:52:13.380	1656453133380.000380000	-0
17:52:13.635	1656453133635.000635000	0
17:52:13.890	1656453133890.000890000	-0
17:52:14.145	1656453134145.000145000	0
17:52:14.401	1656453134401.000401000	0
17:52:14.655	1656453134655.000655000	-0
17:52:14.912	1656453134912.000912000	0
17:52:15.165	1656453135165.000165000	0
17:52:15.422	1656453135422.000422000	-0
17:52:15.675	1656453135675.000675000	0
17:52:15.930	1656453135930.000930000	-0
17:52:16.185	1656453136185.000185000	0
17:52:16.441	1656453136441.000441000	0
17:52:16.695	1656453136695.000695000	0
17:52:16.946	1656453136946.000946000	0.01
17:52:17.205	1656453137205.000205000	0
17:52:17.466	1656453137466.000466000	0
17:52:17.715	1656453137715.000715000	0
17:52:17.970	1656453137970.000970000	0
17:52:18.225	1656453138225.000225000	-0
17:52:18.480	1656453138480.000480000	0
17:52:18.735	1656453138735.000735000	0
17:52:18.988	1656453138988.000988000	0
17:52:19.245	1656453139245.000245000	0
17:52:19.500	1656453139500.000500000	0.01
17:52:19.755	1656453139755.000755000	0
17:52:20.010	1656453140010.000010000	0
17:52:20.265	1656453140265.000265000	0
17:52:20.521	1656453140521.000521000	0
17:52:20.776	1656453140776.000776000	-0
17:52:21.031	1656453141031.000031000	0
17:52:21.286	1656453141286.000286000	0
17:52:21.542	1656453141542.000542000	-0
17:52:21.799	1656453141799.000799000	-0
17:52:22.050	1656453142050.000050000	-0
17:52:22.305	1656453142305.000305000	-0
17:52:22.560	1656453142560.000560000	0
17:52:22.821	1656453142821.000821000	0
17:52:23.069	1656453143069.000069000	-0
17:52:23.325	1656453143325.000325000	-0
17:52:23.580	1656453143580.000580000	0
17:52:23.839	1656453143839.000839000	0
17:52:24.090	1656453144090.000090000	0
17:52:24.345	1656453144345.000345000	0
17:52:24.600	1656453144600.000600000	0
17:52:24.855	1656453144855.000855000	-0
17:52:25.110	1656453145110.000110000	-0
17:52:25.364	1656453145364.000364000	0
17:52:25.620	1656453145620.000620000	0
17:52:25.876	1656453145876.000876000	0
17:52:26.130	1656453146130.000130000	0
17:52:26.385	1656453146385.000385000	0
17:52:26.640	1656453146640.000640000	0
17:52:26.895	1656453146895.000895000	0
17:52:27.150	1656453147150.000150000	0
17:52:27.405	1656453147405.000405000	0
17:52:27.660	1656453147660.000660000	0
17:52:27.915	1656453147915.000915000	0
17:52:28.170	1656453148170.000170000	0
17:52:28.425	1656453148425.000425000	-0
17:52:28.680	1656453148680.000680000	0
17:52:28.933	1656453148933.000933000	-0
17:52:29.190	1656453149190.000190000	0
17:52:29.445	1656453149445.000445000	-0
17:52:29.701	1656453149701.000701000	0
17:52:29.955	1656453149955.000955000	0
17:52:30.210	1656453150210.000210000	-0
17:52:30.468	1656453150468.000468000	0
17:52:30.720	1656453150720.000720000	0
17:52:30.975	1656453150975.000975000	0
17:52:31.230	1656453151230.000230000	0
17:52:31.485	1656453151485.000485000	0
17:52:31.740	1656453151740.000740000	0
17:52:31.995	1656453151995.000995000	0
17:52:32.250	1656453152250.000250000	0
17:52:32.513	1656453152513.000513000	0
17:52:32.760	1656453152760.000760000	0
17:52:33.015	1656453153015.000015000	0
17:52:33.270	1656453153270.000270000	-0
17:52:33.525	1656453153525.000525000	0
17:52:33.780	1656453153780.000780000	0
17:52:34.035	1656453154035.000035000	0
17:52:34.290	1656453154290.000290000	0
17:52:34.543	1656453154543.000543000	0
17:52:34.800	1656453154800.000800000	0
17:52:35.055	1656453155055.000055000	-0
17:52:35.311	1656453155311.000311000	0
17:52:35.566	1656453155566.000566000	0
17:52:35.821	1656453155821.000821000	0
17:52:36.076	1656453156076.000076000	0
17:52:36.330	1656453156330.000330000	-0
17:52:36.585	1656453156585.000585000	0
17:52:36.841	1656453156841.000841000	0
17:52:37.095	1656453157095.000095000	0
17:52:37.350	1656453157350.000350000	0
17:52:37.605	1656453157605.000605000	0
17:52:37.860	1656453157860.000860000	-0
17:52:38.113	1656453158113.000113000	-0
17:52:38.370	1656453158370.000370000	-0
17:52:38.625	1656453158625.000625000	0
17:52:38.880	1656453158880.000880000	0
17:52:39.135	1656453159135.000135000	0
17:52:39.390	1656453159390.000390000	0
17:52:39.645	1656453159645.000645000	0
17:52:39.899	1656453159899.000899000	0
17:52:40.155	1656453160155.000155000	0
17:52:40.410	1656453160410.000410000	0
17:52:40.665	1656453160665.000665000	0
17:52:40.921	1656453160921.000921000	-0
17:52:41.181	1656453161181.000181000	0
