Data from 2HS27C_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
15:22:33.858	1656789753858.000858000	0.12
15:22:34.160	1656789754160.000160000	0.11
15:22:34.460	1656789754460.000460000	0.12
15:22:34.760	1656789754760.000760000	0.11
15:22:35.060	1656789755060.000060000	0.12
15:22:35.360	1656789755360.000360000	0.11
15:22:35.660	1656789755660.000660000	0.11
15:22:35.961	1656789755961.000961000	0.11
15:22:36.261	1656789756261.000261000	0.11
15:22:36.561	1656789756561.000561000	0.11
15:22:36.860	1656789756860.000860000	0.11
15:22:37.151	1656789757151.000151000	0.11
15:22:37.460	1656789757460.000460000	0.11
15:22:37.760	1656789757760.000760000	0.11
15:22:38.061	1656789758061.000061000	0.11
15:22:38.361	1656789758361.000361000	0.11
15:22:38.661	1656789758661.000661000	0.12
15:22:38.960	1656789758960.000960000	0.11
15:22:39.261	1656789759261.000261000	0.11
15:22:39.560	1656789759560.000560000	0.12
15:22:39.860	1656789759860.000860000	0.11
15:22:40.160	1656789760160.000160000	0.12
15:22:40.461	1656789760461.000461000	0.11
15:22:40.761	1656789760761.000761000	0.11
15:22:41.061	1656789761061.000061000	0.11
15:22:41.361	1656789761361.000361000	0.11
15:22:41.660	1656789761660.000660000	0.12
15:22:41.960	1656789761960.000960000	0.11
15:22:42.259	1656789762259.000259000	0.11
15:22:42.560	1656789762560.000560000	0.11
15:22:42.861	1656789762861.000861000	0.12
15:22:43.161	1656789763161.000161000	0.12
15:22:43.460	1656789763460.000460000	0.12
15:22:43.755	1656789763755.000755000	0.11
15:22:44.060	1656789764060.000060000	0.12
15:22:44.360	1656789764360.000360000	0.12
15:22:44.661	1656789764661.000661000	0.11
15:22:44.961	1656789764961.000961000	0.11
15:22:45.261	1656789765261.000261000	0.12
15:22:45.560	1656789765560.000560000	0.11
15:22:45.852	1656789765852.000852000	0.11
15:22:46.160	1656789766160.000160000	0.11
15:22:46.460	1656789766460.000460000	0.11
15:22:46.761	1656789766761.000761000	0.11
15:22:47.061	1656789767061.000061000	0.11
15:22:47.359	1656789767359.000359000	0.11
15:22:47.660	1656789767660.000660000	0.11
15:22:47.960	1656789767960.000960000	0.11
15:22:48.357	1656789768357.000357000	0.11
15:22:48.661	1656789768661.000661000	0.11
15:22:48.961	1656789768961.000961000	0.11
15:22:49.261	1656789769261.000261000	0.11
15:22:49.561	1656789769561.000561000	0.12
15:22:49.861	1656789769861.000861000	0.12
15:22:50.161	1656789770161.000161000	0.11
15:22:50.460	1656789770460.000460000	0.11
15:22:50.760	1656789770760.000760000	0.12
15:22:51.061	1656789771061.000061000	0.11
15:22:51.361	1656789771361.000361000	0.11
15:22:51.660	1656789771660.000660000	0.11
15:22:51.961	1656789771961.000961000	0.11
15:22:52.260	1656789772260.000260000	0.11
15:22:52.558	1656789772558.000558000	0.11
15:22:52.860	1656789772860.000860000	0.12
15:22:53.161	1656789773161.000161000	0.12
15:22:53.461	1656789773461.000461000	0.11
15:22:53.761	1656789773761.000761000	0.11
15:22:54.061	1656789774061.000061000	0.12
15:22:54.360	1656789774360.000360000	0.11
15:22:54.652	1656789774652.000652000	0.11
15:22:54.960	1656789774960.000960000	0.11
15:22:55.260	1656789775260.000260000	0.11
15:22:55.561	1656789775561.000561000	0.12
15:22:55.853	1656789775853.000853000	0.11
15:22:56.161	1656789776161.000161000	0.12
15:22:56.460	1656789776460.000460000	0.11
15:22:56.761	1656789776761.000761000	0.11
15:22:57.054	1656789777054.000054000	0.11
15:22:57.360	1656789777360.000360000	0.11
15:22:57.660	1656789777660.000660000	0.11
15:22:57.961	1656789777961.000961000	0.11
15:22:58.260	1656789778260.000260000	0.12
15:22:58.560	1656789778560.000560000	0.11
15:22:58.860	1656789778860.000860000	0.11
15:22:59.160	1656789779160.000160000	0.12
15:22:59.460	1656789779460.000460000	0.12
15:22:59.761	1656789779761.000761000	0.11
15:23:00.060	1656789780060.000060000	0.11
15:23:00.360	1656789780360.000360000	0.12
15:23:00.661	1656789780661.000661000	0.11
15:23:00.961	1656789780961.000961000	0.11
15:23:01.261	1656789781261.000261000	0.11
15:23:01.560	1656789781560.000560000	0.12
15:23:01.862	1656789781862.000862000	0.11
15:23:02.161	1656789782161.000161000	0.11
15:23:02.461	1656789782461.000461000	0.12
15:23:02.760	1656789782760.000760000	0.11
15:23:03.060	1656789783060.000060000	0.12
15:23:03.361	1656789783361.000361000	0.11
15:23:03.660	1656789783660.000660000	0.11
15:23:03.960	1656789783960.000960000	0.11
15:23:04.261	1656789784261.000261000	0.12
15:23:04.561	1656789784561.000561000	0.11
15:23:04.861	1656789784861.000861000	0.11
15:23:05.160	1656789785160.000160000	0.11
15:23:05.461	1656789785461.000461000	0.11
15:23:05.756	1656789785756.000756000	0.11
15:23:06.060	1656789786060.000060000	0.11
15:23:06.361	1656789786361.000361000	0.11
15:23:06.661	1656789786661.000661000	0.12
15:23:06.961	1656789786961.000961000	0.11
15:23:07.261	1656789787261.000261000	0.11
15:23:07.561	1656789787561.000561000	0.11
15:23:07.860	1656789787860.000860000	0.12
15:23:08.160	1656789788160.000160000	0.11
15:23:08.461	1656789788461.000461000	0.11
