Data from 8GT1I_Trend18_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
14:26:17.416	1657045577416.000416000	0.02
14:26:17.671	1657045577671.000671000	0.02
14:26:17.925	1657045577925.000925000	0.02
14:26:18.181	1657045578181.000181000	0.02
14:26:18.435	1657045578435.000435000	0.02
14:26:18.690	1657045578690.000690000	0.02
14:26:18.946	1657045578946.000946000	0.02
14:26:19.201	1657045579201.000201000	0.02
14:26:19.456	1657045579456.000456000	0.02
14:26:19.711	1657045579711.000711000	0.02
14:26:19.965	1657045579965.000965000	0.02
14:26:20.226	1657045580226.000226000	0.02
14:26:20.476	1657045580476.000476000	0.02
14:26:20.730	1657045580730.000730000	0.02
14:26:20.985	1657045580985.000985000	0.02
14:26:21.241	1657045581241.000241000	0.02
14:26:21.495	1657045581495.000495000	0.02
14:26:21.751	1657045581751.000751000	0.02
14:26:22.006	1657045582006.000006000	0.02
14:26:22.267	1657045582267.000267000	0.02
14:26:22.516	1657045582516.000516000	0.02
14:26:22.770	1657045582770.000770000	0.02
14:26:23.026	1657045583026.000026000	0.02
14:26:23.281	1657045583281.000281000	0.02
14:26:23.535	1657045583535.000535000	0.02
14:26:23.791	1657045583791.000791000	0.02
14:26:24.045	1657045584045.000045000	0.02
14:26:24.301	1657045584301.000301000	0.02
14:26:24.556	1657045584556.000556000	0.02
14:26:24.811	1657045584811.000811000	0.02
14:26:25.065	1657045585065.000065000	0.02
14:26:25.320	1657045585320.000320000	0.02
14:26:25.576	1657045585576.000576000	0.02
14:26:25.831	1657045585831.000831000	0.02
14:26:26.086	1657045586086.000086000	0.02
14:26:26.341	1657045586341.000341000	0.02
14:26:26.596	1657045586596.000596000	0.02
14:26:26.851	1657045586851.000851000	0.02
14:26:27.106	1657045587106.000106000	0.02
14:26:27.361	1657045587361.000361000	0.02
14:26:27.616	1657045587616.000616000	0.02
14:26:27.871	1657045587871.000871000	0.02
14:26:28.126	1657045588126.000126000	0.02
14:26:28.381	1657045588381.000381000	0.02
14:26:28.636	1657045588636.000636000	0.02
14:26:28.890	1657045588890.000890000	0.02
14:26:29.145	1657045589145.000145000	0.02
14:26:29.401	1657045589401.000401000	0.02
14:26:29.656	1657045589656.000656000	0.02
14:26:29.911	1657045589911.000911000	0.02
14:26:30.167	1657045590167.000167000	0.02
14:26:30.421	1657045590421.000421000	0.02
14:26:30.675	1657045590675.000675000	0.02
14:26:30.931	1657045590931.000931000	0.02
14:26:31.273	1657045591273.000273000	0.02
14:26:31.526	1657045591526.000526000	0.02
14:26:31.781	1657045591781.000781000	0.02
14:26:32.036	1657045592036.000036000	0.02
14:26:32.291	1657045592291.000291000	0.02
14:26:32.546	1657045592546.000546000	0.02
14:26:32.800	1657045592800.000800000	0.02
14:26:33.055	1657045593055.000055000	0.02
14:26:33.311	1657045593311.000311000	0.02
14:26:33.566	1657045593566.000566000	0.02
14:26:33.822	1657045593822.000822000	0.02
14:26:34.076	1657045594076.000076000	0.02
14:26:34.330	1657045594330.000330000	0.02
14:26:34.587	1657045594587.000587000	0.02
14:26:34.841	1657045594841.000841000	0.02
14:26:35.096	1657045595096.000096000	0.02
14:26:35.350	1657045595350.000350000	0.02
14:26:35.605	1657045595605.000605000	0.02
14:26:35.860	1657045595860.000860000	0.02
14:26:36.115	1657045596115.000115000	0.02
14:26:36.371	1657045596371.000371000	0.02
14:26:36.626	1657045596626.000626000	0.02
14:26:36.880	1657045596880.000880000	0.02
14:26:37.136	1657045597136.000136000	0.02
14:26:37.391	1657045597391.000391000	0.02
14:26:37.646	1657045597646.000646000	0.02
14:26:37.900	1657045597900.000900000	0.02
14:26:38.156	1657045598156.000156000	0.02
14:26:38.411	1657045598411.000411000	0.02
14:26:38.666	1657045598666.000666000	0.02
14:26:38.921	1657045598921.000921000	0.02
14:26:39.176	1657045599176.000176000	0.02
14:26:39.431	1657045599431.000431000	0.02
14:26:39.686	1657045599686.000686000	0.02
14:26:39.941	1657045599941.000941000	0.02
14:26:40.196	1657045600196.000196000	0.02
14:26:40.451	1657045600451.000451000	0.02
14:26:40.706	1657045600706.000706000	0.02
14:26:40.961	1657045600961.000961000	0.02
14:26:41.216	1657045601216.000216000	0.02
14:26:41.471	1657045601471.000471000	0.02
14:26:41.725	1657045601725.000725000	0.02
14:26:41.986	1657045601986.000986000	0.02
14:26:42.236	1657045602236.000236000	0.02
14:26:42.491	1657045602491.000491000	0.02
14:26:42.746	1657045602746.000746000	0.02
14:26:43.001	1657045603001.000001000	0.02
14:26:43.255	1657045603255.000255000	0.02
14:26:43.511	1657045603511.000511000	0.02
14:26:43.766	1657045603766.000766000	0.02
14:26:44.021	1657045604021.000021000	0.02
14:26:44.280	1657045604280.000280000	0.02
14:26:44.531	1657045604531.000531000	0.02
14:26:44.785	1657045604785.000785000	0.02
14:26:45.041	1657045605041.000041000	0.02
14:26:45.295	1657045605295.000295000	0.02
14:26:45.551	1657045605551.000551000	0.02
14:26:45.805	1657045605805.000805000	0.03
14:26:46.060	1657045606060.000060000	0.02
14:26:46.319	1657045606319.000319000	0.02
14:26:46.570	1657045606570.000570000	0.02
14:26:46.825	1657045606825.000825000	0.02
14:26:47.081	1657045607081.000081000	0.02
14:26:47.336	1657045607336.000336000	0.02
14:26:47.591	1657045607591.000591000	0.02
14:26:47.846	1657045607846.000846000	0.02
14:26:48.100	1657045608100.000100000	0.02
14:26:48.356	1657045608356.000356000	0.02
14:26:48.611	1657045608611.000611000	0.02
14:26:48.866	1657045608866.000866000	0.02
14:26:49.121	1657045609121.000121000	0.02
14:26:49.376	1657045609376.000376000	0.02
14:26:49.631	1657045609631.000631000	0.02
14:26:49.886	1657045609886.000886000	0.02
14:26:50.141	1657045610141.000141000	0.02
14:26:50.396	1657045610396.000396000	0.02
14:26:50.657	1657045610657.000657000	0.02
14:26:50.905	1657045610905.000905000	0.02
14:26:51.163	1657045611163.000163000	0.02
14:26:51.416	1657045611416.000416000	0.02
14:26:51.671	1657045611671.000671000	0.02
