Data from 8GT1I_Units14_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
14:10:19.459	1657044619459.000459000	0.12
14:10:19.713	1657044619713.000713000	0.12
14:10:19.974	1657044619974.000974000	0.12
14:10:20.226	1657044620226.000226000	0.12
14:10:20.478	1657044620478.000478000	0.12
14:10:20.733	1657044620733.000733000	0.12
14:10:20.990	1657044620990.000990000	0.12
14:10:21.244	1657044621244.000244000	0.12
14:10:21.498	1657044621498.000498000	0.12
14:10:21.754	1657044621754.000754000	0.12
14:10:22.009	1657044622009.000009000	0.12
14:10:22.263	1657044622263.000263000	0.12
14:10:22.519	1657044622519.000519000	0.12
14:10:22.774	1657044622774.000774000	0.12
14:10:23.028	1657044623028.000028000	0.12
14:10:23.285	1657044623285.000285000	0.12
14:10:23.544	1657044623544.000544000	0.12
14:10:23.793	1657044623793.000793000	0.12
14:10:24.048	1657044624048.000048000	0.12
14:10:24.303	1657044624303.000303000	0.12
14:10:24.558	1657044624558.000558000	0.12
14:10:24.814	1657044624814.000814000	0.12
14:10:25.068	1657044625068.000068000	0.12
14:10:25.324	1657044625324.000324000	0.12
14:10:25.579	1657044625579.000579000	0.12
14:10:25.833	1657044625833.000833000	0.12
14:10:26.089	1657044626089.000089000	0.12
14:10:26.344	1657044626344.000344000	0.12
14:10:26.605	1657044626605.000605000	0.12
14:10:26.851	1657044626851.000851000	0.12
14:10:27.109	1657044627109.000109000	0.12
14:10:27.369	1657044627369.000369000	0.12
14:10:27.618	1657044627618.000618000	0.12
14:10:27.874	1657044627874.000874000	0.12
14:10:28.128	1657044628128.000128000	0.12
14:10:28.384	1657044628384.000384000	0.12
14:10:28.639	1657044628639.000639000	0.12
14:10:28.893	1657044628893.000893000	0.12
14:10:29.151	1657044629151.000151000	0.12
14:10:29.404	1657044629404.000404000	0.12
14:10:29.658	1657044629658.000658000	0.12
14:10:29.915	1657044629915.000915000	0.12
14:10:30.170	1657044630170.000170000	0.12
14:10:30.423	1657044630423.000423000	0.12
14:10:30.679	1657044630679.000679000	0.12
14:10:30.933	1657044630933.000933000	0.12
14:10:31.192	1657044631192.000192000	0.12
14:10:31.445	1657044631445.000445000	0.12
14:10:31.698	1657044631698.000698000	0.12
14:10:31.954	1657044631954.000954000	0.12
14:10:32.209	1657044632209.000209000	0.12
14:10:32.464	1657044632464.000464000	0.12
14:10:32.719	1657044632719.000719000	0.12
14:10:32.973	1657044632973.000973000	0.12
14:10:33.235	1657044633235.000235000	0.12
14:10:33.484	1657044633484.000484000	0.12
14:10:33.738	1657044633738.000738000	0.12
14:10:33.994	1657044633994.000994000	0.12
14:10:34.249	1657044634249.000249000	0.12
14:10:34.504	1657044634504.000504000	0.12
14:10:34.759	1657044634759.000759000	0.12
14:10:35.014	1657044635014.000014000	0.12
14:10:35.270	1657044635270.000270000	0.12
14:10:35.520	1657044635520.000520000	0.12
14:10:35.779	1657044635779.000779000	0.12
14:10:36.034	1657044636034.000034000	0.12
14:10:36.289	1657044636289.000289000	0.12
14:10:36.544	1657044636544.000544000	0.12
14:10:36.799	1657044636799.000799000	0.12
14:10:37.054	1657044637054.000054000	0.12
14:10:37.309	1657044637309.000309000	0.12
14:10:37.569	1657044637569.000569000	0.12
