Data from 8HS23B_Trend18_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:04:54.168	1656792294168.000168000	0.02
16:04:54.477	1656792294477.000477000	0.02
16:04:54.778	1656792294778.000778000	0.03
16:04:55.077	1656792295077.000077000	0.02
16:04:55.377	1656792295377.000377000	0.02
16:04:55.677	1656792295677.000677000	0.02
16:04:55.977	1656792295977.000977000	0.02
16:04:56.274	1656792296274.000274000	0.02
16:04:56.577	1656792296577.000577000	0.02
16:04:56.875	1656792296875.000875000	0.02
16:04:57.178	1656792297178.000178000	0.02
16:04:57.478	1656792297478.000478000	0.02
16:04:57.777	1656792297777.000777000	0.02
16:04:58.077	1656792298077.000077000	0.02
16:04:58.377	1656792298377.000377000	0.02
16:04:58.676	1656792298676.000676000	0.02
16:04:58.978	1656792298978.000978000	0.02
16:04:59.278	1656792299278.000278000	0.02
16:04:59.576	1656792299576.000576000	0.02
16:04:59.877	1656792299877.000877000	0.02
16:05:00.177	1656792300177.000177000	0.02
16:05:00.476	1656792300476.000476000	0.02
16:05:00.777	1656792300777.000777000	0.02
16:05:01.077	1656792301077.000077000	0.02
16:05:01.378	1656792301378.000378000	0.02
16:05:01.676	1656792301676.000676000	0.02
16:05:01.976	1656792301976.000976000	0.02
16:05:02.278	1656792302278.000278000	0.02
16:05:02.577	1656792302577.000577000	0.02
16:05:02.877	1656792302877.000877000	0.02
16:05:03.177	1656792303177.000177000	0.02
16:05:03.476	1656792303476.000476000	0.02
16:05:03.775	1656792303775.000775000	0.03
16:05:04.070	1656792304070.000070000	0.06
16:05:04.377	1656792304377.000377000	0.02
16:05:04.677	1656792304677.000677000	0.02
16:05:04.977	1656792304977.000977000	0.02
16:05:05.277	1656792305277.000277000	0.02
16:05:05.577	1656792305577.000577000	0.02
16:05:05.877	1656792305877.000877000	0.02
16:05:06.176	1656792306176.000176000	0.02
16:05:06.476	1656792306476.000476000	0.02
16:05:06.777	1656792306777.000777000	0.02
16:05:07.068	1656792307068.000068000	0.02
16:05:07.377	1656792307377.000377000	0.02
16:05:07.677	1656792307677.000677000	0.02
16:05:07.969	1656792307969.000969000	0.02
16:05:08.278	1656792308278.000278000	0.02
16:05:08.577	1656792308577.000577000	0.02
16:05:08.876	1656792308876.000876000	0.02
16:05:09.177	1656792309177.000177000	0.02
16:05:09.477	1656792309477.000477000	0.02
16:05:09.777	1656792309777.000777000	0.02
16:05:10.076	1656792310076.000076000	0.02
16:05:10.376	1656792310376.000376000	0.02
16:05:10.677	1656792310677.000677000	0.02
16:05:10.976	1656792310976.000976000	0.02
16:05:11.277	1656792311277.000277000	0.02
16:05:11.578	1656792311578.000578000	0.02
16:05:11.877	1656792311877.000877000	0.02
16:05:12.177	1656792312177.000177000	0.02
16:05:12.475	1656792312475.000475000	0.02
16:05:12.777	1656792312777.000777000	0.02
16:05:13.077	1656792313077.000077000	0.02
16:05:13.377	1656792313377.000377000	0.02
16:05:13.677	1656792313677.000677000	0.02
16:05:13.969	1656792313969.000969000	0.02
16:05:14.277	1656792314277.000277000	0.02
16:05:14.576	1656792314576.000576000	0.02
16:05:14.877	1656792314877.000877000	0.02
16:05:15.177	1656792315177.000177000	0.02
16:05:15.476	1656792315476.000476000	0.02
16:05:15.771	1656792315771.000771000	0.02
16:05:16.077	1656792316077.000077000	0.02
16:05:16.377	1656792316377.000377000	0.02
16:05:16.676	1656792316676.000676000	0.02
16:05:16.977	1656792316977.000977000	0.02
16:05:17.277	1656792317277.000277000	0.02
16:05:17.577	1656792317577.000577000	0.02
16:05:17.877	1656792317877.000877000	0.02
16:05:18.178	1656792318178.000178000	0.02
16:05:18.473	1656792318473.000473000	0.02
16:05:18.776	1656792318776.000776000	0.02
16:05:19.073	1656792319073.000073000	0.02
16:05:19.377	1656792319377.000377000	0.02
16:05:19.677	1656792319677.000677000	0.02
16:05:19.977	1656792319977.000977000	0.02
16:05:20.277	1656792320277.000277000	0.02
16:05:20.576	1656792320576.000576000	0.02
16:05:20.868	1656792320868.000868000	0.02
16:05:21.177	1656792321177.000177000	0.02
16:05:21.477	1656792321477.000477000	0.02
16:05:21.777	1656792321777.000777000	0.02
16:05:22.077	1656792322077.000077000	0.02
16:05:22.377	1656792322377.000377000	0.02
16:05:22.677	1656792322677.000677000	0.02
16:05:22.977	1656792322977.000977000	0.02
16:05:23.270	1656792323270.000270000	0.02
16:05:23.577	1656792323577.000577000	0.02
16:05:23.877	1656792323877.000877000	0.02
16:05:24.177	1656792324177.000177000	0.02
16:05:24.469	1656792324469.000469000	0.02
16:05:24.777	1656792324777.000777000	0.02
16:05:25.076	1656792325076.000076000	0.02
16:05:25.377	1656792325377.000377000	0.02
16:05:25.677	1656792325677.000677000	0.02
16:05:25.977	1656792325977.000977000	0.02
16:05:26.277	1656792326277.000277000	0.02
16:05:26.577	1656792326577.000577000	0.02
16:05:26.877	1656792326877.000877000	0.02
16:05:27.177	1656792327177.000177000	0.02
16:05:27.477	1656792327477.000477000	0.02
16:05:27.774	1656792327774.000774000	0.02
16:05:28.077	1656792328077.000077000	0.02
16:05:28.377	1656792328377.000377000	0.02
16:05:28.677	1656792328677.000677000	0.02
