Data from 8HS23B_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
16:20:01.675	1656793201675.000675000	0.12
16:20:01.982	1656793201982.000982000	0.12
16:20:02.282	1656793202282.000282000	0.12
16:20:02.582	1656793202582.000582000	0.11
16:20:02.882	1656793202882.000882000	0.12
16:20:03.174	1656793203174.000174000	0.12
16:20:03.473	1656793203473.000473000	0.11
16:20:03.782	1656793203782.000782000	0.12
16:20:04.081	1656793204081.000081000	0.12
16:20:04.382	1656793204382.000382000	0.12
16:20:04.682	1656793204682.000682000	0.12
16:20:04.978	1656793204978.000978000	0.12
16:20:05.282	1656793205282.000282000	0.12
16:20:05.582	1656793205582.000582000	0.12
16:20:05.882	1656793205882.000882000	0.12
16:20:06.182	1656793206182.000182000	0.12
16:20:06.482	1656793206482.000482000	0.11
16:20:06.782	1656793206782.000782000	0.12
16:20:07.082	1656793207082.000082000	0.12
16:20:07.382	1656793207382.000382000	0.11
16:20:07.682	1656793207682.000682000	0.12
16:20:07.982	1656793207982.000982000	0.12
16:20:08.282	1656793208282.000282000	0.12
16:20:08.582	1656793208582.000582000	0.11
16:20:08.882	1656793208882.000882000	0.12
16:20:09.173	1656793209173.000173000	0.12
16:20:09.481	1656793209481.000481000	0.11
16:20:09.782	1656793209782.000782000	0.12
16:20:10.082	1656793210082.000082000	0.12
16:20:10.381	1656793210381.000381000	0.12
16:20:10.681	1656793210681.000681000	0.12
16:20:10.981	1656793210981.000981000	0.12
16:20:11.281	1656793211281.000281000	0.12
16:20:11.582	1656793211582.000582000	0.12
16:20:11.881	1656793211881.000881000	0.12
16:20:12.183	1656793212183.000183000	0.12
16:20:12.482	1656793212482.000482000	0.12
16:20:12.782	1656793212782.000782000	0.12
16:20:13.082	1656793213082.000082000	0.12
16:20:13.382	1656793213382.000382000	0.12
16:20:13.675	1656793213675.000675000	0.11
16:20:13.982	1656793213982.000982000	0.11
16:20:14.281	1656793214281.000281000	0.12
16:20:14.582	1656793214582.000582000	0.12
16:20:14.882	1656793214882.000882000	0.12
16:20:15.182	1656793215182.000182000	0.12
16:20:15.482	1656793215482.000482000	0.11
16:20:15.782	1656793215782.000782000	0.12
16:20:16.082	1656793216082.000082000	0.12
16:20:16.381	1656793216381.000381000	0.12
16:20:16.682	1656793216682.000682000	0.12
16:20:16.982	1656793216982.000982000	0.11
16:20:17.283	1656793217283.000283000	0.11
16:20:17.582	1656793217582.000582000	0.12
16:20:17.882	1656793217882.000882000	0.12
16:20:18.174	1656793218174.000174000	0.11
16:20:18.481	1656793218481.000481000	0.12
16:20:18.781	1656793218781.000781000	0.12
16:20:19.082	1656793219082.000082000	0.12
16:20:19.382	1656793219382.000382000	0.11
16:20:19.681	1656793219681.000681000	0.12
16:20:19.982	1656793219982.000982000	0.11
16:20:20.278	1656793220278.000278000	0.12
16:20:20.582	1656793220582.000582000	0.12
16:20:20.881	1656793220881.000881000	0.11
16:20:21.182	1656793221182.000182000	0.11
16:20:21.481	1656793221481.000481000	0.11
16:20:21.782	1656793221782.000782000	0.12
16:20:22.083	1656793222083.000083000	0.12
16:20:22.374	1656793222374.000374000	0.12
16:20:22.682	1656793222682.000682000	0.12
16:20:22.982	1656793222982.000982000	0.12
