Data from Control_Trend18_14-52-01-203.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
14:51:27.024	1656442287024.000024000	0.02
14:51:27.273	1656442287273.000273000	0.02
14:51:27.528	1656442287528.000528000	0.02
14:51:27.783	1656442287783.000783000	0.02
14:51:28.038	1656442288038.000038000	0.02
14:51:28.293	1656442288293.000293000	0.02
14:51:28.548	1656442288548.000548000	0.02
14:51:28.803	1656442288803.000803000	0.02
14:51:29.058	1656442289058.000058000	0.02
14:51:29.313	1656442289313.000313000	0.02
14:51:29.568	1656442289568.000568000	0.02
14:51:29.829	1656442289829.000829000	0.02
14:51:30.078	1656442290078.000078000	0.02
14:51:30.333	1656442290333.000333000	0.02
14:51:30.587	1656442290587.000587000	0.02
14:51:30.845	1656442290845.000845000	0.02
14:51:31.102	1656442291102.000102000	0.02
14:51:31.353	1656442291353.000353000	0.02
14:51:31.609	1656442291609.000609000	0.02
14:51:32.633	1656442292633.000633000	0.02
14:51:32.882	1656442292882.000882000	0.02
14:51:33.139	1656442293139.000139000	0.02
14:51:33.398	1656442293398.000398000	0.02
14:51:33.649	1656442293649.000649000	0.02
14:51:33.903	1656442293903.000903000	0.02
14:51:34.161	1656442294161.000161000	0.02
14:51:34.413	1656442294413.000413000	0.02
14:51:34.758	1656442294758.000758000	0.02
14:51:35.008	1656442295008.000008000	0.02
14:51:35.263	1656442295263.000263000	0.02
14:51:35.518	1656442295518.000518000	0.02
14:51:35.773	1656442295773.000773000	0.02
14:51:36.029	1656442296029.000029000	0.02
14:51:36.283	1656442296283.000283000	0.02
14:51:36.538	1656442296538.000538000	0.02
14:51:36.795	1656442296795.000795000	0.02
14:51:37.048	1656442297048.000048000	0.02
14:51:37.303	1656442297303.000303000	0.02
14:51:37.559	1656442297559.000559000	0.02
14:51:37.813	1656442297813.000813000	0.02
14:51:38.068	1656442298068.000068000	0.02
14:51:38.327	1656442298327.000327000	0.02
14:51:38.578	1656442298578.000578000	0.02
14:51:38.839	1656442298839.000839000	0.02
14:51:39.094	1656442299094.000094000	0.02
14:51:39.350	1656442299350.000350000	0.02
14:51:39.604	1656442299604.000604000	0.02
14:51:39.859	1656442299859.000859000	0.02
14:51:40.114	1656442300114.000114000	0.02
14:51:40.369	1656442300369.000369000	0.02
14:51:40.624	1656442300624.000624000	0.02
14:51:40.879	1656442300879.000879000	0.02
14:51:41.134	1656442301134.000134000	0.02
14:51:41.383	1656442301383.000383000	0.02
14:51:41.638	1656442301638.000638000	0.02
14:51:41.895	1656442301895.000895000	0.02
14:51:42.148	1656442302148.000148000	0.02
14:51:42.403	1656442302403.000403000	0.02
14:51:42.658	1656442302658.000658000	0.02
14:51:42.913	1656442302913.000913000	0.02
14:51:43.168	1656442303168.000168000	0.02
14:51:43.423	1656442303423.000423000	0.02
14:51:43.680	1656442303680.000680000	0.02
14:51:43.934	1656442303934.000934000	0.02
14:51:44.188	1656442304188.000188000	0.02
14:51:44.443	1656442304443.000443000	0.02
14:51:44.698	1656442304698.000698000	0.02
14:51:44.954	1656442304954.000954000	0.02
14:51:45.208	1656442305208.000208000	0.02
14:51:45.463	1656442305463.000463000	0.02
14:51:45.715	1656442305715.000715000	0.02
14:51:45.979	1656442305979.000979000	0.02
14:51:46.227	1656442306227.000227000	0.02
14:51:46.483	1656442306483.000483000	0.02
14:51:46.738	1656442306738.000738000	0.02
14:51:46.993	1656442306993.000993000	0.02
14:51:47.248	1656442307248.000248000	0.02
14:51:47.503	1656442307503.000503000	0.02
14:51:47.761	1656442307761.000761000	0.02
14:51:48.013	1656442308013.000013000	0.02
14:51:48.268	1656442308268.000268000	0.02
14:51:48.523	1656442308523.000523000	0.02
14:51:48.778	1656442308778.000778000	0.02
14:51:49.033	1656442309033.000033000	0.02
14:51:49.288	1656442309288.000288000	0.02
14:51:49.543	1656442309543.000543000	0.02
14:51:49.798	1656442309798.000798000	0.02
14:51:50.059	1656442310059.000059000	0.02
14:51:50.308	1656442310308.000308000	0.02
14:51:50.564	1656442310564.000564000	0.02
14:51:50.818	1656442310818.000818000	0.02
14:51:51.073	1656442311073.000073000	0.02
14:51:51.328	1656442311328.000328000	0.02
14:51:51.593	1656442311593.000593000	0.02
14:51:51.844	1656442311844.000844000	0.02
