Data from 0CX5_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
14:07:44.835	1656526064835.000835000	0.12
14:07:45.099	1656526065099.000099000	0.12
14:07:45.347	1656526065347.000347000	0.12
14:07:45.605	1656526065605.000605000	0.12
14:07:45.857	1656526065857.000857000	0.12
14:07:46.112	1656526066112.000112000	0.12
14:07:46.368	1656526066368.000368000	0.12
14:07:46.623	1656526066623.000623000	0.12
14:07:46.878	1656526066878.000878000	0.12
14:07:47.132	1656526067132.000132000	0.12
14:07:47.387	1656526067387.000387000	0.14
14:07:47.640	1656526067640.000640000	0.12
14:07:47.903	1656526067903.000903000	0.12
14:07:48.154	1656526068154.000154000	0.12
14:07:48.407	1656526068407.000407000	0.12
14:07:48.914	1656526068662.000662000	0.12
14:07:48.917	1656526068917.000917000	0.12
14:07:49.178	1656526069178.000178000	0.12
14:07:49.427	1656526069427.000427000	0.12
14:07:49.682	1656526069682.000682000	0.12
14:07:49.937	1656526069937.000937000	0.12
14:07:50.192	1656526070192.000192000	0.12
14:07:50.448	1656526070448.000448000	0.12
14:07:50.703	1656526070703.000703000	0.12
14:07:50.958	1656526070958.000958000	0.12
14:07:51.218	1656526071218.000218000	0.12
14:07:51.468	1656526071468.000468000	0.12
14:07:51.722	1656526071722.000722000	0.12
14:07:51.977	1656526071977.000977000	0.12
14:07:52.238	1656526072238.000238000	0.12
14:07:52.487	1656526072487.000487000	0.12
14:07:52.742	1656526072742.000742000	0.12
14:07:52.998	1656526072998.000998000	0.12
14:07:53.253	1656526073253.000253000	0.12
14:07:53.508	1656526073508.000508000	0.12
14:07:53.763	1656526073763.000763000	0.12
14:07:54.017	1656526074017.000017000	0.12
14:07:54.272	1656526074272.000272000	0.12
14:07:54.528	1656526074528.000528000	0.12
14:07:54.783	1656526074783.000783000	0.12
14:07:55.037	1656526075037.000037000	0.12
14:07:55.292	1656526075292.000292000	0.12
14:07:55.547	1656526075547.000547000	0.12
14:07:55.803	1656526075803.000803000	0.12
14:07:56.057	1656526076057.000057000	0.12
14:07:56.313	1656526076313.000313000	0.12
14:07:56.568	1656526076568.000568000	0.12
14:07:56.823	1656526076823.000823000	0.12
14:07:57.083	1656526077083.000083000	0.12
14:07:57.332	1656526077332.000332000	0.12
14:07:57.587	1656526077587.000587000	0.12
14:07:57.843	1656526077843.000843000	0.12
14:07:58.096	1656526078096.000096000	0.12
14:07:58.352	1656526078352.000352000	0.12
14:07:58.607	1656526078607.000607000	0.12
14:07:58.862	1656526078862.000862000	0.12
14:07:59.118	1656526079118.000118000	0.12
14:07:59.372	1656526079372.000372000	0.12
14:07:59.627	1656526079627.000627000	0.12
14:07:59.883	1656526079883.000883000	0.12
14:08:00.138	1656526080138.000138000	0.12
14:08:00.393	1656526080393.000393000	0.12
14:08:00.647	1656526080647.000647000	0.12
14:08:00.902	1656526080902.000902000	0.12
14:08:01.158	1656526081158.000158000	0.12
14:08:01.412	1656526081412.000412000	0.12
14:08:01.668	1656526081668.000668000	0.12
14:08:01.923	1656526081923.000923000	0.12
14:08:02.177	1656526082177.000177000	0.12
14:08:02.433	1656526082433.000433000	0.12
14:08:02.687	1656526082687.000687000	0.12
14:08:02.942	1656526082942.000942000	0.12
