Data from 2CX10_Trend23_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
14:40:01.320	1656528001320.000320000	-0
14:40:01.576	1656528001576.000576000	-0
14:40:01.831	1656528001831.000831000	-0
14:40:02.085	1656528002085.000085000	0
14:40:02.340	1656528002340.000340000	-0
14:40:02.595	1656528002595.000595000	0
14:40:02.850	1656528002850.000850000	-0
14:40:03.106	1656528003106.000106000	-0
14:40:03.360	1656528003360.000360000	-0
14:40:03.615	1656528003615.000615000	-0
14:40:03.871	1656528003871.000871000	0
14:40:04.131	1656528004131.000131000	-0
14:40:04.380	1656528004380.000380000	-0
14:40:04.636	1656528004636.000636000	-0
14:40:04.890	1656528004890.000890000	0
14:40:05.145	1656528005145.000145000	0
14:40:05.401	1656528005401.000401000	0
14:40:05.656	1656528005656.000656000	0
14:40:05.911	1656528005911.000911000	-0
14:40:06.163	1656528006163.000163000	-0
14:40:06.420	1656528006420.000420000	-0
14:40:06.675	1656528006675.000675000	-0
14:40:06.931	1656528006931.000931000	0
14:40:07.185	1656528007185.000185000	-0
14:40:07.440	1656528007440.000440000	-0
14:40:07.696	1656528007696.000696000	0
14:40:07.950	1656528007950.000950000	-0
14:40:08.205	1656528008205.000205000	-0
14:40:08.462	1656528008462.000462000	-0
14:40:08.715	1656528008715.000715000	-0
14:40:08.971	1656528008971.000971000	0
14:40:09.225	1656528009225.000225000	0
14:40:09.480	1656528009480.000480000	-0
14:40:09.736	1656528009736.000736000	0
14:40:09.990	1656528009990.000990000	-0
14:40:10.245	1656528010245.000245000	-0
14:40:10.506	1656528010506.000506000	-0
14:40:10.755	1656528010755.000755000	-0
14:40:11.010	1656528011010.000010000	-0
14:40:11.265	1656528011265.000265000	0.01
14:40:11.520	1656528011520.000520000	-0
14:40:11.775	1656528011775.000775000	-0
14:40:12.032	1656528012032.000032000	0
14:40:12.286	1656528012286.000286000	-0
14:40:12.540	1656528012540.000540000	-0
14:40:12.792	1656528012792.000792000	0
14:40:13.051	1656528013051.000051000	0
14:40:13.311	1656528013311.000311000	0
14:40:13.564	1656528013564.000564000	-0
14:40:13.816	1656528013816.000816000	-0
14:40:14.070	1656528014070.000070000	-0
14:40:14.325	1656528014325.000325000	-0
14:40:14.580	1656528014580.000580000	0
14:40:14.838	1656528014838.000838000	0
14:40:15.090	1656528015090.000090000	-0
14:40:15.345	1656528015345.000345000	-0
14:40:15.600	1656528015600.000600000	-0
14:40:15.853	1656528015853.000853000	-0
14:40:16.110	1656528016110.000110000	-0
14:40:16.365	1656528016365.000365000	-0
14:40:16.621	1656528016621.000621000	0
14:40:16.876	1656528016876.000876000	-0
14:40:17.131	1656528017131.000131000	-0
14:40:17.385	1656528017385.000385000	0
14:40:17.641	1656528017641.000641000	-0
14:40:17.895	1656528017895.000895000	-0
14:40:18.151	1656528018151.000151000	0.01
14:40:18.405	1656528018405.000405000	0
14:40:18.666	1656528018666.000666000	-0
14:40:18.915	1656528018915.000915000	-0
14:40:19.172	1656528019172.000172000	-0
14:40:19.425	1656528019425.000425000	-0
14:40:19.680	1656528019680.000680000	-0
14:40:19.935	1656528019935.000935000	-0
14:40:20.190	1656528020190.000190000	0
14:40:20.445	1656528020445.000445000	-0
14:40:20.702	1656528020702.000702000	0
14:40:20.955	1656528020955.000955000	-0
14:40:21.210	1656528021210.000210000	-0
14:40:21.465	1656528021465.000465000	-0
14:40:21.720	1656528021720.000720000	-0
14:40:21.975	1656528021975.000975000	0
14:40:22.230	1656528022230.000230000	-0
14:40:22.485	1656528022485.000485000	-0
14:40:22.740	1656528022740.000740000	0
14:40:22.996	1656528022996.000996000	-0
14:40:23.250	1656528023250.000250000	-0
14:40:23.507	1656528023507.000507000	-0
14:40:23.760	1656528023760.000760000	-0
14:40:24.015	1656528024015.000015000	-0
14:40:24.271	1656528024271.000271000	0
14:40:24.525	1656528024525.000525000	-0
14:40:24.783	1656528024783.000783000	-0
14:40:25.035	1656528025035.000035000	-0
14:40:25.290	1656528025290.000290000	0
14:40:25.545	1656528025545.000545000	-0
14:40:25.801	1656528025801.000801000	0
14:40:26.055	1656528026055.000055000	-0
14:40:26.310	1656528026310.000310000	-0
14:40:26.565	1656528026565.000565000	0
