Data from Control_Trend18_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
12:32:53.871	1656520373871.000871000	0.02
12:32:54.125	1656520374125.000125000	0.02
12:32:54.382	1656520374382.000382000	0.01
12:32:54.635	1656520374635.000635000	0.02
12:32:54.891	1656520374891.000891000	0.02
12:32:55.151	1656520375151.000151000	0.02
12:32:55.401	1656520375401.000401000	0.02
12:32:55.657	1656520375657.000657000	0.01
12:32:55.910	1656520375910.000910000	0.01
12:32:56.167	1656520376167.000167000	0.02
12:32:56.420	1656520376420.000420000	0.02
12:32:56.675	1656520376675.000675000	0.01
12:32:56.931	1656520376931.000931000	0.02
12:32:57.187	1656520377187.000187000	0.02
12:32:57.440	1656520377440.000440000	0.02
12:32:57.695	1656520377695.000695000	0.02
12:32:57.950	1656520377950.000950000	0.02
12:32:58.206	1656520378206.000206000	0.02
12:32:58.461	1656520378461.000461000	0.02
12:32:58.716	1656520378716.000716000	0.01
12:32:58.972	1656520378972.000972000	0.02
12:32:59.231	1656520379231.000231000	0.02
12:32:59.481	1656520379481.000481000	0.02
12:32:59.736	1656520379736.000736000	0.02
12:33:00.077	1656520380077.000077000	0.02
12:33:00.331	1656520380331.000331000	0.02
12:33:00.586	1656520380586.000586000	0.02
12:33:00.841	1656520380841.000841000	0.02
12:33:01.095	1656520381095.000095000	0.02
12:33:01.351	1656520381351.000351000	0.02
12:33:01.606	1656520381606.000606000	0.02
12:33:01.861	1656520381861.000861000	0.02
12:33:02.115	1656520382115.000115000	0.02
12:33:02.370	1656520382370.000370000	0.02
12:33:02.626	1656520382626.000626000	0.02
12:33:02.880	1656520382880.000880000	0.02
12:33:03.136	1656520383136.000136000	0.02
12:33:03.390	1656520383390.000390000	0.02
12:33:03.648	1656520383648.000648000	0.02
12:33:03.904	1656520383904.000904000	0.02
12:33:04.156	1656520384156.000156000	0.02
12:33:04.414	1656520384414.000414000	0.01
12:33:04.665	1656520384665.000665000	0.02
12:33:04.921	1656520384921.000921000	0.01
12:33:05.176	1656520385176.000176000	0.02
12:33:05.431	1656520385431.000431000	0.02
12:33:05.686	1656520385686.000686000	0.02
12:33:05.940	1656520385940.000940000	0.02
12:33:06.195	1656520386195.000195000	0.02
12:33:06.449	1656520386449.000449000	0.02
12:33:06.705	1656520386705.000705000	0.02
12:33:06.961	1656520386961.000961000	0.02
12:33:07.215	1656520387215.000215000	0.02
12:33:07.470	1656520387470.000470000	0.02
12:33:07.726	1656520387726.000726000	0.02
12:33:07.981	1656520387981.000981000	0.02
12:33:08.236	1656520388236.000236000	0.02
12:33:08.491	1656520388491.000491000	0.01
12:33:08.742	1656520388742.000742000	0.02
12:33:09.000	1656520389000.000000000	0.02
12:33:09.256	1656520389256.000256000	0.01
12:33:09.511	1656520389511.000511000	0.02
12:33:09.766	1656520389766.000766000	0.02
12:33:10.023	1656520390023.000023000	0.02
12:33:10.276	1656520390276.000276000	0.02
12:33:10.532	1656520390532.000532000	0.02
12:33:10.783	1656520390783.000783000	0.02
12:33:11.040	1656520391040.000040000	0.02
12:33:11.301	1656520391301.000301000	0.02
12:33:11.551	1656520391551.000551000	0.02
12:33:11.806	1656520391806.000806000	0.02
12:33:12.061	1656520392061.000061000	0.02
12:33:12.316	1656520392316.000316000	0.02
12:33:12.571	1656520392571.000571000	0.01
12:33:12.825	1656520392825.000825000	0.02
12:33:13.080	1656520393080.000080000	0.02
12:33:13.335	1656520393335.000335000	0.02
12:33:13.590	1656520393590.000590000	0.02
12:33:13.845	1656520393845.000845000	0.02
12:33:14.101	1656520394101.000101000	0.02
12:33:14.356	1656520394356.000356000	0.02
12:33:14.611	1656520394611.000611000	0.02
12:33:14.866	1656520394866.000866000	0.02
12:33:15.126	1656520395126.000126000	0.02
12:33:15.382	1656520395382.000382000	0.02
12:33:15.630	1656520395630.000630000	0.01
12:33:15.886	1656520395886.000886000	0.02
12:33:16.141	1656520396141.000141000	0.02
12:33:16.396	1656520396396.000396000	0.02
12:33:16.656	1656520396656.000656000	0.01
12:33:16.907	1656520396907.000907000	0.02
12:33:17.160	1656520397160.000160000	0.02
12:33:17.417	1656520397417.000417000	0.02
12:33:17.670	1656520397670.000670000	0.02
12:33:17.925	1656520397925.000925000	0.02
12:33:18.181	1656520398181.000181000	0.02
12:33:18.436	1656520398436.000436000	0.02
12:33:18.691	1656520398691.000691000	0.02
12:33:18.945	1656520398945.000945000	0.02
12:33:19.201	1656520399201.000201000	0.02
12:33:19.461	1656520399461.000461000	0.02
12:33:19.710	1656520399710.000710000	0.01
12:33:19.967	1656520399967.000967000	0.02
12:33:20.221	1656520400221.000221000	0.02
12:33:20.476	1656520400476.000476000	0.02
12:33:20.731	1656520400731.000731000	0.02
12:33:20.986	1656520400986.000986000	0.02
12:33:21.241	1656520401241.000241000	0.02
12:33:21.498	1656520401498.000498000	0.02
12:33:21.750	1656520401750.000750000	0.02
12:33:22.005	1656520402005.000005000	0.02
12:33:22.261	1656520402261.000261000	0.02
12:33:22.515	1656520402515.000515000	0.02
12:33:22.771	1656520402771.000771000	0.02
12:33:23.026	1656520403026.000026000	0.02
12:33:23.280	1656520403280.000280000	0.01
12:33:23.534	1656520403534.000534000	0.02
12:33:23.791	1656520403791.000791000	0.02
12:33:24.049	1656520404049.000049000	0.02
12:33:24.301	1656520404301.000301000	0.02
12:33:24.557	1656520404557.000557000	0.02
12:33:24.811	1656520404811.000811000	0.02
12:33:25.066	1656520405066.000066000	0.02
12:33:25.321	1656520405321.000321000	0.02
12:33:25.575	1656520405575.000575000	0.02
12:33:25.831	1656520405831.000831000	0.02
12:33:26.092	1656520406092.000092000	0.02
12:33:26.340	1656520406340.000340000	0.02
12:33:26.596	1656520406596.000596000	0.02
12:33:26.851	1656520406851.000851000	0.02
12:33:27.105	1656520407105.000105000	0.02
12:33:27.360	1656520407360.000360000	0.02
12:33:27.615	1656520407615.000615000	0.02
12:33:27.871	1656520407871.000871000	0.02
12:33:28.126	1656520408126.000126000	0.02
12:33:28.381	1656520408381.000381000	0.01
12:33:28.635	1656520408635.000635000	0.02
12:33:28.891	1656520408891.000891000	0.02
12:33:29.146	1656520409146.000146000	0.02
12:33:29.401	1656520409401.000401000	0.02
12:33:29.656	1656520409656.000656000	0.02
12:33:29.911	1656520409911.000911000	0.02
12:33:30.166	1656520410166.000166000	0.02
12:33:30.421	1656520410421.000421000	0.02
