Data from Control_Units14_3.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
13:13:08.912	1656522788912.000912000	0.12
13:13:09.166	1656522789166.000166000	0.12
13:13:09.420	1656522789420.000420000	0.12
13:13:09.676	1656522789676.000676000	0.12
13:13:09.931	1656522789931.000931000	0.12
13:13:10.185	1656522790185.000185000	0.12
13:13:10.440	1656522790440.000440000	0.12
13:13:10.696	1656522790696.000696000	0.12
13:13:10.951	1656522790951.000951000	0.12
13:13:11.206	1656522791206.000206000	0.12
13:13:11.461	1656522791461.000461000	0.12
13:13:11.716	1656522791716.000716000	0.12
13:13:11.971	1656522791971.000971000	0.12
13:13:12.228	1656522792228.000228000	0.12
13:13:12.480	1656522792480.000480000	0.12
13:13:12.735	1656522792735.000735000	0.12
13:13:12.991	1656522792991.000991000	0.12
13:13:13.246	1656522793246.000246000	0.14
13:13:13.501	1656522793501.000501000	0.12
13:13:13.755	1656522793755.000755000	0.12
13:13:14.011	1656522794011.000011000	0.12
13:13:14.266	1656522794266.000266000	0.12
13:13:14.520	1656522794520.000520000	0.12
13:13:14.775	1656522794775.000775000	0.12
13:13:15.030	1656522795030.000030000	0.12
13:13:15.285	1656522795285.000285000	0.12
13:13:15.540	1656522795540.000540000	0.12
13:13:15.796	1656522795796.000796000	0.12
13:13:16.051	1656522796051.000051000	0.12
13:13:16.306	1656522796306.000306000	0.12
13:13:16.566	1656522796566.000566000	0.12
13:13:16.815	1656522796815.000815000	0.12
13:13:17.070	1656522797070.000070000	0.12
13:13:17.325	1656522797325.000325000	0.12
13:13:17.581	1656522797581.000581000	0.12
13:13:17.836	1656522797836.000836000	0.12
13:13:18.091	1656522798091.000091000	0.12
13:13:18.346	1656522798346.000346000	0.12
13:13:18.600	1656522798600.000600000	0.12
13:13:18.855	1656522798855.000855000	0.12
13:13:19.113	1656522799113.000113000	0.12
13:13:19.365	1656522799365.000365000	0.12
13:13:19.621	1656522799621.000621000	0.12
13:13:19.875	1656522799875.000875000	0.12
13:13:20.131	1656522800131.000131000	0.12
13:13:20.385	1656522800385.000385000	0.12
13:13:20.639	1656522800639.000639000	0.12
13:13:20.901	1656522800901.000901000	0.13
13:13:21.156	1656522801156.000156000	0.12
13:13:21.406	1656522801406.000406000	0.12
13:13:21.661	1656522801661.000661000	0.12
13:13:21.915	1656522801915.000915000	0.12
13:13:22.171	1656522802171.000171000	0.12
13:13:22.426	1656522802426.000426000	0.12
13:13:22.681	1656522802681.000681000	0.12
13:13:22.936	1656522802936.000936000	0.12
13:13:23.190	1656522803190.000190000	0.12
13:13:23.445	1656522803445.000445000	0.12
13:13:23.701	1656522803701.000701000	0.12
13:13:23.955	1656522803955.000955000	0.12
13:13:24.216	1656522804216.000216000	0.12
13:13:24.466	1656522804466.000466000	0.12
13:13:24.720	1656522804720.000720000	0.12
13:13:24.975	1656522804975.000975000	0.12
13:13:25.230	1656522805230.000230000	0.13
13:13:25.485	1656522805485.000485000	0.12
13:13:25.740	1656522805740.000740000	0.13
13:13:25.996	1656522805996.000996000	0.12
13:13:26.253	1656522806253.000253000	0.12
13:13:26.505	1656522806505.000505000	0.12
13:13:26.761	1656522806761.000761000	0.12
13:13:27.015	1656522807015.000015000	0.12
