Data from 1GT42_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
14:39:44.244	1656700784244.000244000	0.12
14:39:44.474	1656700784474.000474000	0.12
14:39:44.724	1656700784724.000724000	0.12
14:39:44.979	1656700784979.000979000	0.12
14:39:45.234	1656700785234.000234000	0.12
14:39:45.489	1656700785489.000489000	0.12
14:39:45.744	1656700785744.000744000	0.12
14:39:46.002	1656700786002.000002000	0.11
14:39:46.254	1656700786254.000254000	0.12
14:39:46.510	1656700786510.000510000	0.12
14:39:46.764	1656700786764.000764000	0.12
14:39:47.024	1656700787024.000024000	0.12
14:39:47.273	1656700787273.000273000	0.12
14:39:47.529	1656700787529.000529000	0.12
14:39:47.784	1656700787784.000784000	0.12
14:39:48.039	1656700788039.000039000	0.13
14:39:48.295	1656700788295.000295000	0.12
14:39:48.549	1656700788549.000549000	0.12
14:39:48.890	1656700788890.000890000	0.12
14:39:49.144	1656700789144.000144000	0.12
14:39:49.399	1656700789399.000399000	0.12
14:39:49.655	1656700789655.000655000	0.12
14:39:49.909	1656700789909.000909000	0.12
14:39:50.164	1656700790164.000164000	0.12
14:39:50.421	1656700790421.000421000	0.12
14:39:50.674	1656700790674.000674000	0.12
14:39:50.930	1656700790930.000930000	0.12
14:39:51.184	1656700791184.000184000	0.12
14:39:51.439	1656700791439.000439000	0.12
14:39:51.694	1656700791694.000694000	0.12
14:39:51.949	1656700791949.000949000	0.12
14:39:52.204	1656700792204.000204000	0.12
14:39:52.459	1656700792459.000459000	0.12
14:39:52.714	1656700792714.000714000	0.12
14:39:52.970	1656700792970.000970000	0.12
14:39:53.224	1656700793224.000224000	0.12
14:39:53.479	1656700793479.000479000	0.12
14:39:53.738	1656700793738.000738000	0.12
14:39:53.989	1656700793989.000989000	0.12
14:39:54.246	1656700794246.000246000	0.12
14:39:54.500	1656700794500.000500000	0.12
14:39:54.754	1656700794754.000754000	0.12
14:39:55.009	1656700795009.000009000	0.12
14:39:55.267	1656700795267.000267000	0.12
14:39:55.523	1656700795523.000523000	0.12
14:39:55.774	1656700795774.000774000	0.12
14:39:56.030	1656700796030.000030000	0.12
14:39:56.284	1656700796284.000284000	0.12
14:39:56.540	1656700796540.000540000	0.12
14:39:56.805	1656700796805.000805000	0.12
14:39:57.049	1656700797049.000049000	0.12
14:39:57.304	1656700797304.000304000	0.12
14:39:57.559	1656700797559.000559000	0.12
14:39:57.814	1656700797814.000814000	0.12
14:39:58.069	1656700798069.000069000	0.12
14:39:58.324	1656700798324.000324000	0.12
14:39:58.579	1656700798579.000579000	0.12
14:39:58.834	1656700798834.000834000	0.12
14:39:59.089	1656700799089.000089000	0.12
14:39:59.344	1656700799344.000344000	0.12
14:39:59.602	1656700799602.000602000	0.12
14:39:59.854	1656700799854.000854000	0.12
14:40:00.110	1656700800110.000110000	0.12
14:40:00.364	1656700800364.000364000	0.12
14:40:00.619	1656700800619.000619000	0.12
14:40:00.874	1656700800874.000874000	0.12
14:40:01.129	1656700801129.000129000	0.12
14:40:01.384	1656700801384.000384000	0.12
14:40:01.639	1656700801639.000639000	0.12
14:40:01.894	1656700801894.000894000	0.12
14:40:02.149	1656700802149.000149000	0.12
14:40:02.404	1656700802404.000404000	0.12
