Data from 2GT38_Trend18_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
13:25:21.512	1656696321512.000512000	0.02
13:25:21.761	1656696321761.000761000	0.02
13:25:22.016	1656696322016.000016000	0.02
13:25:22.270	1656696322270.000270000	0.03
13:25:22.527	1656696322527.000527000	0.02
13:25:22.780	1656696322780.000780000	0.02
13:25:23.036	1656696323036.000036000	0.02
13:25:23.288	1656696323288.000288000	0.02
13:25:23.546	1656696323546.000546000	0.02
13:25:23.800	1656696323800.000800000	0.02
13:25:24.055	1656696324055.000055000	0.02
13:25:24.311	1656696324311.000311000	0.02
13:25:24.565	1656696324565.000565000	0.02
13:25:24.871	1656696324871.000871000	0.02
13:25:25.076	1656696325076.000076000	0.02
13:25:25.327	1656696325327.000327000	0.02
13:25:25.587	1656696325587.000587000	0.02
13:25:25.841	1656696325841.000841000	0.02
13:25:26.096	1656696326096.000096000	0.02
13:25:26.350	1656696326350.000350000	0.02
13:25:26.605	1656696326605.000605000	0.02
13:25:26.861	1656696326861.000861000	0.02
13:25:27.116	1656696327116.000116000	0.02
13:25:27.371	1656696327371.000371000	0.02
13:25:27.625	1656696327625.000625000	0.02
13:25:27.881	1656696327881.000881000	0.02
13:25:28.136	1656696328136.000136000	0.02
13:25:28.397	1656696328397.000397000	0.02
13:25:28.646	1656696328646.000646000	0.02
13:25:28.901	1656696328901.000901000	0.02
13:25:29.155	1656696329155.000155000	0.02
13:25:29.411	1656696329411.000411000	0.02
13:25:29.688	1656696329688.000688000	0.03
13:25:29.926	1656696329926.000926000	0.02
13:25:30.176	1656696330176.000176000	0.02
13:25:30.433	1656696330433.000433000	0.02
13:25:30.686	1656696330686.000686000	0.02
13:25:30.940	1656696330940.000940000	0.02
13:25:31.196	1656696331196.000196000	0.02
13:25:31.450	1656696331450.000450000	0.02
13:25:31.705	1656696331705.000705000	0.02
13:25:31.959	1656696331959.000959000	0.02
13:25:32.216	1656696332216.000216000	0.02
13:25:32.472	1656696332472.000472000	0.02
13:25:32.726	1656696332726.000726000	0.02
13:25:32.982	1656696332982.000982000	0.02
13:25:33.236	1656696333236.000236000	0.02
13:25:33.490	1656696333490.000490000	0.02
13:25:33.746	1656696333746.000746000	0.02
13:25:34.000	1656696334000.000000000	0.02
13:25:34.254	1656696334254.000254000	0.02
13:25:34.514	1656696334514.000514000	0.02
13:25:34.766	1656696334766.000766000	0.02
13:25:35.020	1656696335020.000020000	0.02
13:25:35.276	1656696335276.000276000	0.02
13:25:35.531	1656696335531.000531000	0.02
13:25:35.786	1656696335786.000786000	0.02
13:25:36.040	1656696336040.000040000	0.02
13:25:36.297	1656696336297.000297000	0.02
13:25:36.552	1656696336552.000552000	0.02
13:25:36.806	1656696336806.000806000	0.02
13:25:37.061	1656696337061.000061000	0.02
13:25:37.321	1656696337321.000321000	0.02
13:25:37.571	1656696337571.000571000	0.02
13:25:37.825	1656696337825.000825000	0.02
13:25:38.081	1656696338081.000081000	0.02
13:25:38.335	1656696338335.000335000	0.02
13:25:38.590	1656696338590.000590000	0.02
13:25:38.847	1656696338847.000847000	0.02
13:25:39.101	1656696339101.000101000	0.02
13:25:39.355	1656696339355.000355000	0.02
13:25:39.614	1656696339614.000614000	0.02
13:25:39.866	1656696339866.000866000	0.02
13:25:40.121	1656696340121.000121000	0.02
13:25:40.377	1656696340377.000377000	0.02
13:25:40.639	1656696340639.000639000	0.02
13:25:40.887	1656696340887.000887000	0.02
13:25:41.140	1656696341140.000140000	0.02
13:25:41.396	1656696341396.000396000	0.02
13:25:41.652	1656696341652.000652000	0.02
13:25:41.906	1656696341906.000906000	0.02
13:25:42.161	1656696342161.000161000	0.02
13:25:42.416	1656696342416.000416000	0.02
13:25:42.672	1656696342672.000672000	0.02
13:25:42.932	1656696342932.000932000	0.02
13:25:43.180	1656696343180.000180000	0.03
13:25:43.436	1656696343436.000436000	0.02
13:25:43.691	1656696343691.000691000	0.02
13:25:43.945	1656696343945.000945000	0.02
13:25:44.201	1656696344201.000201000	0.02
13:25:44.455	1656696344455.000455000	0.02
13:25:44.711	1656696344711.000711000	0.02
13:25:44.966	1656696344966.000966000	0.02
13:25:45.221	1656696345221.000221000	0.02
13:25:45.476	1656696345476.000476000	0.02
13:25:45.731	1656696345731.000731000	0.03
13:25:45.985	1656696345985.000985000	0.02
13:25:46.242	1656696346242.000242000	0.02
