Data from 2GT4I_Trend18_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
12:01:08.211	1656691268211.000211000	0.02
12:01:08.466	1656691268466.000466000	0.02
12:01:08.721	1656691268721.000721000	0.02
12:01:08.975	1656691268975.000975000	0.02
12:01:09.231	1656691269231.000231000	0.02
12:01:09.486	1656691269486.000486000	0.02
12:01:09.740	1656691269740.000740000	0.02
12:01:09.998	1656691269998.000998000	0.02
12:01:10.251	1656691270251.000251000	0.02
12:01:10.506	1656691270506.000506000	0.02
12:01:10.761	1656691270761.000761000	0.02
12:01:11.016	1656691271016.000016000	0.02
12:01:11.271	1656691271271.000271000	0.02
12:01:11.528	1656691271528.000528000	0.02
12:01:11.781	1656691271781.000781000	0.02
12:01:12.036	1656691272036.000036000	0.02
12:01:12.290	1656691272290.000290000	0.01
12:01:12.545	1656691272545.000545000	0.01
12:01:12.801	1656691272801.000801000	0.02
12:01:13.056	1656691273056.000056000	0.02
12:01:13.312	1656691273312.000312000	0.02
12:01:13.566	1656691273566.000566000	0.01
12:01:13.821	1656691273821.000821000	0.02
12:01:14.076	1656691274076.000076000	0.02
12:01:14.336	1656691274336.000336000	0.02
12:01:14.586	1656691274586.000586000	0.02
12:01:14.842	1656691274842.000842000	0.02
12:01:15.095	1656691275095.000095000	0.02
12:01:15.351	1656691275351.000351000	0.02
12:01:15.605	1656691275605.000605000	0.02
12:01:15.861	1656691275861.000861000	0.02
12:01:16.119	1656691276119.000119000	0.02
12:01:16.374	1656691276374.000374000	0.02
12:01:16.625	1656691276625.000625000	0.02
12:01:16.880	1656691276880.000880000	0.02
12:01:17.136	1656691277136.000136000	0.02
12:01:17.391	1656691277391.000391000	0.02
12:01:17.646	1656691277646.000646000	0.02
12:01:17.901	1656691277901.000901000	0.02
12:01:18.157	1656691278157.000157000	0.02
12:01:18.411	1656691278411.000411000	0.02
12:01:18.666	1656691278666.000666000	0.02
12:01:18.920	1656691278920.000920000	0.02
12:01:19.182	1656691279182.000182000	0.02
12:01:19.430	1656691279430.000430000	0.02
12:01:19.686	1656691279686.000686000	0.02
12:01:19.942	1656691279942.000942000	0.02
12:01:20.196	1656691280196.000196000	0.02
12:01:20.451	1656691280451.000451000	0.02
12:01:20.706	1656691280706.000706000	0.02
12:01:20.961	1656691280961.000961000	0.02
12:01:21.217	1656691281217.000217000	0.01
12:01:21.470	1656691281470.000470000	0.02
12:01:21.726	1656691281726.000726000	0.02
12:01:21.980	1656691281980.000980000	0.02
12:01:22.236	1656691282236.000236000	0.02
12:01:22.491	1656691282491.000491000	0.02
12:01:22.745	1656691282745.000745000	0.01
12:01:23.000	1656691283000.000000000	0.02
12:01:23.261	1656691283261.000261000	0.02
12:01:23.511	1656691283511.000511000	0.02
12:01:23.766	1656691283766.000766000	0.02
12:01:24.020	1656691284020.000020000	0.02
12:01:24.276	1656691284276.000276000	0.02
12:01:24.531	1656691284531.000531000	0.02
12:01:24.786	1656691284786.000786000	0.02
12:01:25.041	1656691285041.000041000	0.02
12:01:25.295	1656691285295.000295000	0.02
12:01:25.551	1656691285551.000551000	0.02
12:01:25.806	1656691285806.000806000	0.02
12:01:26.061	1656691286061.000061000	0.02
12:01:26.316	1656691286316.000316000	0.02
12:01:26.572	1656691286572.000572000	0.02
12:01:26.825	1656691286825.000825000	0.02
12:01:27.082	1656691287082.000082000	0.02
12:01:27.337	1656691287337.000337000	0.02
12:01:27.597	1656691287597.000597000	0.01
12:01:27.846	1656691287846.000846000	0.02
12:01:28.186	1656691288186.000186000	0.02
12:01:28.526	1656691288526.000526000	0.02
12:01:28.780	1656691288780.000780000	0.02
12:01:29.037	1656691289037.000037000	0.02
12:01:29.292	1656691289292.000292000	0.02
12:01:29.546	1656691289546.000546000	0.02
12:01:29.884	1656691289884.000884000	0.02
12:01:30.141	1656691290141.000141000	0.02
12:01:30.396	1656691290396.000396000	0.02
12:01:30.651	1656691290651.000651000	0.02
12:01:30.905	1656691290905.000905000	0.02
12:01:31.161	1656691291161.000161000	0.02
12:01:31.420	1656691291420.000420000	0.02
12:01:31.671	1656691291671.000671000	0.02
12:01:31.926	1656691291926.000926000	0.01
12:01:32.181	1656691292181.000181000	0.02
12:01:32.436	1656691292436.000436000	0.02
12:01:32.691	1656691292691.000691000	0.01
12:01:32.947	1656691292947.000947000	0.02
12:01:33.202	1656691293202.000202000	0.01
12:01:33.458	1656691293458.000458000	0.02
12:01:33.712	1656691293712.000712000	0.02
12:01:33.967	1656691293967.000967000	0.02
12:01:34.225	1656691294225.000225000	0.02
12:01:34.476	1656691294476.000476000	0.02
12:01:34.730	1656691294730.000730000	0.02
12:01:34.986	1656691294986.000986000	0.01
12:01:35.241	1656691295241.000241000	0.01
12:01:35.499	1656691295499.000499000	0.02
12:01:35.751	1656691295751.000751000	0.02
12:01:36.006	1656691296006.000006000	0.02
12:01:36.261	1656691296261.000261000	0.02
12:01:36.515	1656691296515.000515000	0.02
12:01:36.776	1656691296776.000776000	0.02
12:01:37.027	1656691297027.000027000	0.02
12:01:37.282	1656691297282.000282000	0.02
12:01:37.537	1656691297537.000537000	0.02
12:01:37.791	1656691297791.000791000	0.02
12:01:38.047	1656691298047.000047000	0.02
12:01:38.302	1656691298302.000302000	0.02
12:01:38.554	1656691298554.000554000	0.02
12:01:38.812	1656691298812.000812000	0.02
12:01:39.067	1656691299067.000067000	0.02
12:01:39.321	1656691299321.000321000	0.02
12:01:39.576	1656691299576.000576000	0.02
12:01:39.832	1656691299832.000832000	0.02
12:01:40.089	1656691300089.000089000	0.02
12:01:40.341	1656691300341.000341000	0.02
12:01:40.595	1656691300595.000595000	0.02
12:01:40.851	1656691300851.000851000	0.02
12:01:41.107	1656691301107.000107000	0.02
12:01:41.362	1656691301362.000362000	0.02
12:01:41.617	1656691301617.000617000	0.02
12:01:41.871	1656691301871.000871000	0.02
12:01:42.130	1656691302130.000130000	0.02
