Data from 4HS13_Trend18_1.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:02:46.620	1656705766620.000620000	0.02
16:02:46.876	1656705766876.000876000	0.02
16:02:47.130	1656705767130.000130000	0.02
16:02:47.386	1656705767386.000386000	0.02
16:02:47.640	1656705767640.000640000	0.02
16:02:47.897	1656705767897.000897000	0.02
16:02:48.150	1656705768150.000150000	0.02
16:02:48.406	1656705768406.000406000	0.02
16:02:48.660	1656705768660.000660000	0.02
16:02:48.917	1656705768917.000917000	0.02
16:02:49.171	1656705769171.000171000	0.02
16:02:49.426	1656705769426.000426000	0.01
16:02:49.680	1656705769680.000680000	0.02
16:02:49.936	1656705769936.000936000	0.02
16:02:50.192	1656705770192.000192000	0.01
16:02:50.446	1656705770446.000446000	0.02
16:02:50.702	1656705770702.000702000	0.01
16:02:50.955	1656705770955.000955000	0.01
16:02:51.210	1656705771210.000210000	0.01
16:02:51.466	1656705771466.000466000	0.02
16:02:51.720	1656705771720.000720000	0.02
16:02:51.975	1656705771975.000975000	0.02
16:02:52.230	1656705772230.000230000	0.02
16:02:52.486	1656705772486.000486000	0.02
16:02:52.741	1656705772741.000741000	0.02
16:02:52.995	1656705772995.000995000	0.02
16:02:53.250	1656705773250.000250000	0.02
16:02:53.508	1656705773508.000508000	0.02
16:02:53.760	1656705773760.000760000	0.02
16:02:54.016	1656705774016.000016000	0.02
16:02:54.271	1656705774271.000271000	0.02
16:02:54.526	1656705774526.000526000	0.02
16:02:54.781	1656705774781.000781000	0.02
16:02:55.036	1656705775036.000036000	0.02
16:02:55.291	1656705775291.000291000	0.01
16:02:55.546	1656705775546.000546000	0.02
16:02:55.801	1656705775801.000801000	0.02
16:02:56.055	1656705776055.000055000	0.01
16:02:56.311	1656705776311.000311000	0.02
16:02:56.566	1656705776566.000566000	0.02
16:02:56.821	1656705776821.000821000	0.02
16:02:57.076	1656705777076.000076000	0.02
16:02:57.337	1656705777337.000337000	0.02
