Data from 4HS13_Units14_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: FLMT01689
Trigger mode: 0
Integration Time (sec): 8.500000E-2
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 3
XAxis mode: Time
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
16:20:17.910	1656706817910.000910000	0.12
16:20:18.166	1656706818166.000166000	0.11
16:20:18.420	1656706818420.000420000	0.12
16:20:18.675	1656706818675.000675000	0.12
16:20:18.930	1656706818930.000930000	0.11
16:20:19.185	1656706819185.000185000	0.12
16:20:19.443	1656706819443.000443000	0.12
16:20:19.696	1656706819696.000696000	0.12
16:20:19.950	1656706819950.000950000	0.12
16:20:20.205	1656706820205.000205000	0.12
16:20:20.460	1656706820460.000460000	0.11
16:20:20.717	1656706820717.000717000	0.12
16:20:20.970	1656706820970.000970000	0.12
16:20:21.225	1656706821225.000225000	0.11
16:20:21.480	1656706821480.000480000	0.12
16:20:21.736	1656706821736.000736000	0.12
16:20:21.991	1656706821991.000991000	0.12
16:20:22.246	1656706822246.000246000	0.11
16:20:22.501	1656706822501.000501000	0.12
16:20:22.755	1656706822755.000755000	0.12
16:20:23.010	1656706823010.000010000	0.12
16:20:23.265	1656706823265.000265000	0.12
16:20:23.520	1656706823520.000520000	0.11
16:20:23.776	1656706823776.000776000	0.12
16:20:24.030	1656706824030.000030000	0.11
16:20:24.285	1656706824285.000285000	0.12
16:20:24.540	1656706824540.000540000	0.12
16:20:24.795	1656706824795.000795000	0.12
16:20:25.050	1656706825050.000050000	0.12
16:20:25.306	1656706825306.000306000	0.11
16:20:25.560	1656706825560.000560000	0.12
16:20:25.816	1656706825816.000816000	0.11
16:20:26.070	1656706826070.000070000	0.11
16:20:26.326	1656706826326.000326000	0.11
16:20:26.581	1656706826581.000581000	0.12
16:20:26.835	1656706826835.000835000	0.11
16:20:27.090	1656706827090.000090000	0.12
16:20:27.345	1656706827345.000345000	0.11
16:20:27.600	1656706827600.000600000	0.12
16:20:27.856	1656706827856.000856000	0.12
16:20:28.111	1656706828111.000111000	0.11
16:20:28.366	1656706828366.000366000	0.12
16:20:28.620	1656706828620.000620000	0.12
16:20:28.962	1656706828962.000962000	0.12
16:20:29.216	1656706829216.000216000	0.12
16:20:29.477	1656706829477.000477000	0.12
16:20:29.725	1656706829725.000725000	0.11
16:20:29.980	1656706829980.000980000	0.12
16:20:30.236	1656706830236.000236000	0.12
16:20:30.490	1656706830490.000490000	0.12
16:20:30.745	1656706830745.000745000	0.12
16:20:30.998	1656706830998.000998000	0.12
16:20:31.256	1656706831256.000256000	0.11
16:20:31.514	1656706831514.000514000	0.12
16:20:31.766	1656706831766.000766000	0.12
16:20:32.020	1656706832020.000020000	0.11
16:20:32.276	1656706832276.000276000	0.12
16:20:32.531	1656706832531.000531000	0.12
16:20:32.785	1656706832785.000785000	0.12
16:20:33.041	1656706833041.000041000	0.11
16:20:33.298	1656706833298.000298000	0.12
16:20:33.556	1656706833556.000556000	0.11
16:20:33.806	1656706833806.000806000	0.12
16:20:34.060	1656706834060.000060000	0.11
16:20:34.316	1656706834316.000316000	0.12
16:20:34.571	1656706834571.000571000	0.12
16:20:34.826	1656706834826.000826000	0.12
16:20:35.080	1656706835080.000080000	0.12
16:20:35.334	1656706835334.000334000	0.12
16:20:35.592	1656706835592.000592000	0.11
16:20:35.845	1656706835845.000845000	0.11
16:20:36.102	1656706836102.000102000	0.12
