Data from 8HS24D_Trend18_11-09-55-663.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
11:09:19.811	1656688159811.000811000	0.02
11:09:20.071	1656688160071.000071000	0.02
11:09:20.327	1656688160327.000327000	0.02
11:09:20.579	1656688160579.000579000	0.02
11:09:20.836	1656688160836.000836000	0.02
11:09:21.090	1656688161090.000090000	0.02
11:09:21.345	1656688161345.000345000	0.02
11:09:21.599	1656688161599.000599000	0.02
11:09:21.860	1656688161860.000860000	0.02
11:09:22.111	1656688162111.000111000	0.02
11:09:22.364	1656688162364.000364000	0.02
11:09:22.620	1656688162620.000620000	0.02
11:09:22.874	1656688162874.000874000	0.02
11:09:23.129	1656688163129.000129000	0.02
11:09:23.384	1656688163384.000384000	0.02
11:09:23.644	1656688163644.000644000	0.02
11:09:23.896	1656688163896.000896000	0.02
11:09:24.149	1656688164149.000149000	0.02
11:09:24.405	1656688164405.000405000	0.02
11:09:24.664	1656688164664.000664000	0.02
11:09:24.915	1656688164915.000915000	0.02
11:09:25.169	1656688165169.000169000	0.02
11:09:25.425	1656688165425.000425000	0.02
11:09:25.680	1656688165680.000680000	0.02
11:09:25.940	1656688165940.000940000	0.02
11:09:26.190	1656688166190.000190000	0.02
11:09:26.445	1656688166445.000445000	0.02
11:09:26.700	1656688166700.000700000	0.02
11:09:26.961	1656688166961.000961000	0.03
11:09:27.209	1656688167209.000209000	0.02
11:09:27.464	1656688167464.000464000	0.02
11:09:27.720	1656688167720.000720000	0.02
11:09:27.980	1656688167980.000980000	0.02
11:09:28.230	1656688168230.000230000	0.02
11:09:28.485	1656688168485.000485000	0.02
11:09:28.740	1656688168740.000740000	0.02
11:09:28.995	1656688168995.000995000	0.02
11:09:29.250	1656688169250.000250000	0.02
11:09:29.504	1656688169504.000504000	0.02
11:09:29.760	1656688169760.000760000	0.02
11:09:30.017	1656688170017.000017000	0.02
11:09:30.269	1656688170269.000269000	0.02
11:09:30.524	1656688170524.000524000	0.02
11:09:30.780	1656688170780.000780000	0.02
11:09:31.041	1656688171041.000041000	0.02
11:09:31.290	1656688171290.000290000	0.02
11:09:31.549	1656688171549.000549000	0.02
11:09:31.800	1656688171800.000800000	0.02
11:09:32.058	1656688172058.000058000	0.02
11:09:32.310	1656688172310.000310000	0.02
11:09:32.565	1656688172565.000565000	0.02
11:09:32.819	1656688172819.000819000	0.02
11:09:33.074	1656688173074.000074000	0.02
11:09:33.330	1656688173330.000330000	0.02
11:09:33.584	1656688173584.000584000	0.02
11:09:33.840	1656688173840.000840000	0.02
11:09:34.094	1656688174094.000094000	0.02
11:09:34.350	1656688174350.000350000	0.02
11:09:34.693	1656688174693.000693000	0.02
11:09:34.945	1656688174945.000945000	0.02
11:09:35.200	1656688175200.000200000	0.02
11:09:35.455	1656688175455.000455000	0.02
11:09:35.710	1656688175710.000710000	0.02
11:09:35.965	1656688175965.000965000	0.02
11:09:36.220	1656688176220.000220000	0.02
11:09:36.475	1656688176475.000475000	0.02
11:09:36.732	1656688176732.000732000	0.02
11:09:36.989	1656688176989.000989000	0.02
11:09:37.239	1656688177239.000239000	0.02
11:09:37.497	1656688177497.000497000	0.02
11:09:37.750	1656688177750.000750000	0.02
11:09:38.004	1656688178004.000004000	0.02
11:09:38.260	1656688178260.000260000	0.02
11:09:38.520	1656688178520.000520000	0.02
11:09:38.769	1656688178769.000769000	0.03
11:09:39.024	1656688179024.000024000	0.02
11:09:39.279	1656688179279.000279000	0.02
11:09:39.535	1656688179535.000535000	0.02
11:09:39.789	1656688179789.000789000	0.02
11:09:40.045	1656688180045.000045000	0.02
11:09:40.300	1656688180300.000300000	0.02
11:09:40.554	1656688180554.000554000	0.02
11:09:40.809	1656688180809.000809000	0.02
11:09:41.071	1656688181071.000071000	0.02
11:09:41.320	1656688181320.000320000	0.02
11:09:41.574	1656688181574.000574000	0.02
11:09:41.830	1656688181830.000830000	0.02
11:09:42.085	1656688182085.000085000	0.02
11:09:42.337	1656688182337.000337000	0.02
11:09:42.595	1656688182595.000595000	0.02
11:09:42.848	1656688182848.000848000	0.02
11:09:43.105	1656688183105.000105000	0.02
11:09:43.364	1656688183364.000364000	0.02
11:09:43.614	1656688183614.000614000	0.02
11:09:43.872	1656688183872.000872000	0.02
11:09:44.125	1656688184125.000125000	0.02
11:09:44.381	1656688184381.000381000	0.02
11:09:44.636	1656688184636.000636000	0.02
11:09:44.890	1656688184890.000890000	0.02
11:09:45.145	1656688185145.000145000	0.02
11:09:45.400	1656688185400.000400000	0.02
11:09:45.658	1656688185658.000658000	0.02
11:09:45.910	1656688185910.000910000	0.02
11:09:46.170	1656688186170.000170000	0.02
11:09:46.420	1656688186420.000420000	0.02
