Data from 9AZ9_Trend18_3.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:18:24.200	1656447504200.000200000	0.03
16:18:24.454	1656447504454.000454000	0.03
16:18:24.709	1656447504709.000709000	0.03
16:18:24.965	1656447504965.000965000	0.03
16:18:25.220	1656447505220.000220000	0.03
16:18:25.475	1656447505475.000475000	0.03
16:18:25.732	1656447505732.000732000	0.03
16:18:25.984	1656447505984.000984000	0.03
16:18:26.240	1656447506240.000240000	0.03
16:18:26.495	1656447506495.000495000	0.03
16:18:26.754	1656447506754.000754000	0.03
16:18:27.009	1656447507009.000009000	0.03
16:18:27.260	1656447507260.000260000	0.03
16:18:27.515	1656447507515.000515000	0.03
16:18:27.775	1656447507775.000775000	0.03
16:18:28.035	1656447508035.000035000	0.03
16:18:28.280	1656447508280.000280000	0.03
16:18:28.535	1656447508535.000535000	0.03
16:18:28.789	1656447508789.000789000	0.03
16:18:29.045	1656447509045.000045000	0.03
16:18:29.299	1656447509299.000299000	0.03
16:18:29.554	1656447509554.000554000	0.03
16:18:29.809	1656447509809.000809000	0.03
16:18:30.065	1656447510065.000065000	0.03
16:18:30.320	1656447510320.000320000	0.03
16:18:30.580	1656447510580.000580000	0.03
16:18:30.829	1656447510829.000829000	0.03
16:18:31.085	1656447511085.000085000	0.03
16:18:31.340	1656447511340.000340000	0.03
16:18:31.600	1656447511600.000600000	0.03
16:18:31.851	1656447511851.000851000	0.03
16:18:32.106	1656447512106.000106000	0.03
16:18:32.361	1656447512361.000361000	0.03
16:18:32.613	1656447512613.000613000	0.03
16:18:32.868	1656447512868.000868000	0.03
16:18:33.125	1656447513125.000125000	0.03
16:18:33.380	1656447513380.000380000	0.03
16:18:33.635	1656447513635.000635000	0.03
16:18:33.891	1656447513891.000891000	0.03
16:18:34.146	1656447514146.000146000	0.03
16:18:34.400	1656447514400.000400000	0.03
16:18:34.655	1656447514655.000655000	0.03
16:18:34.909	1656447514909.000909000	0.03
16:18:35.167	1656447515167.000167000	0.03
16:18:35.421	1656447515421.000421000	0.03
16:18:35.677	1656447515677.000677000	0.03
16:18:35.930	1656447515930.000930000	0.03
16:18:36.185	1656447516185.000185000	0.03
16:18:36.439	1656447516439.000439000	0.03
16:18:36.694	1656447516694.000694000	0.03
