Data from 9JQ42_Trend18_2.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:54:12.586	1657054452586.000586000	0.02
16:54:12.842	1657054452842.000842000	0.02
16:54:13.097	1657054453097.000097000	0.01
16:54:13.352	1657054453352.000352000	0.02
16:54:13.608	1657054453608.000608000	0.02
16:54:13.863	1657054453863.000863000	0.02
16:54:14.116	1657054454116.000116000	0.02
16:54:14.371	1657054454371.000371000	0.03
16:54:14.626	1657054454626.000626000	0.04
16:54:14.885	1657054454885.000885000	0.02
16:54:15.141	1657054455141.000141000	0.02
16:54:15.391	1657054455391.000391000	0.02
16:54:15.646	1657054455646.000646000	0.02
16:54:15.901	1657054455901.000901000	0.02
16:54:16.158	1657054456158.000158000	0.01
16:54:16.411	1657054456411.000411000	0.02
16:54:16.667	1657054456667.000667000	0.02
16:54:16.921	1657054456921.000921000	0.02
16:54:17.177	1657054457177.000177000	0.02
16:54:17.433	1657054457433.000433000	0.02
16:54:17.686	1657054457686.000686000	0.02
16:54:17.941	1657054457941.000941000	0.02
16:54:18.193	1657054458193.000193000	0.02
16:54:18.452	1657054458452.000452000	0.02
16:54:18.706	1657054458706.000706000	0.02
16:54:18.961	1657054458961.000961000	0.02
16:54:19.217	1657054459217.000217000	0.02
16:54:19.471	1657054459471.000471000	0.02
16:54:19.726	1657054459726.000726000	0.03
16:54:19.982	1657054459982.000982000	0.02
16:54:20.236	1657054460236.000236000	0.02
16:54:20.496	1657054460496.000496000	0.02
16:54:20.747	1657054460747.000747000	0.02
16:54:21.002	1657054461002.000002000	0.02
16:54:21.257	1657054461257.000257000	0.02
16:54:21.511	1657054461511.000511000	0.02
16:54:21.766	1657054461766.000766000	0.02
16:54:22.021	1657054462021.000021000	0.02
16:54:22.276	1657054462276.000276000	0.02
16:54:22.533	1657054462533.000533000	0.02
16:54:22.786	1657054462786.000786000	0.02
16:54:23.042	1657054463042.000042000	0.02
16:54:23.297	1657054463297.000297000	0.02
16:54:23.552	1657054463552.000552000	0.02
16:54:23.807	1657054463807.000807000	0.02
16:54:24.062	1657054464062.000062000	0.02
16:54:24.316	1657054464316.000316000	0.02
16:54:24.572	1657054464572.000572000	0.02
16:54:24.826	1657054464826.000826000	0.02
16:54:25.083	1657054465083.000083000	0.02
16:54:25.337	1657054465337.000337000	0.02
16:54:25.592	1657054465592.000592000	0.02
16:54:25.848	1657054465848.000848000	0.02
16:54:26.101	1657054466101.000101000	0.02
16:54:26.357	1657054466357.000357000	0.02
16:54:26.612	1657054466612.000612000	0.02
16:54:26.872	1657054466872.000872000	0.02
16:54:27.122	1657054467122.000122000	0.02
16:54:27.377	1657054467377.000377000	0.02
16:54:27.632	1657054467632.000632000	0.02
16:54:27.886	1657054467886.000886000	0.02
16:54:28.142	1657054468142.000142000	0.02
16:54:28.396	1657054468396.000396000	0.02
16:54:28.652	1657054468652.000652000	0.02
16:54:28.907	1657054468907.000907000	0.02
16:54:29.158	1657054469158.000158000	0.02
16:54:29.417	1657054469417.000417000	0.02
16:54:29.672	1657054469672.000672000	0.02
16:54:29.927	1657054469927.000927000	0.02
16:54:30.182	1657054470182.000182000	0.02
16:54:30.437	1657054470437.000437000	0.02
16:54:30.692	1657054470692.000692000	0.02
16:54:30.947	1657054470947.000947000	0.02
16:54:31.202	1657054471202.000202000	0.02
16:54:31.456	1657054471456.000456000	0.02
16:54:31.711	1657054471711.000711000	0.02
16:54:31.967	1657054471967.000967000	0.02
16:54:32.222	1657054472222.000222000	0.02
16:54:32.477	1657054472477.000477000	0.02
16:54:32.732	1657054472732.000732000	0.01
16:54:32.987	1657054472987.000987000	0.01
16:54:33.242	1657054473242.000242000	0.02
16:54:33.497	1657054473497.000497000	0.02
16:54:33.752	1657054473752.000752000	0.02
16:54:34.007	1657054474007.000007000	0.02
16:54:34.261	1657054474261.000261000	0.02
16:54:34.517	1657054474517.000517000	0.02
16:54:34.772	1657054474772.000772000	0.03
16:54:35.026	1657054475026.000026000	0.02
16:54:35.282	1657054475282.000282000	0.01
16:54:35.537	1657054475537.000537000	0.03
16:54:35.789	1657054475789.000789000	0.02
16:54:36.046	1657054476046.000046000	0.02
16:54:36.302	1657054476302.000302000	0.02
16:54:36.556	1657054476556.000556000	0.02
16:54:36.812	1657054476812.000812000	0.02
16:54:37.072	1657054477072.000072000	0.02
16:54:37.322	1657054477322.000322000	0.02
16:54:37.577	1657054477577.000577000	0.02
16:54:37.835	1657054477835.000835000	0.02
16:54:38.086	1657054478086.000086000	0.02
16:54:38.342	1657054478342.000342000	0.02
16:54:38.597	1657054478597.000597000	0.02
16:54:38.852	1657054478852.000852000	0.02
16:54:39.109	1657054479109.000109000	0.02
16:54:39.362	1657054479362.000362000	0.02
16:54:39.617	1657054479617.000617000	0.02
16:54:39.872	1657054479872.000872000	0.02
16:54:40.129	1657054480129.000129000	0.02
16:54:40.381	1657054480381.000381000	0.02
16:54:40.637	1657054480637.000637000	0.02
16:54:40.892	1657054480892.000892000	0.02
