Data from Control_Trend23_3.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
16:03:42.826	1657051422826.000826000	-0
16:03:43.078	1657051423078.000078000	-0
16:03:43.332	1657051423332.000332000	-0
16:03:43.587	1657051423587.000587000	-0.01
16:03:43.842	1657051423842.000842000	-0
16:03:44.098	1657051424098.000098000	-0
16:03:44.352	1657051424352.000352000	-0
16:03:44.607	1657051424607.000607000	-0
16:03:44.862	1657051424862.000862000	0
16:03:45.117	1657051425117.000117000	-0
16:03:45.373	1657051425373.000373000	0
16:03:45.627	1657051425627.000627000	0.02
16:03:45.882	1657051425882.000882000	-0
16:03:46.137	1657051426137.000137000	-0
16:03:46.393	1657051426393.000393000	-0
16:03:46.653	1657051426653.000653000	0
16:03:46.902	1657051426902.000902000	0
16:03:47.158	1657051427158.000158000	-0
16:03:47.412	1657051427412.000412000	-0
16:03:47.668	1657051427668.000668000	-0
16:03:47.922	1657051427922.000922000	-0
16:03:48.177	1657051428177.000177000	-0
16:03:48.433	1657051428433.000433000	-0
16:03:48.692	1657051428692.000692000	-0
16:03:48.942	1657051428942.000942000	-0
16:03:49.197	1657051429197.000197000	-0
16:03:49.453	1657051429453.000453000	-0
16:03:49.707	1657051429707.000707000	-0
16:03:49.962	1657051429962.000962000	-0
16:03:50.217	1657051430217.000217000	-0
16:03:50.472	1657051430472.000472000	0
16:03:50.728	1657051430728.000728000	-0
16:03:50.984	1657051430984.000984000	-0
16:03:51.237	1657051431237.000237000	-0
16:03:51.492	1657051431492.000492000	0.01
16:03:51.747	1657051431747.000747000	-0
16:03:52.002	1657051432002.000002000	-0
16:03:52.258	1657051432258.000258000	-0
16:03:52.512	1657051432512.000512000	-0
16:03:52.767	1657051432767.000767000	-0
16:03:53.113	1657051433113.000113000	-0
16:03:53.362	1657051433362.000362000	-0
16:03:53.618	1657051433618.000618000	-0
16:03:53.873	1657051433873.000873000	-0
16:03:54.127	1657051434127.000127000	-0
16:03:54.382	1657051434382.000382000	-0
16:03:54.638	1657051434638.000638000	-0
16:03:54.892	1657051434892.000892000	-0
16:03:55.150	1657051435150.000150000	-0.01
16:03:55.404	1657051435404.000404000	0
16:03:55.657	1657051435657.000657000	0
16:03:55.912	1657051435912.000912000	0.01
16:03:56.169	1657051436169.000169000	0
16:03:56.423	1657051436423.000423000	-0
16:03:56.677	1657051436677.000677000	-0
16:03:56.932	1657051436932.000932000	-0
16:03:57.188	1657051437188.000188000	-0
16:03:57.443	1657051437443.000443000	-0
16:03:57.697	1657051437697.000697000	-0
16:03:57.952	1657051437952.000952000	-0
16:03:58.207	1657051438207.000207000	-0
16:03:58.462	1657051438462.000462000	-0
16:03:58.717	1657051438717.000717000	-0
16:03:58.972	1657051438972.000972000	-0
16:03:59.229	1657051439229.000229000	-0
16:03:59.483	1657051439483.000483000	-0
16:03:59.737	1657051439737.000737000	-0
16:03:59.992	1657051439992.000992000	0
16:04:00.248	1657051440248.000248000	0
16:04:00.503	1657051440503.000503000	-0
16:04:00.758	1657051440758.000758000	-0
16:04:01.012	1657051441012.000012000	0
16:04:01.267	1657051441267.000267000	-0
16:04:01.523	1657051441523.000523000	-0
16:04:01.783	1657051441783.000783000	-0
16:04:02.032	1657051442032.000032000	0
16:04:02.287	1657051442287.000287000	-0
16:04:02.543	1657051442543.000543000	0
16:04:02.797	1657051442797.000797000	-0
16:04:03.052	1657051443052.000052000	-0
16:04:03.307	1657051443307.000307000	-0
16:04:03.562	1657051443562.000562000	-0
16:04:03.823	1657051443823.000823000	-0
16:04:04.072	1657051444072.000072000	0
16:04:04.328	1657051444328.000328000	0
16:04:04.582	1657051444582.000582000	-0
16:04:04.838	1657051444838.000838000	-0
16:04:05.092	1657051445092.000092000	0
16:04:05.347	1657051445347.000347000	-0
16:04:05.603	1657051445603.000603000	0
16:04:05.857	1657051445857.000857000	-0
16:04:06.113	1657051446113.000113000	-0
16:04:06.368	1657051446368.000368000	-0
16:04:06.622	1657051446622.000622000	-0
16:04:06.878	1657051446878.000878000	-0
16:04:07.132	1657051447132.000132000	-0
16:04:07.387	1657051447387.000387000	-0
16:04:07.642	1657051447642.000642000	-0
16:04:07.897	1657051447897.000897000	-0
16:04:08.152	1657051448152.000152000	-0
16:04:08.408	1657051448408.000408000	-0
16:04:08.663	1657051448663.000663000	-0
16:04:08.917	1657051448917.000917000	-0
16:04:09.173	1657051449173.000173000	0
16:04:09.428	1657051449428.000428000	-0
16:04:09.683	1657051449683.000683000	-0
16:04:09.938	1657051449938.000938000	0
16:04:10.193	1657051450193.000193000	-0
16:04:10.444	1657051450444.000444000	-0
16:04:10.703	1657051450703.000703000	-0
16:04:10.958	1657051450958.000958000	-0
16:04:11.212	1657051451212.000212000	-0
16:04:11.467	1657051451467.000467000	-0
16:04:11.722	1657051451722.000722000	0
16:04:11.979	1657051451979.000979000	-0
16:04:12.234	1657051452234.000234000	-0
16:04:12.488	1657051452488.000488000	-0
16:04:12.745	1657051452745.000745000	-0.01
16:04:12.997	1657051452997.000997000	-0
16:04:13.252	1657051453252.000252000	-0
16:04:13.507	1657051453507.000507000	-0
16:04:13.762	1657051453762.000762000	-0
16:04:14.017	1657051454017.000017000	0
16:04:14.273	1657051454273.000273000	-0
16:04:14.528	1657051454528.000528000	0
16:04:14.782	1657051454782.000782000	-0
16:04:15.037	1657051455037.000037000	-0
16:04:15.292	1657051455292.000292000	-0
16:04:15.547	1657051455547.000547000	-0
16:04:15.802	1657051455802.000802000	-0
16:04:16.057	1657051456057.000057000	0
16:04:16.313	1657051456313.000313000	-0
16:04:16.568	1657051456568.000568000	-0
16:04:16.822	1657051456822.000822000	-0
16:04:17.083	1657051457083.000083000	-0
16:04:17.332	1657051457332.000332000	-0
16:04:17.587	1657051457587.000587000	-0
16:04:17.845	1657051457845.000845000	0.01
16:04:18.101	1657051458101.000101000	0
