"Plot Title: Enrique Forereef 35 ft."
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20553043, SEN S/N: 20553043)","End Of File (LGR S/N: 20553043)"
1,09/27/21 12:00:00 PM,88.099,
2,09/27/21 01:00:00 PM,87.915,
3,09/27/21 02:00:00 PM,88.099,
4,09/27/21 03:00:00 PM,88.099,
5,09/27/21 04:00:00 PM,87.915,
6,09/27/21 05:00:00 PM,87.733,
7,09/27/21 06:00:00 PM,87.733,
8,09/27/21 07:00:00 PM,87.733,
9,09/27/21 08:00:00 PM,87.733,
10,09/27/21 09:00:00 PM,87.733,
11,09/27/21 10:00:00 PM,87.733,
12,09/27/21 11:00:00 PM,87.733,
13,09/28/21 12:00:00 AM,87.733,
14,09/28/21 01:00:00 AM,87.915,
15,09/28/21 02:00:00 AM,87.552,
16,09/28/21 03:00:00 AM,87.915,
17,09/28/21 04:00:00 AM,87.915,
18,09/28/21 05:00:00 AM,87.733,
19,09/28/21 06:00:00 AM,87.552,
20,09/28/21 07:00:00 AM,87.186,
21,09/28/21 08:00:00 AM,87.186,
22,09/28/21 09:00:00 AM,87.004,
23,09/28/21 10:00:00 AM,87.915,
24,09/28/21 11:00:00 AM,88.099,
25,09/28/21 12:00:00 PM,88.099,
26,09/28/21 01:00:00 PM,88.282,
27,09/28/21 02:00:00 PM,88.282,
28,09/28/21 03:00:00 PM,88.282,
29,09/28/21 04:00:00 PM,88.282,
30,09/28/21 05:00:00 PM,88.099,
31,09/28/21 06:00:00 PM,87.915,
32,09/28/21 07:00:00 PM,87.915,
33,09/28/21 08:00:00 PM,87.915,
34,09/28/21 09:00:00 PM,87.733,
35,09/28/21 10:00:00 PM,87.733,
36,09/28/21 11:00:00 PM,87.733,
37,09/29/21 12:00:00 AM,88.099,
38,09/29/21 01:00:00 AM,87.915,
39,09/29/21 02:00:00 AM,87.552,
40,09/29/21 03:00:00 AM,87.915,
41,09/29/21 04:00:00 AM,87.368,
42,09/29/21 05:00:00 AM,87.186,
43,09/29/21 06:00:00 AM,86.823,
44,09/29/21 07:00:00 AM,86.823,
45,09/29/21 08:00:00 AM,86.823,
46,09/29/21 09:00:00 AM,87.368,
47,09/29/21 10:00:00 AM,87.915,
48,09/29/21 11:00:00 AM,88.282,
49,09/29/21 12:00:00 PM,88.282,
50,09/29/21 01:00:00 PM,88.282,
51,09/29/21 02:00:00 PM,88.282,
52,09/29/21 03:00:00 PM,88.099,
53,09/29/21 04:00:00 PM,88.282,
54,09/29/21 05:00:00 PM,87.915,
55,09/29/21 06:00:00 PM,87.915,
56,09/29/21 07:00:00 PM,87.915,
57,09/29/21 08:00:00 PM,87.915,
58,09/29/21 09:00:00 PM,87.733,
59,09/29/21 10:00:00 PM,87.733,
60,09/29/21 11:00:00 PM,87.915,
61,09/30/21 12:00:00 AM,88.099,
62,09/30/21 01:00:00 AM,87.733,
63,09/30/21 02:00:00 AM,87.915,
64,09/30/21 03:00:00 AM,87.915,
65,09/30/21 04:00:00 AM,87.552,
66,09/30/21 05:00:00 AM,87.368,
67,09/30/21 06:00:00 AM,87.552,
68,09/30/21 07:00:00 AM,87.552,
69,09/30/21 08:00:00 AM,87.915,
70,09/30/21 09:00:00 AM,88.099,
71,09/30/21 10:00:00 AM,88.282,
72,09/30/21 11:00:00 AM,88.282,
73,09/30/21 12:00:00 PM,88.466,
74,09/30/21 01:00:00 PM,88.466,
75,09/30/21 02:00:00 PM,88.650,
76,09/30/21 03:00:00 PM,88.466,
77,09/30/21 04:00:00 PM,88.466,
78,09/30/21 05:00:00 PM,88.282,
79,09/30/21 06:00:00 PM,88.099,
80,09/30/21 07:00:00 PM,88.466,
81,09/30/21 08:00:00 PM,88.099,
82,09/30/21 09:00:00 PM,88.282,
83,09/30/21 10:00:00 PM,88.099,
84,09/30/21 11:00:00 PM,88.099,
85,10/01/21 12:00:00 AM,87.915,
86,10/01/21 01:00:00 AM,87.733,
87,10/01/21 02:00:00 AM,88.099,
88,10/01/21 03:00:00 AM,87.552,
89,10/01/21 04:00:00 AM,87.552,
90,10/01/21 05:00:00 AM,87.368,
91,10/01/21 06:00:00 AM,87.368,
92,10/01/21 07:00:00 AM,87.368,
93,10/01/21 08:00:00 AM,87.004,
94,10/01/21 09:00:00 AM,87.368,
95,10/01/21 10:00:00 AM,87.552,
96,10/01/21 11:00:00 AM,88.099,
97,10/01/21 12:00:00 PM,88.466,
98,10/01/21 01:00:00 PM,88.282,
99,10/01/21 02:00:00 PM,88.282,
100,10/01/21 03:00:00 PM,88.282,
101,10/01/21 04:00:00 PM,88.282,
102,10/01/21 05:00:00 PM,88.282,
103,10/01/21 06:00:00 PM,88.466,
104,10/01/21 07:00:00 PM,87.733,
105,10/01/21 08:00:00 PM,87.733,
106,10/01/21 09:00:00 PM,87.915,
107,10/01/21 10:00:00 PM,87.552,
108,10/01/21 11:00:00 PM,87.552,
109,10/02/21 12:00:00 AM,87.552,
110,10/02/21 01:00:00 AM,87.733,
111,10/02/21 02:00:00 AM,87.733,
112,10/02/21 03:00:00 AM,87.915,
113,10/02/21 04:00:00 AM,87.915,
114,10/02/21 05:00:00 AM,87.915,
115,10/02/21 06:00:00 AM,87.552,
116,10/02/21 07:00:00 AM,87.552,
117,10/02/21 08:00:00 AM,87.368,
118,10/02/21 09:00:00 AM,87.915,
119,10/02/21 10:00:00 AM,87.733,
120,10/02/21 11:00:00 AM,87.915,
121,10/02/21 12:00:00 PM,87.915,
122,10/02/21 01:00:00 PM,87.915,
123,10/02/21 02:00:00 PM,87.733,
124,10/02/21 03:00:00 PM,87.552,
125,10/02/21 04:00:00 PM,87.733,
126,10/02/21 05:00:00 PM,87.552,
127,10/02/21 06:00:00 PM,87.368,
128,10/02/21 07:00:00 PM,87.186,
129,10/02/21 08:00:00 PM,87.368,
130,10/02/21 09:00:00 PM,87.186,
131,10/02/21 10:00:00 PM,87.186,
132,10/02/21 11:00:00 PM,87.368,
133,10/03/21 12:00:00 AM,87.368,
134,10/03/21 01:00:00 AM,87.368,
135,10/03/21 02:00:00 AM,87.368,
136,10/03/21 03:00:00 AM,87.368,
137,10/03/21 04:00:00 AM,87.186,
138,10/03/21 05:00:00 AM,87.004,
139,10/03/21 06:00:00 AM,86.823,
140,10/03/21 07:00:00 AM,87.004,
141,10/03/21 08:00:00 AM,87.186,
142,10/03/21 09:00:00 AM,87.186,
143,10/03/21 10:00:00 AM,87.004,
144,10/03/21 11:00:00 AM,87.186,
145,10/03/21 12:00:00 PM,87.186,
146,10/03/21 01:00:00 PM,87.186,
147,10/03/21 02:00:00 PM,87.186,
148,10/03/21 03:00:00 PM,87.186,
149,10/03/21 04:00:00 PM,87.004,
150,10/03/21 05:00:00 PM,87.004,
151,10/03/21 06:00:00 PM,87.004,
152,10/03/21 07:00:00 PM,87.004,
153,10/03/21 08:00:00 PM,87.004,
154,10/03/21 09:00:00 PM,86.823,
155,10/03/21 10:00:00 PM,86.823,
156,10/03/21 11:00:00 PM,86.823,
157,10/04/21 12:00:00 AM,86.641,
158,10/04/21 01:00:00 AM,86.641,
159,10/04/21 02:00:00 AM,86.641,
160,10/04/21 03:00:00 AM,86.641,
161,10/04/21 04:00:00 AM,86.641,
162,10/04/21 05:00:00 AM,86.459,
163,10/04/21 06:00:00 AM,86.459,
164,10/04/21 07:00:00 AM,86.459,
165,10/04/21 08:00:00 AM,86.459,
166,10/04/21 09:00:00 AM,86.641,
167,10/04/21 10:00:00 AM,86.641,
168,10/04/21 11:00:00 AM,86.459,
169,10/04/21 12:00:00 PM,86.459,
170,10/04/21 01:00:00 PM,86.641,
171,10/04/21 02:00:00 PM,86.641,
172,10/04/21 03:00:00 PM,86.641,
173,10/04/21 04:00:00 PM,86.641,
174,10/04/21 05:00:00 PM,86.641,
175,10/04/21 06:00:00 PM,86.641,
176,10/04/21 07:00:00 PM,86.641,
177,10/04/21 08:00:00 PM,86.459,
178,10/04/21 09:00:00 PM,86.459,
179,10/04/21 10:00:00 PM,86.277,
180,10/04/21 11:00:00 PM,86.097,
181,10/05/21 12:00:00 AM,86.097,
182,10/05/21 01:00:00 AM,86.097,
183,10/05/21 02:00:00 AM,86.097,
184,10/05/21 03:00:00 AM,86.097,
185,10/05/21 04:00:00 AM,86.097,
186,10/05/21 05:00:00 AM,85.915,
187,10/05/21 06:00:00 AM,85.915,
188,10/05/21 07:00:00 AM,85.915,
189,10/05/21 08:00:00 AM,86.097,
190,10/05/21 09:00:00 AM,86.097,
191,10/05/21 10:00:00 AM,86.097,
192,10/05/21 11:00:00 AM,86.097,
193,10/05/21 12:00:00 PM,86.097,
194,10/05/21 01:00:00 PM,86.097,
195,10/05/21 02:00:00 PM,86.277,
196,10/05/21 03:00:00 PM,86.277,
197,10/05/21 04:00:00 PM,86.277,
198,10/05/21 05:00:00 PM,86.277,
199,10/05/21 06:00:00 PM,86.277,
200,10/05/21 07:00:00 PM,86.097,
201,10/05/21 08:00:00 PM,85.915,
202,10/05/21 09:00:00 PM,85.915,
203,10/05/21 10:00:00 PM,85.915,
204,10/05/21 11:00:00 PM,85.915,
205,10/06/21 12:00:00 AM,85.735,
206,10/06/21 01:00:00 AM,85.735,
207,10/06/21 02:00:00 AM,85.735,
208,10/06/21 03:00:00 AM,85.735,
209,10/06/21 04:00:00 AM,85.735,
210,10/06/21 05:00:00 AM,85.554,
211,10/06/21 06:00:00 AM,85.554,
212,10/06/21 07:00:00 AM,85.554,
213,10/06/21 08:00:00 AM,85.554,
214,10/06/21 09:00:00 AM,85.735,
215,10/06/21 10:00:00 AM,85.735,
216,10/06/21 11:00:00 AM,85.735,
217,10/06/21 12:00:00 PM,85.735,
218,10/06/21 01:00:00 PM,85.735,
219,10/06/21 02:00:00 PM,85.915,
220,10/06/21 03:00:00 PM,85.915,
221,10/06/21 04:00:00 PM,85.915,
222,10/06/21 05:00:00 PM,85.915,
223,10/06/21 06:00:00 PM,85.735,
224,10/06/21 07:00:00 PM,85.554,
225,10/06/21 08:00:00 PM,85.735,
226,10/06/21 09:00:00 PM,85.735,
227,10/06/21 10:00:00 PM,85.735,
228,10/06/21 11:00:00 PM,85.735,
229,10/07/21 12:00:00 AM,85.554,
230,10/07/21 01:00:00 AM,85.554,
231,10/07/21 02:00:00 AM,85.554,
232,10/07/21 03:00:00 AM,85.554,
233,10/07/21 04:00:00 AM,85.554,
234,10/07/21 05:00:00 AM,85.554,
235,10/07/21 06:00:00 AM,85.554,
236,10/07/21 07:00:00 AM,85.554,
237,10/07/21 08:00:00 AM,85.554,
238,10/07/21 09:00:00 AM,85.735,
239,10/07/21 10:00:00 AM,85.735,
240,10/07/21 11:00:00 AM,85.735,
241,10/07/21 12:00:00 PM,85.735,
242,10/07/21 01:00:00 PM,85.735,
243,10/07/21 02:00:00 PM,85.735,
244,10/07/21 03:00:00 PM,86.277,
245,10/07/21 04:00:00 PM,86.097,
246,10/07/21 05:00:00 PM,86.097,
247,10/07/21 06:00:00 PM,86.277,
248,10/07/21 07:00:00 PM,86.459,
249,10/07/21 08:00:00 PM,85.915,
250,10/07/21 09:00:00 PM,85.735,
251,10/07/21 10:00:00 PM,85.735,
252,10/07/21 11:00:00 PM,85.735,
253,10/08/21 12:00:00 AM,85.915,
254,10/08/21 01:00:00 AM,85.915,
255,10/08/21 02:00:00 AM,85.735,
256,10/08/21 03:00:00 AM,85.915,
257,10/08/21 04:00:00 AM,85.735,
258,10/08/21 05:00:00 AM,85.735,
259,10/08/21 06:00:00 AM,85.735,
260,10/08/21 07:00:00 AM,85.554,
261,10/08/21 08:00:00 AM,85.554,
262,10/08/21 09:00:00 AM,85.735,
263,10/08/21 10:00:00 AM,85.735,
264,10/08/21 11:00:00 AM,85.735,
265,10/08/21 12:00:00 PM,85.915,
266,10/08/21 01:00:00 PM,85.915,
267,10/08/21 02:00:00 PM,86.097,
268,10/08/21 03:00:00 PM,86.097,
269,10/08/21 04:00:00 PM,86.097,
270,10/08/21 05:00:00 PM,86.097,
271,10/08/21 06:00:00 PM,86.097,
272,10/08/21 07:00:00 PM,86.097,
273,10/08/21 08:00:00 PM,85.915,
274,10/08/21 09:00:00 PM,85.915,
275,10/08/21 10:00:00 PM,85.735,
276,10/08/21 11:00:00 PM,85.735,
277,10/09/21 12:00:00 AM,85.554,
278,10/09/21 01:00:00 AM,85.735,
279,10/09/21 02:00:00 AM,85.735,
280,10/09/21 03:00:00 AM,85.735,
281,10/09/21 04:00:00 AM,85.735,
282,10/09/21 05:00:00 AM,85.735,
283,10/09/21 06:00:00 AM,85.735,
284,10/09/21 07:00:00 AM,85.735,
285,10/09/21 08:00:00 AM,85.735,
286,10/09/21 09:00:00 AM,85.915,
287,10/09/21 10:00:00 AM,85.915,
288,10/09/21 11:00:00 AM,86.097,
289,10/09/21 12:00:00 PM,86.097,
290,10/09/21 01:00:00 PM,86.097,
291,10/09/21 02:00:00 PM,86.097,
292,10/09/21 03:00:00 PM,86.277,
293,10/09/21 04:00:00 PM,86.097,
294,10/09/21 05:00:00 PM,86.097,
295,10/09/21 06:00:00 PM,86.097,
296,10/09/21 07:00:00 PM,86.097,
297,10/09/21 08:00:00 PM,85.915,
298,10/09/21 09:00:00 PM,85.554,
299,10/09/21 10:00:00 PM,85.554,
300,10/09/21 11:00:00 PM,85.554,
301,10/10/21 12:00:00 AM,85.374,
302,10/10/21 01:00:00 AM,85.374,
303,10/10/21 02:00:00 AM,85.554,
304,10/10/21 03:00:00 AM,85.554,
305,10/10/21 04:00:00 AM,85.554,
306,10/10/21 05:00:00 AM,85.554,
307,10/10/21 06:00:00 AM,85.554,
308,10/10/21 07:00:00 AM,85.554,
309,10/10/21 08:00:00 AM,85.554,
310,10/10/21 09:00:00 AM,85.554,
311,10/10/21 10:00:00 AM,85.735,
312,10/10/21 11:00:00 AM,85.735,
313,10/10/21 12:00:00 PM,85.915,
314,10/10/21 01:00:00 PM,85.915,
315,10/10/21 02:00:00 PM,85.915,
316,10/10/21 03:00:00 PM,86.097,
317,10/10/21 04:00:00 PM,85.915,
318,10/10/21 05:00:00 PM,85.915,
319,10/10/21 06:00:00 PM,85.915,
320,10/10/21 07:00:00 PM,85.915,
321,10/10/21 08:00:00 PM,85.915,
322,10/10/21 09:00:00 PM,85.735,
323,10/10/21 10:00:00 PM,85.374,
324,10/10/21 11:00:00 PM,85.374,
325,10/11/21 12:00:00 AM,85.194,
326,10/11/21 01:00:00 AM,85.374,
327,10/11/21 02:00:00 AM,85.194,
328,10/11/21 03:00:00 AM,85.374,
329,10/11/21 04:00:00 AM,85.194,
330,10/11/21 05:00:00 AM,85.194,
331,10/11/21 06:00:00 AM,85.194,
332,10/11/21 07:00:00 AM,85.194,
333,10/11/21 08:00:00 AM,85.374,
334,10/11/21 09:00:00 AM,85.374,
335,10/11/21 10:00:00 AM,85.374,
336,10/11/21 11:00:00 AM,85.735,
337,10/11/21 12:00:00 PM,85.554,
338,10/11/21 01:00:00 PM,85.554,
339,10/11/21 02:00:00 PM,85.374,
340,10/11/21 03:00:00 PM,85.554,
341,10/11/21 04:00:00 PM,85.554,
342,10/11/21 05:00:00 PM,85.374,
343,10/11/21 06:00:00 PM,85.374,
344,10/11/21 07:00:00 PM,85.194,
345,10/11/21 08:00:00 PM,85.194,
