Site Name ,ODY12083
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,12083


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,16/07/2021 , 13:10:00,15999,15999
2,16/07/2021 , 13:20:00,15494,15494
3,16/07/2021 , 13:30:00,15021,15021
4,16/07/2021 , 13:40:00,14660,14660
5,16/07/2021 , 13:50:00,14326,14326
6,16/07/2021 , 14:00:00,14076,14076
7,16/07/2021 , 14:10:00,13849,13849
8,16/07/2021 , 14:20:00,13624,13624
9,16/07/2021 , 14:30:00,13397,13397
10,16/07/2021 , 14:40:00,13119,13119
11,16/07/2021 , 14:50:00,12790,12790
12,16/07/2021 , 15:00:00,12377,12377
13,16/07/2021 , 15:10:00,12183,12183
14,16/07/2021 , 15:20:00,11856,11856
15,16/07/2021 , 15:30:00,11093,11093
16,16/07/2021 , 15:40:00,11119,11119
17,16/07/2021 , 15:50:00,10722,10722
18,16/07/2021 , 16:00:00,6982,6982
19,16/07/2021 , 16:10:00,4958,4958
20,16/07/2021 , 16:20:00,4716,4716
21,16/07/2021 , 16:30:00,4479,4479
22,16/07/2021 , 16:40:00,4245,4245
23,16/07/2021 , 16:50:00,3994,3994
24,16/07/2021 , 17:00:00,3305,3305
25,16/07/2021 , 17:10:00,3,3
