"2021-07-16";"17:01:21";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-16 13:06:21.501";"2021-07-16";"13:06:21";"SCHS";"";"Chart start ";""
"2021-07-16 13:06:21.502";"2021-07-16";"13:06:21";"F";"304";"4";"5";"888";"-";"-"
"2021-07-16 13:09:03.841";"2021-07-16";"13:09:03";"F";"305";"5";"3";"855";"-";"-"
"2021-07-16 13:10:07.116";"2021-07-16";"13:10:07";"F";"306";"0";"4";"849";"-";"-"
"2021-07-16 13:11:08.786";"2021-07-16";"13:11:08";"F";"307";"7";"7";"844";"-";"-"
"2021-07-16 13:12:11.530";"2021-07-16";"13:12:11";"F";"308";"3";"3";"838";"-";"-"
"2021-07-16 13:13:13.191";"2021-07-16";"13:13:13";"F";"309";"1";"4";"834";"-";"-"
"2021-07-16 13:14:15.544";"2021-07-16";"13:14:15";"F";"310";"3";"4";"828";"-";"-"
"2021-07-16 13:15:18.035";"2021-07-16";"13:15:18";"F";"311";"2";"4";"826";"-";"-"
"2021-07-16 13:16:20.534";"2021-07-16";"13:16:20";"F";"312";"3";"4";"821";"-";"-"
"2021-07-16 13:17:22.940";"2021-07-16";"13:17:22";"F";"313";"4";"4";"819";"-";"-"
"2021-07-16 13:18:25.493";"2021-07-16";"13:18:25";"F";"314";"2";"4";"813";"-";"-"
"2021-07-16 13:19:28.090";"2021-07-16";"13:19:28";"F";"315";"4";"5";"809";"-";"-"
"2021-07-16 13:20:29.516";"2021-07-16";"13:20:29";"F";"316";"3";"4";"805";"-";"-"
"2021-07-16 13:21:31.984";"2021-07-16";"13:21:31";"F";"317";"2";"3";"845";"-";"-"
"2021-07-16 13:22:34.690";"2021-07-16";"13:22:34";"F";"318";"0";"3";"843";"-";"-"
"2021-07-16 13:23:37.322";"2021-07-16";"13:23:37";"F";"319";"4";"4";"840";"-";"-"
"2021-07-16 13:24:40.141";"2021-07-16";"13:24:40";"F";"320";"3";"5";"838";"-";"-"
"2021-07-16 13:25:41.215";"2021-07-16";"13:25:41";"F";"321";"0";"3";"834";"-";"-"
"2021-07-16 13:26:43.620";"2021-07-16";"13:26:43";"F";"322";"3";"3";"831";"-";"-"
"2021-07-16 13:27:46.114";"2021-07-16";"13:27:46";"F";"323";"3";"4";"827";"-";"-"
"2021-07-16 13:28:48.458";"2021-07-16";"13:28:48";"F";"324";"3";"6";"823";"-";"-"
"2021-07-16 13:29:51.262";"2021-07-16";"13:29:51";"F";"325";"1";"3";"821";"-";"-"
"2021-07-16 13:30:53.785";"2021-07-16";"13:30:53";"F";"326";"1";"3";"818";"-";"-"
"2021-07-16 13:31:56.570";"2021-07-16";"13:31:56";"F";"327";"0";"3";"814";"-";"-"
"2021-07-16 13:32:58.562";"2021-07-16";"13:32:58";"F";"328";"2";"4";"813";"-";"-"
"2021-07-16 13:34:00.191";"2021-07-16";"13:34:00";"F";"329";"2";"3";"811";"-";"-"
"2021-07-16 13:35:03.158";"2021-07-16";"13:35:03";"F";"330";"2";"2";"806";"-";"-"
"2021-07-16 13:36:05.203";"2021-07-16";"13:36:05";"F";"331";"3";"3";"803";"-";"-"
"2021-07-16 13:37:07.893";"2021-07-16";"13:37:07";"F";"332";"2";"3";"800";"-";"-"
