Datetime,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:Depth,Light CRRX,Depth CRRX,Coral,Variable,Site
21:38.0,7/19/21,6:21:38,F,564,232,727,0,0.681,-16.1,0,19.8,Random,Fv/Fm,Deep
21:54.0,7/19/21,6:21:54,F,565,186,728,0,0.745,-16.2,0,19.9,Random,Fv/Fm,Deep
22:04.0,7/19/21,6:22:04,F,566,365,961,0,0.62,-16.2,0,19.9,Random,Fv/Fm,Deep
22:12.0,7/19/21,6:22:12,F,567,369,1192,0,0.69,-16.2,0,19.9,Random,Fv/Fm,Deep
22:22.0,7/19/21,6:22:22,F,568,413,1158,0,0.643,-16.2,0,19.9,Random,Fv/Fm,Deep
22:29.0,7/19/21,6:22:29,F,569,274,1220,0,0.775,-16.2,0,19.9,Random,Fv/Fm,Deep
22:46.0,7/19/21,6:22:46,F,570,322,854,0,0.623,-16.2,0,19.9,Random,Fv/Fm,Deep
22:56.0,7/19/21,6:22:56,F,571,515,959,0,0.463,-16.2,0,19.9,Random,Fv/Fm,Deep
23:03.0,7/19/21,6:23:03,F,572,323,939,0,0.656,-16.2,0,19.9,Random,Fv/Fm,Deep
23:13.0,7/19/21,6:23:13,F,573,242,758,0,0.681,-16.1,0,19.8,Random,Fv/Fm,Deep
23:23.0,7/19/21,6:23:23,F,574,219,827,0,0.735,-16.2,0,19.9,Random,Fv/Fm,Deep
23:30.0,7/19/21,6:23:30,F,575,358,835,0,0.571,-16.1,0,19.8,Random,Fv/Fm,Deep
23:38.0,7/19/21,6:23:38,F,576,246,1217,0,0.798,-16.2,0,19.9,Random,Fv/Fm,Deep
23:50.0,7/19/21,6:23:50,F,577,297,910,0,0.674,-16.1,0,19.8,Random,Fv/Fm,Deep
23:59.0,7/19/21,6:23:59,F,578,217,693,0,0.687,-16.1,0,19.8,Random,Fv/Fm,Deep
24:07.0,7/19/21,6:24:07,F,579,146,848,0,0.828,-16.1,0,19.8,Random,Fv/Fm,Deep
24:15.0,7/19/21,6:24:15,F,580,470,923,0,0.491,-16.2,0,19.9,Random,Fv/Fm,Deep
24:25.0,7/19/21,6:24:25,F,581,457,1017,0,0.551,-16.1,0,19.8,Random,Fv/Fm,Deep
24:34.0,7/19/21,6:24:34,F,582,420,1414,0,0.703,-16.2,0,19.9,Random,Fv/Fm,Deep
24:48.0,7/19/21,6:24:48,F,583,308,702,0,0.561,-15.9,0,19.6,Random,Fv/Fm,Deep
32:03.0,7/19/21,6:32:02,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,Fv/Fm,
32:03.0,7/19/21,6:32:03,F,585,240,1061,2,0.774,-10.7,3,14.4,8 PP Ofav,Fv/Fm,Intermediate
32:09.0,7/19/21,6:32:09,F,586,315,1159,2,0.728,-10.7,3,14.4,8 PP Ofav,Fv/Fm,Intermediate
32:14.0,7/19/21,6:32:14,F,587,266,1003,2,0.735,-10.7,3,14.4,8 PP Ofav,Fv/Fm,Intermediate
32:20.0,7/19/21,6:32:20,F,588,304,1039,1,0.707,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
32:26.0,7/19/21,6:32:26,F,589,314,1073,1,0.707,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
32:32.0,7/19/21,6:32:32,F,590,319,965,1,0.669,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
32:38.0,7/19/21,6:32:38,F,591,403,1100,1,0.634,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
32:45.0,7/19/21,6:32:45,F,592,310,1243,1,0.751,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
32:51.0,7/19/21,6:32:51,F,593,274,865,1,0.683,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
32:57.0,7/19/21,6:32:57,F,594,240,922,1,0.74,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
33:06.0,7/19/21,6:33:06,F,595,305,537,0,0.432,-10.9,0,14.6,8 PP Ofav,Fv/Fm,Intermediate
33:12.0,7/19/21,6:33:12,F,596,307,966,1,0.682,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
33:18.0,7/19/21,6:33:18,F,597,315,918,1,0.657,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
33:23.0,7/19/21,6:33:23,F,598,309,934,1,0.669,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
33:29.0,7/19/21,6:33:29,F,599,277,849,1,0.674,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
33:35.0,7/19/21,6:33:35,F,600,358,1189,1,0.699,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
33:40.0,7/19/21,6:33:40,F,601,468,1237,1,0.622,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
33:46.0,7/19/21,6:33:46,F,602,398,1208,1,0.671,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
33:51.0,7/19/21,6:33:51,F,603,330,996,1,0.669,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
33:56.0,7/19/21,6:33:56,F,604,266,758,1,0.649,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:01.0,7/19/21,6:34:01,F,605,388,1183,1,0.672,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:06.0,7/19/21,6:34:06,F,606,416,1102,1,0.623,-10.9,1,14.6,8 PP Ofav,Fv/Fm,Intermediate
34:12.0,7/19/21,6:34:12,F,607,353,1038,0,0.66,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:18.0,7/19/21,6:34:18,F,608,383,1255,0,0.695,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:24.0,7/19/21,6:34:24,F,609,359,1112,0,0.677,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:30.0,7/19/21,6:34:30,F,610,351,1114,0,0.685,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:35.0,7/19/21,6:34:35,F,611,382,1095,1,0.651,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
34:42.0,7/19/21,6:34:42,F,612,473,1381,1,0.657,-10.7,1,14.4,8 PP Ofav,Fv/Fm,Intermediate
34:57.0,7/19/21,6:34:57,F,613,426,1421,0,0.7,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:03.0,7/19/21,6:35:03,F,614,441,1380,1,0.68,-10.8,1,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:09.0,7/19/21,6:35:09,F,615,288,946,0,0.696,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:15.0,7/19/21,6:35:15,F,616,361,1208,0,0.701,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:22.0,7/19/21,6:35:22,F,617,392,1192,0,0.671,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:27.0,7/19/21,6:35:27,F,618,361,1058,0,0.659,-10.8,0,14.5,8 PP Ofav,Fv/Fm,Intermediate
35:32.0,7/19/21,6:35:32,F,619,420,1123,0,0.626,-10.7,0,14.4,8 PP Ofav,Fv/Fm,Intermediate
35:37.0,7/19/21,6:35:37,F,620,299,751,0,0.602,-10.7,0,14.4,8 PP Ofav,Fv/Fm,Intermediate
35:43.0,7/19/21,6:35:43,F,621,426,1400,0,0.696,-10.7,0,14.4,8 PP Ofav,Fv/Fm,Intermediate
36:59.0,7/19/21,6:36:59,F,622,414,1341,3,0.691,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:05.0,7/19/21,6:37:05,F,623,344,1105,2,0.689,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:09.0,7/19/21,6:37:09,F,624,391,1198,2,0.674,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:14.0,7/19/21,6:37:14,F,625,488,1194,2,0.591,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:20.0,7/19/21,6:37:20,F,626,303,927,2,0.673,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:29.0,7/19/21,6:37:29,F,627,310,906,2,0.658,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:34.0,7/19/21,6:37:34,F,628,340,813,2,0.582,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:39.0,7/19/21,6:37:39,F,629,426,1304,2,0.673,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:45.0,7/19/21,6:37:45,F,630,424,1277,2,0.668,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:51.0,7/19/21,6:37:51,F,631,364,1278,2,0.715,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
37:57.0,7/19/21,6:37:57,F,632,383,1169,2,0.672,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
38:01.0,7/19/21,6:38:01,F,633,352,1176,2,0.701,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:06.0,7/19/21,6:38:06,F,634,311,938,2,0.668,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
38:11.0,7/19/21,6:38:11,F,635,375,980,2,0.617,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:17.0,7/19/21,6:38:17,F,636,459,1361,2,0.663,-10.3,3,14,6 PP Ofav,Fv/Fm,Intermediate
38:23.0,7/19/21,6:38:23,F,637,358,1061,2,0.663,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:30.0,7/19/21,6:38:30,F,638,489,1314,2,0.628,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
38:35.0,7/19/21,6:38:35,F,639,393,1173,2,0.665,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
38:41.0,7/19/21,6:38:41,F,640,347,1070,2,0.676,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:47.0,7/19/21,6:38:47,F,641,381,1197,2,0.682,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:53.0,7/19/21,6:38:53,F,642,385,1199,2,0.679,-10.4,3,14.1,6 PP Ofav,Fv/Fm,Intermediate
38:59.0,7/19/21,6:38:59,F,643,353,1042,3,0.661,-10.4,4,14.1,6 PP Ofav,Fv/Fm,Intermediate
39:05.0,7/19/21,6:39:05,F,644,437,1346,3,0.675,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:10.0,7/19/21,6:39:10,F,645,407,1128,2,0.639,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:16.0,7/19/21,6:39:16,F,646,336,1080,2,0.689,-10.5,3,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:21.0,7/19/21,6:39:21,F,647,425,1192,3,0.643,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:27.0,7/19/21,6:39:27,F,648,440,1133,3,0.612,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:33.0,7/19/21,6:39:33,F,649,415,1146,3,0.638,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:38.0,7/19/21,6:39:38,F,650,371,1157,3,0.679,-10.5,4,14.2,6 PP Ofav,Fv/Fm,Intermediate
39:45.0,7/19/21,6:39:45,F,651,288,928,3,0.69,-10.4,4,14.1,6 PP Ofav,Fv/Fm,Intermediate
39:51.0,7/19/21,6:39:51,F,652,359,1096,3,0.672,-10.3,4,14,6 PP Ofav,Fv/Fm,Intermediate
39:58.0,7/19/21,6:39:58,F,653,360,1104,3,0.674,-10.3,4,14,6 PP Ofav,Fv/Fm,Intermediate
40:04.0,7/19/21,6:40:04,F,654,328,962,3,0.659,-10.3,4,14,6 PP Ofav,Fv/Fm,Intermediate
