"2021-07-16";"09:13:42";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:Depth"
"2021-07-15 06:55:42.998";"2021-07-15";"06:55:42";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 06:55:43.000";"2021-07-15";"06:55:43";"F";"25";"0";"0";"0";"-";"3.7"
"2021-07-15 07:55:15.998";"2021-07-15";"07:55:15";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=129;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 07:55:16.000";"2021-07-15";"07:55:16";"F";"27";"0";"0";"338";"-";"3.6"
"2021-07-15 07:55:25.000";"2021-07-15";"07:55:25";"F";"28";"0";"0";"402";"-";"3.6"
"2021-07-15 07:55:35.000";"2021-07-15";"07:55:35";"F";"29";"0";"0";"416";"-";"3.3"
"2021-07-15 07:55:41.000";"2021-07-15";"07:55:41";"F";"30";"0";"0";"407";"-";"3.4"
"2021-07-15 07:55:47.000";"2021-07-15";"07:55:47";"F";"31";"0";"0";"376";"-";"2.9"
"2021-07-15 07:55:54.000";"2021-07-15";"07:55:54";"F";"32";"0";"0";"348";"-";"2.6"
"2021-07-15 07:55:59.000";"2021-07-15";"07:55:59";"F";"33";"0";"0";"322";"-";"2.1"
"2021-07-15 07:56:05.000";"2021-07-15";"07:56:05";"F";"34";"0";"0";"289";"-";"1.4"
"2021-07-15 07:56:11.000";"2021-07-15";"07:56:11";"F";"35";"0";"0";"248";"-";"0.8"
"2021-07-15 07:56:17.000";"2021-07-15";"07:56:17";"F";"36";"0";"0";"209";"-";"0.3"
"2021-07-15 07:56:23.000";"2021-07-15";"07:56:23";"F";"37";"0";"0";"187";"-";"- 0.3"
"2021-07-15 07:56:30.000";"2021-07-15";"07:56:30";"F";"38";"0";"0";"173";"-";"- 0.8"
"2021-07-15 07:56:38.000";"2021-07-15";"07:56:38";"F";"39";"0";"0";"147";"-";"- 1.1"
"2021-07-15 07:56:51.000";"2021-07-15";"07:56:51";"F";"40";"0";"0";"118";"-";"- 0.8"
"2021-07-15 07:57:54.000";"2021-07-15";"07:57:54";"F";"41";"0";"0";"139";"-";"- 0.9"
"2021-07-15 07:58:01.000";"2021-07-15";"07:58:01";"F";"42";"0";"0";"146";"-";"- 0.3"
"2021-07-15 07:59:14.000";"2021-07-15";"07:59:14";"F";"43";"0";"0";"131";"-";"- 0.7"
"2021-07-15 07:59:21.000";"2021-07-15";"07:59:21";"F";"44";"0";"0";"151";"-";"0.0"
"2021-07-15 07:59:26.000";"2021-07-15";"07:59:26";"F";"45";"0";"0";"170";"-";"0.4"
"2021-07-15 07:59:33.000";"2021-07-15";"07:59:33";"F";"46";"0";"0";"204";"-";"1.1"
"2021-07-15 07:59:38.000";"2021-07-15";"07:59:38";"F";"47";"0";"0";"238";"-";"1.9"
"2021-07-15 07:59:43.000";"2021-07-15";"07:59:43";"F";"48";"0";"0";"277";"-";"2.4"
"2021-07-15 07:59:49.000";"2021-07-15";"07:59:49";"F";"49";"0";"0";"351";"-";"3.2"
"2021-07-15 07:59:55.000";"2021-07-15";"07:59:55";"F";"50";"0";"0";"435";"-";"3.7"
"2021-07-15 08:00:00.000";"2021-07-15";"08:00:00";"F";"51";"0";"0";"478";"-";"3.7"
"2021-07-15 08:00:35.000";"2021-07-15";"08:00:35";"F";"52";"0";"0";"436";"-";"3.6"
"2021-07-15 08:00:40.000";"2021-07-15";"08:00:40";"F";"53";"0";"0";"448";"-";"3.2"
"2021-07-15 08:00:44.000";"2021-07-15";"08:00:44";"F";"54";"0";"0";"420";"-";"3.0"
"2021-07-15 08:00:48.000";"2021-07-15";"08:00:48";"F";"55";"0";"0";"409";"-";"2.8"
"2021-07-15 08:00:52.000";"2021-07-15";"08:00:52";"F";"56";"0";"0";"389";"-";"2.6"
"2021-07-15 08:00:57.000";"2021-07-15";"08:00:57";"F";"57";"0";"0";"378";"-";"2.2"
"2021-07-15 08:01:02.000";"2021-07-15";"08:01:02";"F";"58";"0";"0";"341";"-";"1.7"
"2021-07-15 08:01:07.000";"2021-07-15";"08:01:07";"F";"59";"0";"0";"304";"-";"1.4"
"2021-07-15 08:01:16.000";"2021-07-15";"08:01:16";"F";"60";"0";"0";"249";"-";"0.8"
"2021-07-15 08:01:22.000";"2021-07-15";"08:01:22";"F";"61";"0";"0";"241";"-";"0.8"
"2021-07-15 08:01:28.000";"2021-07-15";"08:01:28";"F";"62";"0";"0";"225";"-";"0.1"
"2021-07-15 08:01:34.000";"2021-07-15";"08:01:34";"F";"63";"0";"0";"208";"-";"- 0.2"
"2021-07-15 08:01:38.000";"2021-07-15";"08:01:38";"F";"64";"0";"0";"195";"-";"- 0.3"
"2021-07-15 08:01:44.000";"2021-07-15";"08:01:44";"F";"65";"0";"0";"178";"-";"- 1.0"
"2021-07-15 08:02:11.000";"2021-07-15";"08:02:11";"F";"66";"0";"0";"138";"-";"- 1.0"
"2021-07-15 08:07:12.998";"2021-07-15";"08:07:12";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=13;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 08:07:13.000";"2021-07-15";"08:07:13";"F";"68";"5";"9";"109";"-";"- 1.1"
"2021-07-15 08:07:23.000";"2021-07-15";"08:07:23";"F";"69";"9";"13";"115";"-";"- 1.2"
"2021-07-15 08:07:31.000";"2021-07-15";"08:07:31";"F";"70";"1";"5";"119";"-";"- 1.1"
"2021-07-15 08:07:42.000";"2021-07-15";"08:07:42";"F";"71";"5";"7";"92";"-";"- 1.2"
"2021-07-15 08:07:49.000";"2021-07-15";"08:07:49";"F";"72";"4";"13";"68";"-";"- 1.2"
"2021-07-15 08:07:55.000";"2021-07-15";"08:07:55";"F";"73";"3";"9";"66";"-";"- 1.2"
"2021-07-15 08:08:04.000";"2021-07-15";"08:08:04";"F";"74";"7";"8";"59";"-";"- 1.2"
"2021-07-15 08:09:04.998";"2021-07-15";"08:09:04";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=17;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 08:09:05.000";"2021-07-15";"08:09:05";"F";"76";"0";"3";"110";"-";"- 1.2"
"2021-07-15 08:09:41.000";"2021-07-15";"08:09:41";"F";"77";"0";"2";"50";"-";"- 1.1"
"2021-07-15 08:09:47.000";"2021-07-15";"08:09:47";"F";"78";"0";"3";"117";"-";"- 1.1"
"2021-07-15 08:09:55.000";"2021-07-15";"08:09:55";"F";"79";"0";"4";"135";"-";"- 1.2"
"2021-07-15 08:10:30.998";"2021-07-15";"08:10:30";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=15;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 08:10:31.000";"2021-07-15";"08:10:31";"F";"81";"5";"5";"65";"-";"- 1.0"
"2021-07-15 08:10:36.000";"2021-07-15";"08:10:36";"F";"82";"3";"7";"70";"-";"- 1.2"
"2021-07-15 08:10:43.000";"2021-07-15";"08:10:43";"F";"83";"3";"6";"68";"-";"- 1.1"
"2021-07-15 08:13:32.000";"2021-07-15";"08:13:32";"F";"84";"1";"6";"70";"-";"- 0.8"
"2021-07-15 08:13:51.000";"2021-07-15";"08:13:51";"F";"85";"3";"7";"125";"-";"- 0.9"
"2021-07-15 08:14:02.000";"2021-07-15";"08:14:02";"F";"86";"9";"8";"138";"-";"- 1.2"
"2021-07-15 08:14:15.998";"2021-07-15";"08:14:15";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=5;D=2;EF=0.84;FO=19;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 08:14:16.000";"2021-07-15";"08:14:16";"F";"88";"0";"0";"74";"-";"- 1.0"
"2021-07-15 08:14:23.000";"2021-07-15";"08:14:23";"F";"89";"3";"3";"64";"-";"- 1.1"
"2021-07-15 08:14:30.000";"2021-07-15";"08:14:30";"F";"90";"1";"5";"67";"-";"- 1.1"
"2021-07-15 09:48:11.000";"2021-07-15";"09:48:11";"F";"91";"7";"9";"43";"-";"- 15.4"
"2021-07-15 09:48:20.000";"2021-07-15";"09:48:20";"F";"92";"9";"9";"43";"-";"- 15.4"
"2021-07-15 09:48:28.000";"2021-07-15";"09:48:28";"F";"93";"6";"9";"44";"-";"- 15.4"
"2021-07-15 09:48:40.000";"2021-07-15";"09:48:40";"F";"94";"8";"9";"31";"-";"- 15.5"
"2021-07-15 09:48:46.000";"2021-07-15";"09:48:46";"F";"95";"8";"8";"23";"-";"- 15.5"
"2021-07-15 09:48:52.000";"2021-07-15";"09:48:52";"F";"96";"10";"8";"23";"-";"- 15.5"
"2021-07-15 09:49:11.000";"2021-07-15";"09:49:11";"F";"97";"9";"9";"8";"-";"- 15.6"
"2021-07-15 09:49:24.000";"2021-07-15";"09:49:24";"F";"98";"8";"9";"9";"-";"- 15.5"
"2021-07-15 09:49:32.000";"2021-07-15";"09:49:32";"F";"99";"9";"9";"10";"-";"- 15.5"
"2021-07-15 09:49:44.000";"2021-07-15";"09:49:44";"F";"100";"7";"9";"28";"-";"- 15.6"
"2021-07-15 09:49:52.000";"2021-07-15";"09:49:52";"F";"101";"8";"9";"47";"-";"- 15.5"
"2021-07-15 09:49:59.000";"2021-07-15";"09:49:59";"F";"102";"7";"9";"49";"-";"- 15.5"
"2021-07-15 09:54:17.998";"2021-07-15";"09:54:17";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=9;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 09:54:18.000";"2021-07-15";"09:54:18";"F";"104";"333";"1065";"10";"0.687";"- 15.3"
"2021-07-15 09:54:25.000";"2021-07-15";"09:54:25";"F";"105";"359";"1041";"8";"0.655";"- 15.3"
"2021-07-15 09:54:32.000";"2021-07-15";"09:54:32";"F";"106";"341";"1073";"8";"0.682";"- 15.5"
"2021-07-15 09:57:58.000";"2021-07-15";"09:57:58";"F";"107";"384";"790";"1";"0.514";"- 15.7"
"2021-07-15 09:58:05.000";"2021-07-15";"09:58:05";"F";"108";"347";"714";"1";"0.514";"- 15.8"
"2021-07-15 09:58:15.000";"2021-07-15";"09:58:15";"F";"109";"332";"1128";"2";"0.706";"- 15.8"
"2021-07-15 09:58:21.000";"2021-07-15";"09:58:21";"F";"110";"421";"1255";"2";"0.665";"- 15.7"
"2021-07-15 09:58:50.000";"2021-07-15";"09:58:50";"F";"111";"366";"903";"7";"0.595";"- 15.8"
"2021-07-15 09:58:59.000";"2021-07-15";"09:58:59";"F";"112";"321";"775";"7";"0.586";"- 15.8"
"2021-07-15 10:00:39.998";"2021-07-15";"10:00:39";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=10;CW=5:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-15 10:00:40.000";"2021-07-15";"10:00:40";"F";"114";"467";"1540";"11";"0.697";"- 16.1"
"2021-07-15 10:00:52.000";"2021-07-15";"10:00:52";"F";"115";"501";"1279";"11";"0.608";"- 16.2"
"2021-07-15 10:01:12.000";"2021-07-15";"10:01:12";"F";"116";"430";"1405";"6";"0.694";"- 16.1"
"2021-07-15 10:02:51.000";"2021-07-15";"10:02:51";"F";"117";"0";"1";"54";"-";"- 15.5"
"2021-07-15 10:03:03.000";"2021-07-15";"10:03:03";"F";"118";"0";"0";"80";"-";"- 15.6"
"2021-07-15 10:03:10.000";"2021-07-15";"10:03:10";"F";"119";"0";"0";"79";"-";"- 15.5"
"2021-07-15 10:03:20.000";"2021-07-15";"10:03:20";"F";"120";"0";"0";"62";"-";"- 15.6"
"2021-07-15 10:03:27.000";"2021-07-15";"10:03:27";"F";"121";"0";"1";"37";"-";"- 15.6"
"2021-07-15 10:03:33.000";"2021-07-15";"10:03:33";"F";"122";"0";"0";"37";"-";"- 15.7"
"2021-07-15 10:03:47.000";"2021-07-15";"10:03:47";"F";"123";"0";"0";"21";"-";"- 15.8"
"2021-07-15 10:03:54.000";"2021-07-15";"10:03:54";"F";"124";"0";"0";"5";"-";"- 15.8"
"2021-07-15 10:04:02.000";"2021-07-15";"10:04:02";"F";"125";"0";"0";"5";"-";"- 15.8"
"2021-07-15 10:04:20.000";"2021-07-15";"10:04:20";"F";"126";"0";"0";"74";"-";"- 15.8"
