"2021-07-22";"10:26:42";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2021-07-20 20:34:32.000";"2021-07-20";"20:34:32";"F";"1173";"9";"12";"1204";"-";"-"
"2021-07-20 20:44:17.000";"2021-07-20";"20:44:17";"F";"1174";"0";"0";"5";"-";"-"
"2021-07-20 20:44:28.000";"2021-07-20";"20:44:28";"F";"1175";"0";"0";"7";"-";"-"
"2021-07-20 20:44:44.000";"2021-07-20";"20:44:44";"F";"1176";"0";"0";"3";"-";"-"
"2021-07-20 20:44:59.000";"2021-07-20";"20:44:59";"F";"1177";"0";"0";"4";"-";"-"
"2021-07-20 20:46:11.000";"2021-07-20";"20:46:11";"F";"1178";"5";"6";"1";"-";"-"
"2021-07-20 20:49:55.998";"2021-07-20";"20:49:55";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=11;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-20 20:49:56.000";"2021-07-20";"20:49:56";"F";"1180";"327";"883";"2";"0.630";"0.5"
"2021-07-20 20:50:25.000";"2021-07-20";"20:50:25";"F";"1181";"428";"907";"0";"0.528";"0.0"
"2021-07-20 20:50:41.000";"2021-07-20";"20:50:41";"F";"1182";"461";"1092";"0";"0.578";"0.0"
"2021-07-20 20:51:41.000";"2021-07-20";"20:51:41";"F";"1183";"315";"861";"0";"0.634";"0.0"
"2021-07-20 20:51:51.000";"2021-07-20";"20:51:51";"F";"1184";"314";"986";"1";"0.682";"0.3"
"2021-07-20 20:51:59.000";"2021-07-20";"20:51:59";"F";"1185";"398";"1045";"1";"0.619";"0.3"
"2021-07-20 20:52:10.000";"2021-07-20";"20:52:10";"F";"1186";"296";"881";"1";"0.664";"0.3"
"2021-07-20 20:52:16.000";"2021-07-20";"20:52:16";"F";"1187";"366";"1015";"1";"0.639";"0.3"
"2021-07-20 20:52:23.000";"2021-07-20";"20:52:23";"F";"1188";"338";"909";"2";"0.628";"0.5"
"2021-07-20 20:52:35.000";"2021-07-20";"20:52:35";"F";"1189";"383";"1016";"1";"0.623";"0.3"
"2021-07-20 20:52:42.000";"2021-07-20";"20:52:42";"F";"1190";"357";"1111";"1";"0.679";"0.3"
"2021-07-20 20:53:06.000";"2021-07-20";"20:53:06";"F";"1191";"397";"1081";"0";"0.633";"0.0"
"2021-07-20 20:53:30.000";"2021-07-20";"20:53:30";"F";"1192";"307";"823";"0";"0.627";"0.0"
"2021-07-20 20:53:40.000";"2021-07-20";"20:53:40";"F";"1193";"314";"882";"1";"0.644";"0.3"
"2021-07-20 20:53:53.000";"2021-07-20";"20:53:53";"F";"1194";"408";"1253";"1";"0.674";"0.3"
"2021-07-20 20:54:19.000";"2021-07-20";"20:54:19";"F";"1195";"372";"1087";"0";"0.658";"0.0"
"2021-07-20 20:54:27.000";"2021-07-20";"20:54:27";"F";"1196";"312";"948";"1";"0.671";"0.3"
"2021-07-20 20:54:35.000";"2021-07-20";"20:54:35";"F";"1197";"324";"957";"1";"0.661";"0.3"
"2021-07-20 20:54:46.000";"2021-07-20";"20:54:46";"F";"1198";"340";"907";"1";"0.625";"0.3"
"2021-07-20 20:54:54.000";"2021-07-20";"20:54:54";"F";"1199";"375";"1112";"1";"0.663";"0.3"
"2021-07-20 20:55:04.000";"2021-07-20";"20:55:04";"F";"1200";"370";"1044";"1";"0.646";"0.3"
"2021-07-20 20:55:55.000";"2021-07-20";"20:55:55";"F";"1201";"297";"794";"0";"0.626";"0.0"
"2021-07-20 20:56:03.000";"2021-07-20";"20:56:03";"F";"1202";"347";"1006";"1";"0.655";"0.3"
"2021-07-20 20:56:26.000";"2021-07-20";"20:56:26";"F";"1203";"369";"1245";"0";"0.704";"0.0"
"2021-07-20 20:56:53.000";"2021-07-20";"20:56:53";"F";"1204";"383";"916";"0";"0.582";"0.0"
"2021-07-20 20:57:38.000";"2021-07-20";"20:57:38";"F";"1205";"349";"1086";"0";"0.679";"0.0"
"2021-07-20 20:58:23.000";"2021-07-20";"20:58:23";"F";"1206";"478";"1257";"0";"0.620";"0.0"
"2021-07-20 20:58:45.000";"2021-07-20";"20:58:45";"F";"1207";"311";"972";"0";"0.680";"0.0"
"2021-07-20 20:58:59.000";"2021-07-20";"20:58:59";"F";"1208";"312";"978";"1";"0.681";"0.3"
"2021-07-20 20:59:11.000";"2021-07-20";"20:59:11";"F";"1209";"398";"1240";"2";"0.679";"0.6"
"2021-07-20 20:59:19.000";"2021-07-20";"20:59:19";"F";"1210";"381";"950";"1";"0.599";"0.3"
"2021-07-20 20:59:26.000";"2021-07-20";"20:59:26";"F";"1211";"344";"972";"1";"0.646";"0.3"
"2021-07-20 20:59:39.000";"2021-07-20";"20:59:39";"F";"1212";"365";"1060";"2";"0.656";"0.6"
"2021-07-20 20:59:53.000";"2021-07-20";"20:59:53";"F";"1213";"384";"1044";"1";"0.632";"0.3"
"2021-07-20 21:00:02.000";"2021-07-20";"21:00:02";"F";"1214";"411";"1206";"2";"0.659";"0.6"
"2021-07-20 21:00:11.000";"2021-07-20";"21:00:11";"F";"1215";"356";"1077";"3";"0.669";"0.8"
"2021-07-20 21:01:26.000";"2021-07-20";"21:01:26";"F";"1216";"551";"1471";"1";"0.625";"0.3"
"2021-07-20 21:03:28.000";"2021-07-20";"21:03:28";"F";"1217";"711";"1876";"0";"0.621";"0.0"
"2021-07-20 21:04:39.000";"2021-07-20";"21:04:39";"F";"1218";"647";"2076";"0";"0.688";"0.0"
"2021-07-20 21:04:50.000";"2021-07-20";"21:04:50";"F";"1219";"605";"1621";"1";"0.627";"0.3"
"2021-07-20 21:05:03.000";"2021-07-20";"21:05:03";"F";"1220";"511";"1121";"1";"0.544";"0.2"
"2021-07-20 21:05:12.000";"2021-07-20";"21:05:12";"F";"1221";"473";"1411";"1";"0.665";"0.3"
"2021-07-20 21:05:23.000";"2021-07-20";"21:05:23";"F";"1222";"549";"1272";"1";"0.568";"0.2"
"2021-07-20 21:05:30.000";"2021-07-20";"21:05:30";"F";"1223";"499";"1253";"1";"0.602";"0.3"
"2021-07-20 21:05:50.000";"2021-07-20";"21:05:50";"F";"1224";"360";"1158";"0";"0.689";"0.0"
"2021-07-20 21:06:00.000";"2021-07-20";"21:06:00";"F";"1225";"401";"1208";"1";"0.668";"0.3"
"2021-07-20 21:06:07.000";"2021-07-20";"21:06:07";"F";"1226";"401";"1184";"1";"0.661";"0.3"
