"2021-07-25";"10:37:37";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)"
"2021-07-19 06:21:37.998";"2021-07-19";"06:21:37";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=10;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-19 06:21:38.000";"2021-07-19";"06:21:38";"F";"564";"232";"727";"0";"28.0";"0.681";"0.0";"278";"0.84";"- 16.1";"1.102";"- 1.069";"1.321";"- 0.396";"0.528";"- 0.209"
"2021-07-19 06:21:54.000";"2021-07-19";"06:21:54";"F";"565";"186";"728";"0";"28.0";"0.745";"0.0";"278";"0.84";"- 16.2";"1.204";"- 1.074";"1.800";"- 0.397";"0.424";"- 0.169"
"2021-07-19 06:22:04.000";"2021-07-19";"06:22:04";"F";"566";"365";"961";"0";"27.0";"0.620";"0.0";"306";"0.84";"- 16.2";"0.910";"- 2.018";"0.763";"- 0.543";"0.831";"- 0.451"
"2021-07-19 06:22:12.000";"2021-07-19";"06:22:12";"F";"567";"369";"1192";"0";"27.0";"0.690";"0.0";"326";"0.84";"- 16.2";"0.950";"- 2.991";"0.839";"- 0.632";"0.841";"- 0.531"
"2021-07-19 06:22:22.000";"2021-07-19";"06:22:22";"F";"568";"413";"1158";"0";"27.0";"0.643";"0.0";"324";"0.84";"- 16.2";"0.893";"- 2.843";"0.701";"- 0.621";"0.941";"- 0.584"
"2021-07-19 06:22:29.000";"2021-07-19";"06:22:29";"F";"569";"274";"1220";"0";"28.0";"0.775";"0.0";"328";"0.84";"- 16.2";"1.061";"- 3.111";"1.270";"- 0.640";"0.624";"- 0.399"
"2021-07-19 06:22:46.000";"2021-07-19";"06:22:46";"F";"570";"322";"854";"0";"27.0";"0.623";"0.0";"294";"0.84";"- 16.2";"0.950";"- 1.581";"0.867";"- 0.486";"0.733";"- 0.356"
"2021-07-19 06:22:56.000";"2021-07-19";"06:22:56";"F";"571";"515";"959";"0";"28.0";"0.463";"0.0";"306";"0.84";"- 16.2";"0.680";"- 2.009";"0.404";"- 0.542";"1.173";"- 0.636"
"2021-07-19 06:23:03.000";"2021-07-19";"06:23:03";"F";"572";"323";"939";"0";"27.0";"0.656";"0.0";"304";"0.84";"- 16.2";"0.970";"- 1.926";"0.913";"- 0.532";"0.736";"- 0.392"
"2021-07-19 06:23:13.000";"2021-07-19";"06:23:13";"F";"573";"242";"758";"0";"28.0";"0.681";"0.0";"282";"0.84";"- 16.1";"1.084";"- 1.194";"1.263";"- 0.421";"0.551";"- 0.232"
"2021-07-19 06:23:23.000";"2021-07-19";"06:23:23";"F";"574";"219";"827";"0";"27.0";"0.735";"0.0";"291";"0.84";"- 16.2";"1.134";"- 1.470";"1.507";"- 0.469";"0.499";"- 0.234"
"2021-07-19 06:23:30.000";"2021-07-19";"06:23:30";"F";"575";"358";"835";"0";"28.0";"0.571";"0.0";"292";"0.84";"- 16.1";"0.878";"- 1.502";"0.716";"- 0.474";"0.815";"- 0.386"
"2021-07-19 06:23:38.000";"2021-07-19";"06:23:38";"F";"576";"246";"1217";"0";"27.0";"0.798";"0.0";"328";"0.84";"- 16.2";"1.092";"- 3.097";"1.456";"- 0.639";"0.560";"- 0.358"
"2021-07-19 06:23:50.000";"2021-07-19";"06:23:50";"F";"577";"297";"910";"0";"27.0";"0.674";"0.0";"301";"0.84";"- 16.1";"1.007";"- 1.806";"1.021";"- 0.518";"0.677";"- 0.351"
"2021-07-19 06:23:59.000";"2021-07-19";"06:23:59";"F";"578";"217";"693";"0";"27.0";"0.687";"0.0";"273";"0.84";"- 16.1";"1.133";"- 0.935";"1.425";"- 0.367";"0.494";"- 0.181"
"2021-07-19 06:24:07.000";"2021-07-19";"06:24:07";"F";"579";"146";"848";"0";"27.0";"0.828";"0.0";"294";"0.84";"- 16.1";"1.267";"- 1.553";"2.551";"- 0.482";"0.333";"- 0.161"
"2021-07-19 06:24:15.000";"2021-07-19";"06:24:15";"F";"580";"470";"923";"0";"27.0";"0.491";"0.0";"302";"0.84";"- 16.2";"0.729";"- 1.862";"0.468";"- 0.524";"1.071";"- 0.562"
"2021-07-19 06:24:25.000";"2021-07-19";"06:24:25";"F";"581";"457";"1017";"0";"27.0";"0.551";"0.0";"312";"0.84";"- 16.1";"0.794";"- 2.249";"0.542";"- 0.568";"1.041";"- 0.592"
"2021-07-19 06:24:34.000";"2021-07-19";"06:24:34";"F";"582";"420";"1414";"0";"27.0";"0.703";"0.0";"341";"0.84";"- 16.2";"0.926";"- 3.945";"0.752";"- 0.690";"0.957";"- 0.660"
"2021-07-19 06:24:48.000";"2021-07-19";"06:24:48";"F";"583";"308";"702";"0";"27.0";"0.561";"0.0";"274";"0.84";"- 15.9";"0.921";"- 0.972";"0.819";"- 0.375";"0.702";"- 0.263"
"2021-07-19 06:32:02.998";"2021-07-19";"06:32:02";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-19 06:32:03.000";"2021-07-19";"06:32:03";"F";"585";"240";"1061";"2";"27.0";"0.774";"0.7";"316";"0.84";"- 10.7";"1.102";"- 2.433";"1.451";"- 0.586";"0.547";"- 0.321"
"2021-07-19 06:32:09.000";"2021-07-19";"06:32:09";"F";"586";"315";"1159";"2";"27.0";"0.728";"0.6";"324";"0.84";"- 10.7";"1.011";"- 2.848";"1.040";"- 0.621";"0.718";"- 0.446"
"2021-07-19 06:32:14.000";"2021-07-19";"06:32:14";"F";"587";"266";"1003";"2";"27.0";"0.735";"0.6";"310";"0.84";"- 10.7";"1.063";"- 2.194";"1.239";"- 0.562";"0.606";"- 0.341"
"2021-07-19 06:32:20.000";"2021-07-19";"06:32:20";"F";"588";"304";"1039";"1";"27.0";"0.707";"0.3";"314";"0.84";"- 10.8";"1.014";"- 2.341";"1.047";"- 0.577";"0.692";"- 0.399"
"2021-07-19 06:32:26.000";"2021-07-19";"06:32:26";"F";"589";"314";"1073";"1";"27.0";"0.707";"0.3";"317";"0.84";"- 10.8";"1.004";"- 2.484";"1.014";"- 0.591";"0.715";"- 0.422"
"2021-07-19 06:32:32.000";"2021-07-19";"06:32:32";"F";"590";"319";"965";"1";"28.0";"0.669";"0.3";"306";"0.84";"- 10.9";"0.980";"- 2.037";"0.940";"- 0.545";"0.727";"- 0.396"
"2021-07-19 06:32:38.000";"2021-07-19";"06:32:38";"F";"591";"403";"1100";"1";"27.0";"0.634";"0.3";"319";"0.84";"- 10.8";"0.892";"- 2.599";"0.706";"- 0.601";"0.918";"- 0.552"
"2021-07-19 06:32:45.000";"2021-07-19";"06:32:45";"F";"592";"310";"1243";"1";"28.0";"0.751";"0.3";"330";"0.84";"- 10.8";"1.022";"- 3.207";"1.088";"- 0.647";"0.706";"- 0.457"
"2021-07-19 06:32:51.000";"2021-07-19";"06:32:51";"F";"593";"274";"865";"1";"27.0";"0.683";"0.3";"296";"0.84";"- 10.8";"1.039";"- 1.622";"1.122";"- 0.492";"0.624";"- 0.307"
"2021-07-19 06:32:57.000";"2021-07-19";"06:32:57";"F";"594";"240";"922";"1";"27.0";"0.740";"0.3";"302";"0.84";"- 10.8";"1.100";"- 1.857";"1.384";"- 0.524";"0.547";"- 0.287"
"2021-07-19 06:33:06.000";"2021-07-19";"06:33:06";"F";"595";"305";"537";"0";"28.0";"0.432";"0.0";"245";"0.84";"- 10.9";"0.795";"- 0.346";"0.639";"- 0.182";"0.695";"- 0.127"
"2021-07-19 06:33:12.000";"2021-07-19";"06:33:12";"F";"596";"307";"966";"1";"27.0";"0.682";"0.3";"307";"0.84";"- 10.8";"1.000";"- 2.037";"1.000";"- 0.546";"0.699";"- 0.381"
"2021-07-19 06:33:18.000";"2021-07-19";"06:33:18";"F";"597";"315";"918";"1";"28.0";"0.657";"0.3";"302";"0.84";"- 10.8";"0.979";"- 1.839";"0.939";"- 0.522";"0.718";"- 0.375"
"2021-07-19 06:33:23.000";"2021-07-19";"06:33:23";"F";"598";"309";"934";"1";"27.0";"0.669";"0.3";"303";"0.84";"- 10.9";"0.990";"- 1.908";"0.971";"- 0.530";"0.704";"- 0.373"
"2021-07-19 06:33:29.000";"2021-07-19";"06:33:29";"F";"599";"277";"849";"1";"27.0";"0.674";"0.3";"294";"0.84";"- 10.9";"1.031";"- 1.558";"1.094";"- 0.483";"0.631";"- 0.305"
"2021-07-19 06:33:35.000";"2021-07-19";"06:33:35";"F";"600";"358";"1189";"1";"28.0";"0.699";"0.3";"326";"0.84";"- 10.8";"0.963";"- 2.977";"0.877";"- 0.631";"0.815";"- 0.514"
"2021-07-19 06:33:40.000";"2021-07-19";"06:33:40";"F";"601";"468";"1237";"1";"28.0";"0.622";"0.3";"329";"0.84";"- 10.8";"0.847";"- 3.184";"0.595";"- 0.645";"1.066";"- 0.688"
