"2021-07-26";"08:55:44";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth"
"";"";"";"D";"";"Device Nr: #1, DIVING-PAM ";""
"2021-07-25 10:47:21.998";"2021-07-25";"10:47:21";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-25 10:47:21.999";"2021-07-25";"10:47:21";"SCHS";"";"Chart start ";""
"2021-07-25 10:47:22.000";"2021-07-25";"10:47:22";"F";"2";"330";"548";"70";"26.0";"0.398";"11.7";"-";"0.84";"3.8"
"2021-07-25 10:47:28.000";"2021-07-25";"10:47:28";"F";"3";"354";"1064";"62";"26.0";"0.667";"17.4";"-";"0.84";"3.8"
"2021-07-25 10:47:33.000";"2021-07-25";"10:47:33";"F";"4";"244";"633";"61";"26.0";"0.615";"15.8";"-";"0.84";"3.8"
"2021-07-25 10:47:42.000";"2021-07-25";"10:47:42";"F";"5";"334";"760";"59";"26.0";"0.561";"13.9";"-";"0.84";"3.8"
"2021-07-25 10:47:48.000";"2021-07-25";"10:47:48";"F";"6";"291";"804";"59";"26.0";"0.638";"15.8";"-";"0.84";"3.8"
"2021-07-25 10:47:55.000";"2021-07-25";"10:47:55";"F";"7";"268";"752";"75";"26.0";"0.644";"20.3";"-";"0.84";"3.8"
"2021-07-25 10:48:00.000";"2021-07-25";"10:48:00";"F";"8";"285";"692";"90";"26.0";"0.588";"22.2";"-";"0.84";"3.8"
"2021-07-25 10:48:05.000";"2021-07-25";"10:48:05";"F";"9";"300";"392";"96";"26.0";"0.235";"9.5";"-";"0.84";"3.8"
"2021-07-25 10:48:12.000";"2021-07-25";"10:48:12";"F";"10";"312";"842";"90";"26.0";"0.629";"23.8";"-";"0.84";"3.8"
"2021-07-25 10:48:16.000";"2021-07-25";"10:48:16";"F";"11";"236";"642";"88";"26.0";"0.632";"23.4";"-";"0.84";"3.8"
"2021-07-25 10:48:22.000";"2021-07-25";"10:48:22";"F";"12";"349";"492";"82";"26.0";"0.291";"10.0";"-";"0.84";"3.8"
"2021-07-25 10:48:28.000";"2021-07-25";"10:48:28";"F";"13";"309";"712";"79";"26.0";"0.566";"18.8";"-";"0.84";"3.8"
"2021-07-25 10:48:34.000";"2021-07-25";"10:48:34";"F";"14";"334";"857";"79";"26.0";"0.610";"20.2";"-";"0.84";"3.8"
"2021-07-25 10:48:40.000";"2021-07-25";"10:48:40";"F";"15";"275";"554";"79";"26.0";"0.504";"16.7";"-";"0.84";"3.8"
"2021-07-25 10:48:46.000";"2021-07-25";"10:48:46";"F";"16";"363";"837";"80";"26.0";"0.566";"19.0";"-";"0.84";"3.8"
"2021-07-25 10:48:52.000";"2021-07-25";"10:48:52";"F";"17";"177";"422";"81";"26.0";"0.581";"19.8";"-";"0.84";"3.9"
"2021-07-25 10:48:57.000";"2021-07-25";"10:48:57";"F";"18";"338";"805";"80";"26.0";"0.580";"19.5";"-";"0.84";"3.8"
"2021-07-25 10:49:05.000";"2021-07-25";"10:49:05";"F";"19";"218";"557";"77";"26.0";"0.609";"19.7";"-";"0.84";"3.8"
"2021-07-25 10:49:10.000";"2021-07-25";"10:49:10";"F";"20";"286";"749";"76";"26.0";"0.618";"19.7";"-";"0.84";"3.8"
"2021-07-25 10:49:17.000";"2021-07-25";"10:49:17";"F";"21";"337";"961";"78";"26.0";"0.649";"21.3";"-";"0.84";"3.8"
"2021-07-25 10:49:23.000";"2021-07-25";"10:49:23";"F";"22";"284";"679";"77";"26.0";"0.582";"18.8";"-";"0.84";"3.8"
"2021-07-25 10:49:30.000";"2021-07-25";"10:49:30";"F";"23";"401";"848";"77";"26.0";"0.527";"17.0";"-";"0.84";"3.8"
"2021-07-25 10:49:36.000";"2021-07-25";"10:49:36";"F";"24";"298";"770";"77";"26.0";"0.613";"19.8";"-";"0.84";"3.8"
"2021-07-25 10:49:42.000";"2021-07-25";"10:49:42";"F";"25";"330";"746";"77";"26.0";"0.558";"18.0";"-";"0.84";"3.8"
"2021-07-25 10:49:48.000";"2021-07-25";"10:49:48";"F";"26";"313";"791";"76";"26.0";"0.604";"19.3";"-";"0.84";"3.8"
"2021-07-25 10:49:54.000";"2021-07-25";"10:49:54";"F";"27";"409";"543";"75";"26.0";"0.247";"7.8";"-";"0.84";"3.8"
"2021-07-25 10:50:01.000";"2021-07-25";"10:50:01";"F";"28";"196";"420";"73";"26.0";"0.533";"16.3";"-";"0.84";"3.8"
"2021-07-25 10:50:09.000";"2021-07-25";"10:50:09";"F";"29";"311";"823";"70";"26.0";"0.622";"18.3";"-";"0.84";"3.8"
"2021-07-25 10:50:16.000";"2021-07-25";"10:50:16";"F";"30";"310";"927";"64";"26.0";"0.666";"17.9";"-";"0.84";"3.8"
