
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	1.50	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.453	1018	100.000	20.950	50.396	20.191	0.804	0.122	4000	0.969	-0.056	0.694	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.162	26.514	1018	100.000	20.950	50.048	20.253	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.407	26.522	1018	100.000	20.950	49.297	21.437	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.346	26.525	1018	100.000	20.950	50.253	20.157	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	8/5/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/5/2021	10:20:40	0.00		133.35	120.75	107.78	102.58	27.000	27.000	27.000	27.000	1018.98	44.777	---	---	---	24.919	26.096	28.529	27.876	335.158	165.693	190.270	342.381	5.051	5.649	6.051	7.358	
8/5/2021	10:20:50	9.59		133.41	120.71	107.76	102.52	27.000	27.000	27.000	27.000	1018.89	44.792	---	---	---	24.913	26.099	28.531	27.883	335.174	165.701	190.265	342.413	5.185	5.677	5.716	7.462	
8/5/2021	10:21:00	19.59		133.36	120.60	107.72	102.53	27.000	27.000	27.000	27.000	1018.95	44.771	---	---	---	24.918	26.109	28.535	27.882	335.194	165.710	190.281	342.435	5.090	5.540	6.009	7.188	
8/5/2021	10:21:10	29.59		133.26	120.66	107.78	102.51	27.000	27.000	27.000	27.000	1018.95	44.516	---	---	---	24.926	26.104	28.529	27.884	335.210	165.713	190.296	342.445	5.307	5.781	5.925	7.361	
8/5/2021	10:21:20	39.59		133.36	120.72	107.73	102.51	27.000	27.000	27.000	27.000	1018.96	44.482	---	---	---	24.918	26.099	28.534	27.884	335.222	165.720	190.303	342.449	5.170	5.465	5.915	7.283	
8/5/2021	10:21:30	49.59		133.25	120.68	107.84	102.49	27.000	27.000	27.000	27.000	1018.94	44.409	---	---	---	24.927	26.102	28.523	27.886	335.290	165.747	190.305	342.441	5.170	5.682	6.008	7.045	
8/5/2021	10:21:40	59.59		133.26	120.71	107.69	102.55	27.000	27.000	27.000	27.000	1018.94	44.287	---	---	---	24.926	26.100	28.539	27.879	335.298	165.763	190.340	342.494	5.200	5.579	6.118	7.306	
8/5/2021	10:21:50	69.59		133.23	120.72	107.73	102.45	27.000	27.000	27.000	27.000	1018.95	44.257	---	---	---	24.929	26.099	28.534	27.891	335.335	165.775	190.382	342.522	5.556	5.505	6.000	7.186	
8/5/2021	10:22:00	79.59		133.31	120.61	107.70	102.50	27.000	27.000	27.000	27.000	1018.97	44.258	---	---	---	24.922	26.109	28.537	27.885	335.345	165.776	190.384	342.522	4.907	5.559	5.798	7.271	
8/5/2021	10:22:10	89.59		133.23	120.66	107.73	102.51	27.000	27.000	27.000	27.000	1018.99	44.001	---	---	---	24.929	26.104	28.534	27.884	335.366	165.775	190.383	342.547	5.222	5.749	5.765	7.530	
8/5/2021	10:22:20	99.59		133.29	120.55	107.65	102.47	27.000	27.000	27.000	27.000	1019.00	43.845	---	---	---	24.924	26.115	28.543	27.889	335.427	165.786	190.399	342.554	5.046	5.475	6.032	7.341	
8/5/2021	10:22:30	109.59		133.25	120.50	107.65	102.48	27.000	27.000	27.000	27.000	1018.96	43.847	---	---	---	24.927	26.119	28.543	27.888	335.470	165.811	190.429	342.567	5.370	5.399	6.092	7.518	
8/5/2021	10:22:40	119.59		133.18	120.58	107.62	102.50	27.000	27.000	27.000	27.000	1018.98	43.768	---	---	---	24.933	26.111	28.545	27.885	335.478	165.810	190.426	342.618	5.063	5.523	5.954	7.168	
8/5/2021	10:22:50	129.59		133.14	120.52	107.58	102.43	27.000	27.000	27.000	27.000	1019.00	43.832	---	---	---	24.936	26.117	28.550	27.893	335.505	165.837	190.449	342.574	5.255	5.678	6.062	6.917	
8/5/2021	10:23:00	139.59		133.27	120.46	107.59	102.49	27.000	27.000	27.000	27.000	1018.93	43.858	---	---	---	24.925	26.123	28.549	27.886	335.546	165.854	190.431	342.616	5.405	5.469	6.039	7.387	
8/5/2021	10:23:10	149.59		133.16	120.60	107.68	102.44	27.000	27.000	27.000	27.000	1018.92	43.657	---	---	---	24.935	26.110	28.540	27.892	335.599	165.836	190.468	342.644	5.034	5.528	6.103	7.170	
8/5/2021	10:23:20	159.59		133.11	120.49	107.62	102.45	27.000	27.000	27.000	27.000	1018.92	43.813	---	---	---	24.939	26.120	28.546	27.890	335.575	165.876	190.483	342.695	4.798	5.657	5.935	7.412	
8/5/2021	10:23:30	169.59		133.17	120.49	107.58	102.43	27.000	27.000	27.000	27.000	1018.99	43.838	---	---	---	24.934	26.120	28.550	27.893	335.628	165.886	190.516	342.725	4.733	5.556	5.952	7.293	
8/5/2021	10:23:40	179.59		133.12	120.44	107.57	102.42	27.000	27.000	27.000	27.000	1018.93	43.774	---	---	---	24.938	26.125	28.550	27.894	335.684	165.923	190.504	342.741	5.044	5.589	5.808	7.429	
8/5/2021	10:23:50	189.59		133.13	120.45	107.51	102.51	27.000	27.000	27.000	27.000	1018.94	43.552	---	---	---	24.938	26.124	28.557	27.884	335.696	165.918	190.537	342.765	5.071	5.626	6.092	7.379	
