
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	1.50	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.453	1018	100.000	20.950	50.396	20.191	0.804	0.122	4000	0.969	-0.056	0.694	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.162	26.514	1018	100.000	20.950	50.048	20.253	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.407	26.522	1018	100.000	20.950	49.297	21.437	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.346	26.525	1018	100.000	20.950	50.253	20.157	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	8/5/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/5/2021	15:38:39	0.00		113.79	118.38	112.92	112.78	27.000	27.000	27.000	27.000	1016.75	43.251	---	---	---	26.728	26.322	28.012	26.795	363.192	166.563	186.060	326.371	4.616	5.602	6.134	7.162	
8/5/2021	15:38:49	10.00		113.78	118.40	112.96	112.75	27.000	27.000	27.000	27.000	1016.76	43.312	---	---	---	26.729	26.319	28.008	26.798	363.264	166.542	186.058	326.376	5.100	5.612	5.953	7.223	
8/5/2021	15:38:59	20.00		113.76	118.43	112.93	112.86	27.000	27.000	27.000	27.000	1016.76	43.329	---	---	---	26.732	26.317	28.011	26.787	363.233	166.552	186.067	326.406	4.866	5.496	6.160	7.533	
8/5/2021	15:39:09	30.00		113.72	118.43	112.84	112.77	27.000	27.000	27.000	27.000	1016.80	43.301	---	---	---	26.735	26.317	28.020	26.796	363.279	166.562	186.090	326.420	5.146	5.600	6.008	6.878	
8/5/2021	15:39:19	40.00		113.76	118.36	112.84	112.77	27.000	27.000	27.000	27.000	1016.77	43.346	---	---	---	26.732	26.324	28.020	26.796	363.314	166.563	186.121	326.461	5.004	5.531	5.946	7.539	
8/5/2021	15:39:29	50.00		113.72	118.38	112.90	112.76	27.000	27.000	27.000	27.000	1016.74	43.354	---	---	---	26.736	26.321	28.014	26.797	363.288	166.591	186.097	326.496	5.369	5.576	6.024	8.791	
8/5/2021	15:39:39	60.00		113.69	118.38	112.86	112.86	27.000	27.000	27.000	27.000	1016.79	43.309	---	---	---	26.738	26.322	28.017	26.787	363.365	166.592	186.136	326.503	5.085	5.577	6.042	8.553	
8/5/2021	15:39:49	70.00		113.63	118.46	112.79	112.77	27.000	27.000	27.000	27.000	1016.77	43.263	---	---	---	26.744	26.314	28.025	26.797	363.376	166.607	186.159	326.517	5.467	5.413	6.018	7.632	
8/5/2021	15:39:59	80.00		113.62	118.31	112.76	112.81	27.000	27.000	27.000	27.000	1016.77	43.254	---	---	---	26.745	26.329	28.028	26.792	363.394	166.611	186.152	326.496	5.492	5.787	6.198	9.003	
8/5/2021	15:40:09	90.00		113.66	118.37	112.73	112.70	27.000	27.000	27.000	27.000	1016.79	43.262	---	---	---	26.742	26.323	28.031	26.803	363.428	166.625	186.177	326.512	4.989	5.540	6.004	7.615	
8/5/2021	15:40:19	100.00		113.67	118.28	112.82	112.75	27.000	27.000	27.000	27.000	1016.75	43.303	---	---	---	26.741	26.332	28.021	26.798	363.447	166.613	186.171	326.544	5.141	5.496	6.045	7.834	
8/5/2021	15:40:29	110.00		113.59	118.26	112.76	112.72	27.000	27.000	27.000	27.000	1016.70	43.284	---	---	---	26.748	26.333	28.027	26.801	363.443	166.645	186.187	326.566	4.742	5.522	6.001	7.567	
8/5/2021	15:40:39	120.00		113.59	118.30	112.79	112.72	27.000	27.000	27.000	27.000	1016.73	43.325	---	---	---	26.748	26.330	28.025	26.801	363.483	166.643	186.197	326.556	5.260	5.457	6.090	7.943	
