
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	1.50	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.453	1018	100.000	20.950	50.396	20.191	0.804	0.122	4000	0.969	-0.056	0.694	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.162	26.514	1018	100.000	20.950	50.048	20.253	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.407	26.522	1018	100.000	20.950	49.297	21.437	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.346	26.525	1018	100.000	20.950	50.253	20.157	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	7/20/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2021	13:10:18	0.00		139.62	139.59	128.03	130.75	27.000	27.000	27.000	27.000	1017.34	44.299	---	---	---	24.399	24.454	26.609	25.110	335.199	155.791	178.576	308.471	5.163	5.550	6.003	7.952	
7/20/2021	13:10:19	1.17		139.63	139.62	128.02	130.73	27.000	27.000	27.000	27.000	1017.35	44.312	---	---	---	24.397	24.452	26.610	25.111	335.192	155.792	178.585	308.474	5.124	5.536	5.991	7.947	
7/20/2021	13:10:20	2.29		139.63	139.60	128.02	130.73	27.000	27.000	27.000	27.000	1017.35	44.325	---	---	---	24.398	24.453	26.610	25.111	335.189	155.794	178.589	308.474	5.142	5.546	6.019	7.970	
7/20/2021	13:10:22	3.48		139.63	139.59	128.03	130.75	27.000	27.000	27.000	27.000	1017.36	44.338	---	---	---	24.398	24.454	26.609	25.110	335.191	155.792	178.587	308.477	5.147	5.541	5.978	7.953	
7/20/2021	13:10:23	4.68		139.63	139.61	128.03	130.76	27.000	27.000	27.000	27.000	1017.36	44.351	---	---	---	24.397	24.453	26.609	25.109	335.188	155.791	178.592	308.477	5.144	5.553	5.989	7.967	
7/20/2021	13:10:24	5.78		139.63	139.60	128.02	130.73	27.000	27.000	27.000	27.000	1017.36	44.367	---	---	---	24.398	24.454	26.609	25.111	335.183	155.795	178.594	308.470	5.173	5.550	5.988	7.937	
7/20/2021	13:10:25	6.90		139.62	139.63	128.01	130.73	27.000	27.000	27.000	27.000	1017.35	44.387	---	---	---	24.398	24.451	26.610	25.111	335.180	155.796	178.587	308.474	5.151	5.540	5.984	7.918	
7/20/2021	13:10:26	8.02		139.60	139.64	128.01	130.73	27.000	27.000	27.000	27.000	1017.34	44.407	---	---	---	24.400	24.450	26.611	25.111	335.177	155.796	178.583	308.474	5.128	5.517	5.968	7.897	
7/20/2021	13:10:27	9.16		139.60	139.63	128.01	130.72	27.000	27.000	27.000	27.000	1017.34	44.430	---	---	---	24.400	24.451	26.610	25.112	335.184	155.798	178.580	308.476	5.108	5.507	5.975	7.902	
7/20/2021	13:10:28	10.26		139.60	139.63	128.01	130.73	27.000	27.000	27.000	27.000	1017.33	44.449	---	---	---	24.400	24.451	26.611	25.111	335.193	155.800	178.581	308.479	5.125	5.524	5.995	7.915	
7/20/2021	13:10:29	11.37		139.60	139.65	128.02	130.73	27.000	27.000	27.000	27.000	1017.31	44.466	---	---	---	24.400	24.450	26.609	25.111	335.196	155.799	178.582	308.478	5.126	5.513	5.989	7.893	
7/20/2021	13:10:31	12.54		139.59	139.62	128.02	130.74	27.000	27.000	27.000	27.000	1017.31	44.487	---	---	---	24.401	24.452	26.610	25.110	335.196	155.798	178.580	308.477	5.130	5.513	5.983	7.890	
7/20/2021	13:10:32	13.64		139.58	139.65	128.01	130.74	27.000	27.000	27.000	27.000	1017.31	44.500	---	---	---	24.402	24.450	26.611	25.110	335.205	155.795	178.578	308.477	5.118	5.503	5.977	7.891	
