
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	1.50	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.453	1018	100.000	20.950	50.396	20.191	0.804	0.122	4000	0.969	-0.056	0.694	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.162	26.514	1018	100.000	20.950	50.048	20.253	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.407	26.522	1018	100.000	20.950	49.297	21.437	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.346	26.525	1018	100.000	20.950	50.253	20.157	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	7/13/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	12:30:36	0.00		190.75	192.65	192.55	189.89	27.000	27.000	27.000	27.000	1017.41	54.673	---	---	---	20.932	20.890	22.086	20.952	279.250	130.393	143.742	251.499	4.956	5.511	5.939	7.804	
7/13/2021	12:30:46	10.00		190.68	192.43	192.82	189.91	27.000	27.000	27.000	27.000	1017.39	54.588	---	---	---	20.936	20.902	22.070	20.951	279.252	130.408	143.719	251.503	5.202	5.437	5.920	7.456	
7/13/2021	12:30:56	20.00		190.61	192.57	192.82	189.90	27.000	27.000	27.000	27.000	1017.43	54.557	---	---	---	20.940	20.895	22.070	20.952	279.311	130.397	143.743	251.544	5.102	5.370	6.024	7.308	
7/13/2021	12:31:06	30.00		190.64	192.45	192.85	189.91	27.000	27.000	27.000	27.000	1017.39	54.537	---	---	---	20.939	20.902	22.068	20.951	279.309	130.417	143.738	251.535	5.103	5.591	5.956	7.141	
7/13/2021	12:31:16	40.00		190.65	192.34	192.82	189.86	27.000	27.000	27.000	27.000	1017.41	54.525	---	---	---	20.938	20.907	22.070	20.954	279.289	130.382	143.711	251.519	5.134	5.395	6.014	7.003	
7/13/2021	12:31:26	50.00		190.74	192.41	192.83	189.87	27.000	27.000	27.000	27.000	1017.37	54.552	---	---	---	20.933	20.904	22.070	20.953	279.304	130.406	143.736	251.552	4.908	5.473	5.967	7.079	
7/13/2021	12:31:36	60.00		190.69	192.40	192.85	189.80	27.000	27.000	27.000	27.000	1017.43	54.528	---	---	---	20.936	20.904	22.068	20.957	279.361	130.419	143.754	251.580	4.997	5.485	5.992	7.256	
7/13/2021	12:31:46	70.00		190.73	192.37	192.78	189.84	27.000	27.000	27.000	27.000	1017.36	54.504	---	---	---	20.933	20.906	22.072	20.955	279.382	130.418	143.726	251.552	5.163	5.500	5.822	6.919	
7/13/2021	12:31:56	80.00		190.76	192.36	192.87	189.92	27.000	27.000	27.000	27.000	1017.37	54.473	---	---	---	20.932	20.907	22.067	20.950	279.397	130.418	143.732	251.589	5.072	5.478	5.875	7.111	
7/13/2021	12:32:06	90.29		190.64	192.40	192.79	189.87	27.000	27.000	27.000	27.000	1017.36	54.366	---	---	---	20.939	20.904	22.072	20.953	279.391	130.431	143.757	251.558	5.042	5.467	5.905	7.117	
7/13/2021	12:32:16	100.00		190.72	192.45	192.81	189.87	27.000	27.000	27.000	27.000	1017.38	54.360	---	---	---	20.934	20.902	22.071	20.953	279.397	130.403	143.755	251.642	4.911	5.429	5.803	7.095	
7/13/2021	12:32:26	110.00		190.75	192.24	192.95	189.82	27.000	27.000	27.000	27.000	1017.35	54.452	---	---	---	20.932	20.913	22.063	20.956	279.423	130.448	143.779	251.648	5.107	5.274	5.835	7.193	
7/13/2021	12:32:36	120.00		190.77	192.51	192.83	189.81	27.000	27.000	27.000	27.000	1017.32	54.476	---	---	---	20.931	20.898	22.070	20.957	279.435	130.440	143.787	251.629	4.954	5.612	5.952	6.969	
