
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	1.50	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-538-194	3	OFF	27.000	ON	1013	35.000	80%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.453	1018	100.000	20.950	50.396	20.191	0.804	0.122	4000	0.969	-0.056	0.694	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.162	26.514	1018	100.000	20.950	50.048	20.253	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.407	26.522	1018	100.000	20.950	49.297	21.437	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	26.346	26.525	1018	100.000	20.950	50.253	20.157	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	7/13/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	15:55:13	0.00		181.90	181.67	181.63	183.48	27.000	27.000	27.000	27.000	1016.49	52.167	---	---	---	21.450	21.527	22.723	21.326	286.630	133.596	147.639	254.784	4.957	5.603	5.909	6.684	
7/13/2021	15:55:23	10.00		181.82	181.57	181.60	183.54	27.000	27.000	27.000	27.000	1016.50	52.134	---	---	---	21.454	21.533	22.725	21.323	286.613	133.597	147.647	254.794	4.898	5.370	6.092	6.660	
7/13/2021	15:55:33	20.00		181.77	181.61	181.51	183.53	27.000	27.000	27.000	27.000	1016.50	52.070	---	---	---	21.457	21.531	22.730	21.323	286.663	133.594	147.644	254.805	4.965	5.533	6.031	6.706	
7/13/2021	15:55:43	30.00		181.77	181.67	181.55	183.45	27.000	27.000	27.000	27.000	1016.51	52.055	---	---	---	21.457	21.527	22.727	21.328	286.667	133.602	147.642	254.792	4.956	5.523	6.034	6.549	
7/13/2021	15:55:53	40.00		181.79	181.64	181.54	183.54	27.000	27.000	27.000	27.000	1016.52	52.058	---	---	---	21.456	21.529	22.728	21.322	286.688	133.620	147.656	254.817	4.956	5.582	5.946	6.642	
7/13/2021	15:56:03	50.00		181.75	181.80	181.48	183.41	27.000	27.000	27.000	27.000	1016.49	52.039	---	---	---	21.459	21.519	22.731	21.330	286.699	133.615	147.660	254.831	4.983	5.522	5.813	6.761	
7/13/2021	15:56:13	60.00		181.77	181.66	181.61	183.49	27.000	27.000	27.000	27.000	1016.53	51.993	---	---	---	21.458	21.528	22.724	21.325	286.729	133.639	147.680	254.845	5.066	5.575	6.031	6.893	
7/13/2021	15:56:23	70.00		181.71	181.69	181.63	183.45	27.000	27.000	27.000	27.000	1016.48	51.943	---	---	---	21.461	21.526	22.723	21.328	286.716	133.619	147.687	254.849	4.903	5.557	5.888	6.780	
7/13/2021	15:56:33	80.00		181.72	181.63	181.48	183.50	27.000	27.000	27.000	27.000	1016.52	51.876	---	---	---	21.460	21.530	22.732	21.325	286.737	133.625	147.688	254.869	5.206	5.465	5.917	6.842	
7/13/2021	15:56:43	90.00		181.80	181.51	181.68	183.35	27.000	27.000	27.000	27.000	1016.50	51.779	---	---	---	21.455	21.537	22.720	21.334	286.733	133.639	147.692	254.868	5.001	5.666	5.889	6.649	
7/13/2021	15:56:53	100.00		181.73	181.60	181.47	183.40	27.000	27.000	27.000	27.000	1016.51	51.667	---	---	---	21.460	21.532	22.733	21.331	286.774	133.641	147.719	254.884	5.244	5.503	5.970	6.726	
7/13/2021	15:57:03	110.00		181.70	181.56	181.50	183.37	27.000	27.000	27.000	27.000	1016.47	51.444	---	---	---	21.462	21.534	22.731	21.333	286.809	133.669	147.721	254.914	5.059	5.500	5.810	6.770	
7/13/2021	15:57:13	120.00		181.78	181.71	181.61	183.48	27.000	27.000	27.000	27.000	1016.50	51.281	---	---	---	21.457	21.525	22.724	21.326	286.802	133.643	147.727	254.915	4.906	5.488	5.943	6.955	
