colony_id,species,treatment,number,sample,recovered,sym_count_date,initials,squares_counted,count1,count2,count3,count4,count5,count6,count7,count8,average_per_square,st_dev_per_square,cv,,,,,,,
OFAV_PP_0GT1,OFAV,PP,Others,0GT1,p,11/15/22,CE,3,123,152,141,127,158,99,149,113,44.25,6.897779721,15.58820276,,,,,,,
OFAV_PP_0HS3,OFAV,PP,17,0HS3,p,9/19/22,CE,2,101,84,77,75,89,78,,,42,4.898979486,11.66423687,,,,,,,
OFAV_PP_0HS4,OFAV,PP,18,0HS4,p,11/14/22,CE,3,103,85,87,86,90,100,,,30.61111111,2.576963473,8.418392471,,,,,,,
OFAV_PP_2HS12,OFAV,PP,19,2HS12,p,11/21/22,TC,3,105,101,98,93,99,105,,,33.38888889,1.526312429,4.571318422,,,,,,,
OFAV_PP_2HS2,OFAV,PP,20,2HS2,p,11/22/22,CE,1,128,134,123,126,89,132,,,122,16.64932431,13.64698714,,,,,,,
OFAV_PP_2HS48,OFAV,PP,21,2HS48,p,11/22/22,CE,4,107,111,113,94,87,97,,,25.375,2.59687312,10.23398274,,,,,,,
OFAV_PP_2HS6,OFAV,PP,22,2HS6,p,11/4/22,CE,4,87,71,68,90,77,85,,,19.91666667,2.256472173,11.32956739,,,,,,,
OFAV_PP_310,OFAV,PP,1,310,p,11/28/22,CE,2,148,156,144,185,158,169,,,80,7.503332593,9.379165741,,,,,,,
OFAV_PP_313,OFAV,PP,2,313,p,11/7/22,CE,2,119,115,120,118,104,143,,,59.91666667,6.382919917,10.65299569,,,,,,,
OFAV_PP_352,OFAV,PP,3,352,p,11/28/22,CE,2,103,101,128,120,118,96,,,55.5,6.356099433,11.45243141,,,,,,,
OFAV_PP_356,OFAV,PP,4,356,p,9/19/22,CE,4,66,71,75,65,73,84,,,18.08333333,1.729643509,9.564848895,,,,,,,
OFAV_PP_357,OFAV,PP,5,357,p,11/4/22,CE,2,148,108,113,105,96,89,121,104,55.25,9.011896899,16.31112561,,,,,,,
