bag_number,date_collected,depth,act_depth,species,colony_number,site,colony_id,RI_status,NOTES,airbrush_date,airbrush_volume,airbrush_initials,aliquot_date,aliquot_initials,chl_box,host_PTAC_box,sym_PTAC_box,sym_density_box,ash_bag,skeleton_dry_date,skeleton_dry_initials,,,,,,
141,18-Aug,15,23,AAGA,1,Media Luna,15AA1ML,Y,,7/6/23,24.5,HLE,7/6/23,HLE,,,,,,,,,,,,,
143,18-Aug,15,21,AAGA,2,Media Luna,15AA2ML,Y,,7/7/23,20.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
147,18-Aug,15,22,AAGA,3,Media Luna,15AA3ML,Y,,7/6/23,17.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
151,18-Aug,15,20,AAGA,4,Media Luna,15AA4ML,Y,,7/6/23,16.5,HLE,7/6/23,HLE,,,,,,,,,,,,,
152,18-Aug,15,20,AAGA,5,Media Luna,15AA5ML,Y,,7/6/23,21.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
320,8/23/21,30,31,AAGA,1,Media Luna,30AA1ML,Y,,7/6/23,26.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
211,8/23/21,30,34,AAGA,2,Media Luna,30AA2ML,Y,,7/6/23,33.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
216,8/23/21,30,30,AAGA,3,Media Luna,30AA3ML,Y,,7/7/23,27.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
323,8/23/21,30,33,AAGA,4,Media Luna,30AA4ML,Y,,7/7/23,19.5,HLE,7/7/23,HLE,,,,,,,,,,,,,
325,8/23/21,30,30,AAGA,5,Media Luna,30AA5ML,Y,,7/7/23,27.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
337,8/23/21,45,45,AAGA,1,Media Luna,45AA1ML,Y,,7/7/23,23.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
342,8/23/21,45,45,AAGA,2,Media Luna,45AA2ML,Y,,7/6/23,23.5,HLE,7/6/23,HLE,,,,,,,,,,,,,
348,8/23/21,45,46,AAGA,3,Media Luna,45AA3ML,Y,,7/6/23,32.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
355,8/23/21,45,48,AAGA,4,Media Luna,45AA4ML,Y,,7/6/23,23.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
361,8/24/21,45,40,AAGA,5,Media Luna,45AA5ML,Y,,7/7/23,40.0,HLE,7/7/23,HLE,,,,,,,,,,,,,
160,18-Aug,55,54,AAGA,1,Media Luna,55AA1ML,Y,,7/7/23,29.5,HLE,7/7/23,HLE,,,,,,,,,,,,,
163,18-Aug,55,57,AAGA,2,Media Luna,55AA2ML,Y,,7/7/23,10.5,HLE,7/7/23,HLE,,,,,,,,,,,,,
171,18-Aug,55,50,AAGA,3,Media Luna,55AA3ML,Y,,7/6/23,23.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
173,8/19/21,55,56,AAGA,4,Media Luna,55AA4ML,Y,,7/6/23,24.0,HLE,7/6/23,HLE,,,,,,,,,,,,,
175,8/19/21,55,64,AAGA,5,Media Luna,55AA5ML,Y,,7/6/23,19.5,HLE,7/6/23,HLE,,,,,,,,,,,,,
5,8/6/21,15,15,AAGA,1,Turrumote,15AA1AT,Y,,7/11/23,11.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
5,8/6/21,15,15,AAGA,1,Turrumote,15AA1BT,Y,,7/11/23,10.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
7,8/6/21,15,15,AAGA,2,Turrumote,15AA2AT,Y,,7/11/23,13.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
7,8/6/21,15,15,AAGA,2,Turrumote,15AA2BT,Y,,7/11/23,12.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
263,8/20/21,15,16,AAGA,3,Turrumote,15AA3T,Y,,7/11/23,33.5,HLE,7/11/23,HLE,,,,,,,,,,,,,
265,8/20/21,15,16,AAGA,4,Turrumote,15AA4T,Y,,7/12/23,13.0,HLE,7/12/23,HLE,,,,,,,,,,,,,
268,8/20/21,15,15,AAGA,5,Turrumote,15AA5T,Y,,7/10/23,39.0,HLE,7/10/23,HLE,,,,,,,,,,,,,
92/ PAN 82,8/12/21,30,31,AAGA,1,Turrumote,30AA1T,Y,,7/13/23,12.0,HLE,7/13/23,HLE,,,,,,,,,,,,,
100/ PAN 90,8/12/21,30,29,AAGA,2,Turrumote,30AA2T,Y,,7/11/23,23.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
115,8/17/21,30,30,AAGA,3,Turrumote,30AA3T,Y,,7/13/23,16.0,HLE,7/13/23,HLE,,,,,,,,,,,,,
120,8/17/21,30,30,AAGA,4,Turrumote,30AA4T,Y,,7/11/23,33.0,HLE,7/11/23,HLE,,,,,,,,,,,,,
