,bag_number,depth,act_depth,species,colony_number,site,colony_id,airbrush_volume,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,sym.cm2,chla.ug.cm2,chlc2.ug.cm2,D,di,Cdi,A,CA
51,339,45,48,MCAV,1,Media Luna,45MC1ML,35,NA,NA,61.95217623,5.263348553,1.05672712,0.564,NA,NA,NA,NA
60,181,55,63,MCAV,5,Media Luna,55MC5ML,25,NA,NA,18.89380092,2.527351509,0.556978137,0.647,NA,NA,NA,NA
202,20,45,46,MCAV,5,Turrumote,45MC5T,25,NA,NA,40.37180964,2.223086137,0.713355773,0.78,0.70875,1.058,0.4175,0.899
49,321,30,34,MCAV,4,Media Luna,30MC4ML,19,NA,NA,9.796075437,1.387862041,0.610146482,0.809,NA,NA,NA,NA
200,14,45,44,MCAV,3,Turrumote,45MC3T,19.5,NA,NA,9.092606981,3.897968575,1.065495908,0.871,0.78575,NA,NA,NA
207,77,55,54,MCAV,5,Turrumote,55MC5T,22,NA,NA,7.638728215,2.499602823,0.872248823,0.921,0.5803,1.0231,0.2664,0.925
57,166,55,55,MCAV,2,Media Luna,55MC2ML,19,NA,NA,NA,2.333633468,0.758302768,0.942,NA,NA,NA,NA
198,12,45,45,MCAV,1,Turrumote,45MC1T,37,NA,NA,45.2690871,2.861158846,0.828383915,0.994,0.7975,NA,NA,NA
188,71,15,16,MCAV,1,Turrumote,15MC1T,17,NA,NA,18.46887986,0.744807351,0.241087796,1.091,0.5226,0.9948,0.2074,0.8164
59,177,55,63,MCAV,4,Media Luna,55MC4ML,23,NA,NA,12.20391814,3.517329853,0.917174974,1.19,NA,NA,NA,NA
47,210,30,34,MCAV,2,Media Luna,30MC2ML,35,NA,NA,76.67698281,5.371743486,1.284272889,1.244,NA,NA,NA,NA
206,73,55,55,MCAV,4,Turrumote,55MC4T,20,NA,NA,35.40073654,4.564398749,1.426893226,1.285,0.6817,1.0454,0.3874,0.93
54,368,45,42,MCAV,4,Media Luna,45MC4ML,20,NA,NA,24.72786812,3.875189341,1.036332792,1.37,NA,NA,NA,NA
196,124,30,30,MCAV,4,Turrumote,30MC4T,20,NA,NA,NA,3.80933275,1.232661591,1.374,0.5535,0.9748,0.2516,0.7104
199,13,45,49,MCAV,2,Turrumote,45MC2T,43,NA,NA,20.9840587,3.351369163,1.215222267,1.403,0.6022,0.967,0.291,0.7
56,164,55,59,MCAV,1,Media Luna,55MC1ML,39,NA,NA,37.91866391,7.954251282,2.712395094,1.475,NA,NA,NA,NA
48,214,30,29,MCAV,3,Media Luna,30MC3ML,37,NA,NA,NA,7.708774285,2.465088554,1.488,NA,NA,NA,NA
197,125,30,30,MCAV,5,Turrumote,30MC5T,23,NA,NA,86.98093488,5.351926796,1.476976783,1.49,0.5376,1.0027,0.2472,0.7038
204,60,55,57,MCAV,2,Turrumote,55MC2T,24.5,NA,NA,24.67651473,7.812946193,2.936649486,1.561,0.6518,0.9977,0.3636,0.8182
194,122,30,31,MCAV,2,Turrumote,30MC2T,15,NA,NA,79.55024131,4.959163356,1.566253674,1.602,0.6514,1.082,0.3596,0.922
53,364,45,40,MCAV,3,Media Luna,45MC3ML,22,NA,NA,7.615005156,2.484112084,0.72284551,1.637,NA,NA,NA,NA
190,206,15,15,MCAV,3,Turrumote,15MC3T,18.5,NA,NA,NA,3.347329856,1.35841306,1.647,0.5315,0.843833333,0.23,0.582
189,258,15,18,MCAV,2,Turrumote,15MC2T,37,NA,NA,100.4418034,5.41149356,2.490442518,1.664,0.5668,0.9755,0.2428,0.758
201,16,45,46,MCAV,4,Turrumote,45MC4T,25,NA,NA,29.4254002,3.128108341,0.925879913,1.682,0.5289,0.911,0.2262,0.6556
55,369,45,45,MCAV,5,Media Luna,45MC5ML,20,NA,NA,11.98524845,4.404800941,1.090034274,1.702,NA,NA,NA,NA
58,176,55,64,MCAV,3,Media Luna,55MC3ML,21,NA,NA,35.38481873,4.636258591,1.33435338,1.726,NA,NA,NA,NA
44,153,15,21,MCAV,4,Media Luna,15MC4ML,25,NA,NA,77.24633172,4.326322736,1.553705261,1.789,NA,NA,NA,NA
205,61,55,54,MCAV,3,Turrumote,55MC3T,17.5,NA,NA,NA,0.883182081,0.460014148,1.827,0.5172,0.8254,0.2208,0.5628
43,149,15,24,MCAV,3,Media Luna,15MC3ML,21,NA,NA,18.83640493,4.660037482,1.647779452,1.853,NA,NA,NA,NA
50,318,30,31,MCAV,5,Media Luna,30MC5ML,17,NA,NA,23.84578359,3.683233557,1.301883019,1.948,NA,NA,NA,NA
203,56,55,54,MCAV,1,Turrumote,55MC1T,17,NA,NA,15.29024901,3.840178862,1.223644773,2.054,0.534,0.861,0.2292,0.5506
193,98/ PAN 88,30,31,MCAV,1,Turrumote,30MC1T,23,NA,NA,32.40104771,3.221889157,1.004472382,2.062,0.5393,0.8811,0.2304,0.5876
46,142,30,25,MCAV,1,Media Luna,30MC1ML,21,NA,NA,47.7908952,3.340270821,0.886507389,2.113,NA,NA,NA,NA
45,155,15,25,MCAV,5,Media Luna,15MC5ML,25,NA,NA,20.17476199,3.67956971,0.816800952,2.223,NA,NA,NA,NA
192,261,15,15,MCAV,5,Turrumote,15MC5T,15.5,NA,NA,NA,6.091809736,1.991896732,2.271,0.5066,0.796,0.205,0.4462
52,353,45,48,MCAV,2,Media Luna,45MC2ML,23,NA,NA,NA,6.610435273,1.773104847,2.311,NA,NA,NA,NA
191,207,15,16,MCAV,4,Turrumote,15MC4T,23,NA,NA,67.17313665,7.116682584,1.686714674,2.322,0.4542,0.7718,0.164,0.4622
42,146,15,22,MCAV,2,Media Luna,15MC2ML,15,NA,NA,69.39127925,4.71773405,1.365913328,2.6,NA,NA,NA,NA
41,139,15,14,MCAV,1,Media Luna,15MC1ML,13.5,NA,NA,52.91208581,5.284970308,2.03038291,2.746,NA,NA,NA,NA
6,320,30,31,AAGA,1,Media Luna,30AA1ML,26,NA,NA,58.50297376,6.961405496,1.635435685,2.984,NA,NA,NA,NA
162,65,55,56,AAGA,4,Turrumote,55AA4T,14,NA,NA,48.59014159,9.428529168,2.372430773,3.296,NA,NA,NA,NA
195,123,30,32,MCAV,3,Turrumote,30MC3T,17,NA,NA,66.04106985,5.144992329,1.30393252,3.373,0.506,0.767833333,0.220333333,0.489
