,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
1,OFAV_PP_0GT1,OFAV,PP,p,30,6.417827298,0.1692,0.0604,6.791,0.4676,0.2432,6.853565538,1.698588867,176.4615885,0.833497317,4.791341146,4.674479167,0.038838852,OFAV_PP
2,OFAV_PP_0HS3,OFAV,PP,p,20,5.880222841,0.121,0.0578,7.539,0.3938,0.2526,6.716242066,1.524942208,142.851729,1.343319267,4.591662719,NA,0.047015476,OFAV_PP
3,OFAV_PP_0HS4,OFAV,PP,p,NA,4.228412256,0.1112,0.0376,9.091,0.3851,0.2144,NA,NA,NA,NA,NA,NA,NA,OFAV_PP
4,OFAV_PP_2HS12,OFAV,PP,p,NA,5.95821727,0.1058,0.0458,9.06,0.3813,0.232,NA,NA,NA,NA,NA,NA,NA,OFAV_PP
5,OFAV_PP_2HS2,OFAV,PP,p,10.2,NA,0.1418,0.0596,7.55,0.4491,0.2602,4.225649214,0.846432157,116.8252093,0.691609529,2.20244247,2.872751047,0.036170697,OFAV_PP
6,OFAV_PP_2HS48,OFAV,PP,p,19.5,5.832869081,0.118,0.0488,6.608,0.406,0.2395,4.408130826,0.697375501,84.83175143,0.580530259,3.343123209,4.680372493,0.051963218,OFAV_PP
7,OFAV_PP_2HS6,OFAV,PP,p,33,6.348189415,0.1274,0.0532,7.506,0.4346,0.2442,5.28098609,1.118161343,103.5334577,0.805809856,6.627874068,4.678499342,0.051007531,OFAV_PP
8,OFAV_PP_310,OFAV,PP,p,12.4,5.596100279,0.1308,0.0506,5.559,0.4553,0.2544,7.374536661,1.72901119,177.2663016,0.925470535,3.434534594,6.425903434,0.041601458,OFAV_PP
9,OFAV_PP_313,OFAV,PP,p,19,5.77994429,0.1388,0.0554,7.514,0.4302,0.2462,8.839194192,2.053860626,196.9597992,1.206402907,3.369409638,3.944674699,0.044878164,OFAV_PP
10,OFAV_PP_352,OFAV,PP,p,16,6.498607242,0.091,0.0366,10.508,0.3569,0.1832,6.436702272,1.43113742,136.6446635,0.986733427,4.000857266,2.954479211,0.047105405,OFAV_PP
11,OFAV_PP_356,OFAV,PP,p,30,6.103064067,0.1178,0.0438,5.325,0.3884,0.2006,5.21995995,1.315896394,88.88977634,0.870759243,5.161341853,4.424007302,0.058723963,OFAV_PP
12,OFAV_PP_357,OFAV,PP,p,23,6.311977716,0.06451526,0.03212338,7.995,0.3036,0.2102,7.299483153,1.600659168,160.7349711,1.18025296,4.372639011,4.008252427,0.045413161,OFAV_PP
13,OFAV_PP_358,OFAV,PP,p,12.5,5.378830084,0.1044,0.0438,9.244,0.3706,0.2227,6.733418997,1.402256603,145.4389996,0.528059524,2.207729156,9.992879336,0.046297204,OFAV_PP
14,OFAV_PP_359,OFAV,PP,p,10,5.757660167,0.1204,0.051,6.318,0.3946,0.2433,4.523177109,1.0540306,47.83482504,0.472535913,6.339380745,6.426221577,0.094558245,OFAV_PP
15,OFAV_PP_360,OFAV,PP,p,16,6.334261838,0.0994,0.0422,10.669,0.3643,0.2143,5.509087072,1.306545295,146.9258282,0.609269034,2.33649956,8.083025506,0.037495702,OFAV_PP
16,OFAV_PP_362,OFAV,PP,p,12,6.125348189,0.1064,0.0464,10.123,0.3732,0.2164,4.260198636,1.544042838,86.09034409,0.62427791,2.106002729,2.546793997,0.049485209,OFAV_PP
17,OFAV_PP_365,OFAV,PP,p,34,4.73816156,0.1192,0.055,8.496,0.3976,0.2489,4.985133235,1.471572869,215.8713502,1.04965532,4.484861846,9.328512639,0.023093075,OFAV_PP
18,OFAV_PP_366,OFAV,PP,p,17,8.373259053,0.1112,0.0376,7.996,0.3561,0.1865,4.35716843,0.799724451,142.2882845,0.838511586,2.740868263,3.045409182,0.030622117,OFAV_PP
19,OFAV_PP_367,OFAV,PP,p,20,6.342618384,0.1274,0.0508,6.229,0.429,0.236,9.241398917,2.505195652,222.3056654,1.258242003,4.1780852,6.937198068,0.041570686,OFAV_PP
20,OFAV_PP_368,OFAV,PP,p,33,6.82729805,0.0996,0.0462,8.256,0.3831,0.2312,5.86948522,1.059994737,163.9374745,1.298171553,5.921083231,2.900122399,0.035803194,OFAV_PP
